DPD_ROUTE_OF_ADMINISTRATION,DPD PHARMACEUTICAL_FORM,NTP_DOSAGE_FORM
METERED-DOSE AEROSOL,INHALATION,pressurised inhalation
METERED-DOSE AEROSOL,SUBLINGUAL,sublingual spray
METERED-DOSE AEROSOL,NASAL,"nasal spray, solution"
METERED-DOSE AEROSOL,TOPICAL,oromucosal spray
AEROSOL,TOPICAL,cutaneous spray
AEROSOL,INHALATION,powder for nebuliser solution
AEROSOL,RECTAL,rectal foam
CAPSULE,ORAL,oral capsule
CAPSULE,INHALATION,inhalation powder capsule
CREAM,TOPICAL,cutaneous cream
CREAM,VAGINAL,vaginal cream
CREAM,RECTAL,rectal cream
CREAM,NASAL,nasal cream
CREAM,OTIC,otic cream
CREAM,OPHTHALMIC,ophthalmic cream
DROPS,INTRAOCULAR,solution for injection
DROPS,OTIC,otic drops
DROPS,OPHTHALMIC,ophthalmic drops
DROPS,NASAL,nasal drops
DROPS,ORAL,oral drops
DRESSING,TOPICAL,dressing
CAPSULE (ENTERIC-COATED),ORAL,gastro-resistant capsule
TABLET (ENTERIC-COATED),ORAL,gastro-resistant tablet
ELIXIR,ORAL,oral solution
EMULSION,TOPICAL,cutaneous emulsion
EMULSION,INTRAMUSCULAR,emulsion for injection
EMULSION,INTRAVENOUS,emulsion for injection
EMULSION,ORAL,oral emulsion
EMULSION,OPHTHALMIC,"ophthalmic drops, emulsion"
EMULSION,SUBCUTANEOUS,emulsion for injection
ENEMA,RECTAL,rectal liquid
TABLET (EFFERVESCENT),ORAL,effervescent oral tablet
TABLET (EFFERVESCENT),BUCCAL,buccal tablet
GAS,INHALATION,medicinal gas
JELLY,URETHRAL,urethral gel
JELLY,TOPICAL,cutaneous gel
IMPLANT,SUBCUTANEOUS,implant
IMPLANT,INTRAVITREAL,intravitreal implant
LIQUID,BLOCK/INFILTRATION,solution for injection
LIQUID,BUCCAL,mouthwash
LIQUID,DENTAL,dental solution
LIQUID,DIALYSIS,solution for haemodialysis
