ntp_code,ntp_formal_name,changes
"d045073fd51918bfe0fd3e39b02f7764","coal tar 10 % and salicylic acid 3 % cutaneous gel","CHANGED"
"9002062","ammonium chloride 125 mg per 5 mL and codeine phosphate 3.33 mg per 5 mL and diphenhydramine hydrochloride 12.5 mg per 5 mL syrup","DELETED"
"35cb8257dd0862ebf185002e0b3f459f","coagulation factor ix (recombinant), pegylated 500 unit per vial powder for solution for injection","CHANGED"
"9004120","somatropin 8.8 mg per vial powder for solution for injection","DELETED"
"a4751fa34bc47c2e27ac3976df3326e2","amylase 5100 unit per 100 mg and lipase 5000 unit per 100 mg and protease 320 unit per 100 mg gastro-resistant granules for oral suspension","CHANGED"
"e10f55d873dcc89844bba5553b784f67","somatropin 10 mg per 1.5 mL solution for injection cartridge","CHANGED"
"e9884197e2c5f47e39385487bade0653","cholecalciferol 50000 unit oral capsule","CHANGED"
"ec5965cc86b58778a000679c9d43cf2a","mannitol 5.4 mg per mL and sorbitol 27 mg per mL irrigation solution 3000 mL bag","CHANGED"
"9006496","cholecalciferol 2000 unit oral capsule","CHANGED"
"67a1a1e296d7f49dbdf5847596064143","cetylpyridinium chloride 0.075 % mouthwash","ADDED"
"e508926dde16b9b1e18a02ed00e43c25","acetaminophen 650 mg per 30 mL and dextromethorphan hydrobromide 20 mg per 30 mL and doxylamine succinate 12.5 mg per 30 mL and phenylephrine hydrochloride 10 mg per 30 mL oral solution","ADDED"
"8c02d7e669e66dc37f65665607942c8b","valproic acid (base) 500 mg gastro-resistant capsule","ADDED"
"9003752","ammonium chloride 125 mg per 5 mL and codeine phosphate 3.3 mg per 5 mL and diphenhydramine hydrochloride 12.5 mg per 5 mL syrup","ntp_status_effective_time: ""20020913"" -> ""19811231"""
"a7d28037ef365dd23d99b474dca3f0a0","somatropin 5 mg per 1.5 mL solution for injection cartridge","CHANGED"
"9013704","mannitol 5 % irrigation solution 2000 mL bottle","CHANGED"
"9013720","phytonadione 10 mg per 1 mL emulsion for injection ampoule","CHANGED"
"3947e8aee329213f380d8aeabc1080de","iron (iron isomaltoside 1000) 1000 mg per 10 mL solution for injection vial","CHANGED"
"8eb9b6fb9861eb8b033ce2253a3fb555","ivacaftor 188 mg per sachet and lumacaftor 150 mg per sachet granules for oral suspension","CHANGED"
"9013690","iron (iron isomaltoside 1000) 100 mg per 1 mL solution for injection vial","CHANGED"
"9006498","cholecalciferol 5000 unit oral capsule","CHANGED"
"21c0cf6f85dd95549d95ad5a2dcbe1bb","cholecalciferol 10000 unit oral capsule","CHANGED"
"9013713","mineral oil heavy 100 % rectal liquid","CHANGED"
"0907bbc32c155671c11349c7e3e2c489","acetaminophen 650 mg per sachet and ascorbic acid 50 mg per sachet and pheniramine maleate 20 mg per sachet and phenylephrine hydrochloride 10 mg per sachet oral powder","CHANGED"
"cb72789d87cd55d7115e8cfa99d0967c","somatropin 1.4 mg powder for solution for injection with diluent solution per syringe","CHANGED"
"9013749","somatropin 5 mg per 2 mL solution for injection pen","CHANGED"
"9013699","mannitol 10 g per 100 mL solution for injection 1000 mL bag","CHANGED"
"9013748","somatropin 5 mg per 1.5 mL solution for injection pen","CHANGED"
"9006479","cholecalciferol 10000 unit oral capsule","CHANGED"
"183ee1526962e5965ac83ef766ff0eb7","somatropin 24 mg per cartridge powder for solution for injection with diluent solution syringe","CHANGED"
"d1c079a902bc769d25546c82d0b8d91b","methotrexate (methotrexate sodium) 50 mg per 2 mL NA vial","CHANGED"
"9013714","mineral oil heavy 20 % and petrolatum 80 % ophthalmic ointment","CHANGED"
"48261e41ddd4e56f1108a3f0d87de9fe","mineral oil heavy 20 % and petrolatum 80 % ophthalmic ointment","CHANGED"
"6b79899963c1f1489b99dee1f6557517","ascorbic acid (sodium ascorbate) 500 mg per 2 mL solution for injection ampoule","CHANGED"
"9000639","valproic acid 250 mg oral capsule","DELETED"
"e65c5af17347e0f792bc813f1b46bdb6","somatropin 12 mg per cartridge powder for solution for injection with diluent solution syringe","CHANGED"
"9009384","ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 100 mcg oral tablet","ntp_status_effective_time: ""20190201"" -> ""20190301"""
"67d44b482e4d85e9c4e736062dabe142","anti-inhibitor coagulant complex 3250 unit per vial NA","CHANGED"
"9013707","methotrexate (methotrexate sodium) 1000 mg per 40 mL NA vial","CHANGED"
"9013643","anti-inhibitor coagulant complex 1300 unit per vial NA","CHANGED"
"9013692","iron (iron isomaltoside 1000) 500 mg per 5 mL solution for injection vial","CHANGED"
"d32a8a9747b6f72fa6ee3de1bbcfd73e","codeine phosphate 3.3 mg per 5 mL and guaifenesin 100 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL oral solution","CHANGED"
"9002060","acetaminophen 500 mg and caffeine 65 mg oral tablet","ntp_status_effective_time: ""19861231"" -> ""20050105"""
"fd436dd63005e9c8c963ea019658bf74","valproic acid (base) 250 mg oral capsule","ADDED"
"4d679200411baeec54fbbdb890f21367","alpha tocopheryl acetate 20 unit and retinyl palmitate 100000 unit oral capsule","ADDED"
