rc_formal_name,formal_name,mp_code
"CYANOCOBALAMIN INJECTION USP (cyanocobalamin 10000 mcg per 10 mL solution for injection vial) STERIMAX INC","CYANOCOBALAMIN INJECTION, USP (cyanocobalamin 10000 mcg per 10 mL solution for injection vial) STERIMAX INC","77700964"
"CYANOCOBALAMIN INJECTION USP (cyanocobalamin 30000 mcg per 30 mL solution for injection vial) STERIMAX INC","CYANOCOBALAMIN INJECTION, USP (cyanocobalamin 30000 mcg per 30 mL solution for injection vial) STERIMAX INC","77700965"
"JAMP ENTECAVIR (entecavir (entecavir monohydrate) 0.5 mg oral tablet) JAMP PHARMA CORPORATION","JAMP-ENTECAVIR (entecavir (entecavir monohydrate) 0.5 mg oral tablet) JAMP PHARMA CORPORATION","02467232"
"APO-ZOPICLONE (zopiclone 7.5 mg oral tablet) APOTEX INC","APO-ZOPICLONE - TAB 7.5MG (zopiclone 7.5 mg oral tablet) APOTEX INC","02218313"
"THYROGEN (thyrotropin alfa 0.9 mg per mL powder for solution for injection) SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC","THYROGEN (thyrotropin alfa 0.9 mg per vial powder for solution for injection) SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC","02246016"
"ENABLEX (darifenacin (darifenacin hydrobromide) 15 mg prolonged-release oral tablet) SEARCHLIGHT PHARMA INC","ENABLEX (darifenacin (darifenacin hydrobromide) 15 mg prolonged-release oral tablet) MERUS LABS LUXCO S. A R.L.","02273225"
"TADALAFIL (tadalafil 2.5 mg oral tablet) PHARMASCIENCE INC","PMS-TADALAFIL (tadalafil 2.5 mg oral tablet) PHARMASCIENCE INC","02409410"
"ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 10 mg oral tablet) SIVEM PHARMACEUTICALS ULC","ROSUVASTATIN-10 (rosuvastatin (rosuvastatin calcium) 10 mg oral tablet) SIVEM PHARMACEUTICALS ULC","02411636"
"FLURBIPROFEN (flurbiprofen 50 mg oral tablet) AA PHARMA INC","APO-FLURBIPROFEN FC TABLETS 50MG (flurbiprofen 50 mg oral tablet) APOTEX INC","01912046"
"ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 5 mg oral tablet) SIVEM PHARMACEUTICALS ULC","ROSUVASTATIN-5 (rosuvastatin (rosuvastatin calcium) 5 mg oral tablet) SIVEM PHARMACEUTICALS ULC","02411628"
"FLURBIPROFEN (flurbiprofen 100 mg oral tablet) AA PHARMA INC","APO-FLURBIPROFEN FC TABLETS 100MG (flurbiprofen 100 mg oral tablet) APOTEX INC","01912038"
"CEPACOL CHILDREN'S FRUITY STRAWBERRY (amylmetacresol 0.6 mg and dichlorobenzyl alcohol 1.2 mg lozenge) RB HEALTH (CANADA) INC.","CEPACOL CHILDREN'S FRUITY STRAWBERRY (amylmetacresol 0.6 mg and dichlorobenzyl alcohol 1.2 mg lozenge) RECKITT BENCKISER (CANADA) INC","02404982"
"CEPACOL SENSATIONS (amylmetacresol 0.6 mg and dichlorobenzyl alcohol 1.2 mg lozenge) RB HEALTH (CANADA) INC.","CEPACOL SENSATIONS (amylmetacresol 0.6 mg and dichlorobenzyl alcohol 1.2 mg lozenge) RECKITT BENCKISER (CANADA) INC","02382938"
"STREPSILS ANAESTHETIC FORMULA (hexylresorcinol 2.4 mg lozenge) RB HEALTH (CANADA) INC.","STREPSILS ANAESTHETIC FORMULA (hexylresorcinol 2.4 mg lozenge) RECKITT BENCKISER (CANADA) INC","02243888"
"TADALAFIL (tadalafil 10 mg oral tablet) PHARMASCIENCE INC","PMS-TADALAFIL (tadalafil 10 mg oral tablet) PHARMASCIENCE INC","02409437"
"ACT METFORMIN (metformin hydrochloride 500 mg oral tablet) TEVA CANADA LIMITED","ACT METFORMIN (metformin hydrochloride 500 mg oral tablet) ACTAVIS PHARMA COMPANY","02257726"
"ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 40 mg oral tablet) SIVEM PHARMACEUTICALS ULC","ROSUVASTATIN-40 (rosuvastatin (rosuvastatin calcium) 40 mg oral tablet) SIVEM PHARMACEUTICALS ULC","02411652"
"CEPACOL SENSATIONS SORE THROAT & COUGH (amylmetacresol 0.6 mg and dichlorobenzyl alcohol 1.2 mg and menthol 8 mg lozenge) RB HEALTH (CANADA) INC.","CEPACOL SENSATIONS SORE THROAT & COUGH (amylmetacresol 0.6 mg and dichlorobenzyl alcohol 1.2 mg and menthol 8 mg lozenge) RECKITT BENCKISER (CANADA) INC","02388642"
"TADALAFIL (tadalafil 20 mg oral tablet) PHARMASCIENCE INC","PMS-TADALAFIL (tadalafil 20 mg oral tablet) PHARMASCIENCE INC","02409445"
"CHEST CONGESTION SYRUP (guaifenesin 200 mg per 5 mL syrup) CELLCHEM PHARMACEUTICALS INC.","CHEST CONGESTION SYRUP (guaifenesin 200 mg per 5 mL syrup) PHARMETICS (2011) INC","02263475"
"ACT METFORMIN (metformin hydrochloride 850 mg oral tablet) TEVA CANADA LIMITED","ACT METFORMIN (metformin hydrochloride 850 mg oral tablet) ACTAVIS PHARMA COMPANY","02257734"
"ENABLEX (darifenacin (darifenacin hydrobromide) 7.5 mg prolonged-release oral tablet) SEARCHLIGHT PHARMA INC","ENABLEX (darifenacin (darifenacin hydrobromide) 7.5 mg prolonged-release oral tablet) MERUS LABS LUXCO S. A R.L.","02273217"
"ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 20 mg oral tablet) SIVEM PHARMACEUTICALS ULC","ROSUVASTATIN-20 (rosuvastatin (rosuvastatin calcium) 20 mg oral tablet) SIVEM PHARMACEUTICALS ULC","02411644"
"DICLOFENAC SODIUM SOLUTION (diclofenac sodium 1.5 % cutaneous solution) TELIGENT PHARMA, INC","DICLOFENAC SODIUM SOLUTION (diclofenac sodium 1.5 % cutaneous solution) TELIGENT OU","02476134"
"TADALAFIL (tadalafil 5 mg oral tablet) PHARMASCIENCE INC","PMS-TADALAFIL (tadalafil 5 mg oral tablet) PHARMASCIENCE INC","02409429"
"GLYBURIDE (glyburide 2.5 mg oral tablet) PRO DOC LIMITEE","GLYBURIDE-2.5 TAB 2.5MG (glyburide 2.5 mg oral tablet) PRO DOC LIMITEE","01959352"
