mp_code,mp_formal_name,ntp_code,ntp_formal_name,tm_code,tm_formal_name
"02468417","CHILDREN'S ACETAMINOPHEN DYE-FREE (acetaminophen 160 mg per 5 mL oral suspension) PERRIGO INTERNATIONAL","9002402","acetaminophen 160 mg per 5 mL oral suspension","8001044","acetaminophen"
"02215187","CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL (alprostadil 20 mcg per vial powder for solution for injection) PFIZER CANADA ULC","9013032","alprostadil 20 mcg per vial powder for solution for injection","8001431","alprostadil"
"02471485","AURO-ATOMOXETINE (atomoxetine (atomoxetine hydrochloride) 10 mg oral capsule) AURO PHARMA INC","9001104","atomoxetine (atomoxetine hydrochloride) 10 mg oral capsule","8000347","atomoxetine"
"02471558","AURO-ATOMOXETINE (atomoxetine (atomoxetine hydrochloride) 100 mg oral capsule) AURO PHARMA INC","9001303","atomoxetine (atomoxetine hydrochloride) 100 mg oral capsule","8000347","atomoxetine"
"02471493","AURO-ATOMOXETINE (atomoxetine (atomoxetine hydrochloride) 18 mg oral capsule) AURO PHARMA INC","9001105","atomoxetine (atomoxetine hydrochloride) 18 mg oral capsule","8000347","atomoxetine"
"02471507","AURO-ATOMOXETINE (atomoxetine (atomoxetine hydrochloride) 25 mg oral capsule) AURO PHARMA INC","9001106","atomoxetine (atomoxetine hydrochloride) 25 mg oral capsule","8000347","atomoxetine"
"02471515","AURO-ATOMOXETINE (atomoxetine (atomoxetine hydrochloride) 40 mg oral capsule) AURO PHARMA INC","9001107","atomoxetine (atomoxetine hydrochloride) 40 mg oral capsule","8000347","atomoxetine"
"02471523","AURO-ATOMOXETINE (atomoxetine (atomoxetine hydrochloride) 60 mg oral capsule) AURO PHARMA INC","9001108","atomoxetine (atomoxetine hydrochloride) 60 mg oral capsule","8000347","atomoxetine"
"02471531","AURO-ATOMOXETINE (atomoxetine (atomoxetine hydrochloride) 80 mg oral capsule) AURO PHARMA INC","9001302","atomoxetine (atomoxetine hydrochloride) 80 mg oral capsule","8000347","atomoxetine"
"02478900","AURO-CINACALCET (cinacalcet (cinacalcet hydrochloride) 30 mg oral tablet) AURO PHARMA INC","9003934","cinacalcet (cinacalcet hydrochloride) 30 mg oral tablet","8001616","cinacalcet"
"02478919","AURO-CINACALCET (cinacalcet (cinacalcet hydrochloride) 60 mg oral tablet) AURO PHARMA INC","9003935","cinacalcet (cinacalcet hydrochloride) 60 mg oral tablet","8001616","cinacalcet"
"02478943","AURO-CINACALCET (cinacalcet (cinacalcet hydrochloride) 90 mg oral tablet) AURO PHARMA INC","9003936","cinacalcet (cinacalcet hydrochloride) 90 mg oral tablet","8001616","cinacalcet"
"02468905","APO-DABIGATRAN (dabigatran etexilate (dabigatran etexilate mesilate) 110 mg oral capsule) APOTEX INC","9001250","dabigatran etexilate (dabigatran etexilate mesilate) 110 mg oral capsule","8000378","dabigatran"
"02468913","APO-DABIGATRAN (dabigatran etexilate (dabigatran etexilate mesilate) 150 mg oral capsule) APOTEX INC","9001327","dabigatran etexilate (dabigatran etexilate mesilate) 150 mg oral capsule","8000378","dabigatran"
"02413469","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet) PHARMASCIENCE INC","9000462","diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet","8000180","diclofenac and misoprostol"
"02413477","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet) PHARMASCIENCE INC","9000668","diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet","8000180","diclofenac and misoprostol"
"02479451","AURO-ELETRIPTAN (eletriptan (eletriptan hydrobromide) 20 mg oral tablet) AURO PHARMA INC","9003961","eletriptan (eletriptan hydrobromide) 20 mg oral tablet","8001112","eletriptan"
"02479478","AURO-ELETRIPTAN (eletriptan (eletriptan hydrobromide) 40 mg oral tablet) AURO PHARMA INC","9003962","eletriptan (eletriptan hydrobromide) 40 mg oral tablet","8001112","eletriptan"
"02480131","COVERGIRL TRUBLEND BASE BUSINESS SKIN PRIMER BASE POUR LA PEAU (ensulizole 3 % cutaneous emulsion) HFC PRESTIGE INTERNATIONAL CANADA INC","9005130","ensulizole 3 % cutaneous emulsion","8001643","ensulizole"
"02483610","FULVESTRANT INJECTION (fulvestrant 50 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","9003920","fulvestrant 50 mg per mL solution for injection","8001783","fulvestrant"
"02428334","AURO-GABAPENTIN TABLETS (gabapentin 600 mg oral tablet) AURO PHARMA INC","9000891","gabapentin 600 mg oral tablet","8000200","gabapentin"
"02428342","AURO-GABAPENTIN TABLETS (gabapentin 800 mg oral tablet) AURO PHARMA INC","9000892","gabapentin 800 mg oral tablet","8000200","gabapentin"
"00727520","HEPARIN LEO 100UNIT/ML (heparin sodium 1000 unit per 10 mL irrigation solution vial) LEO PHARMA INC","9013297","heparin sodium 1000 unit per 10 mL irrigation solution vial","8001274","heparin"
"02476487","AURO-OLMESARTAN HCTZ (hydrochlorothiazide 12.5 mg and olmesartan medoxomil 20 mg oral tablet) AURO PHARMA INC","9001262","hydrochlorothiazide 12.5 mg and olmesartan medoxomil 20 mg oral tablet","8000382","hydrochlorothiazide and olmesartan"
"02476495","AURO-OLMESARTAN HCTZ (hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg oral tablet) AURO PHARMA INC","9001263","hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg oral tablet","8000382","hydrochlorothiazide and olmesartan"
"02476509","AURO-OLMESARTAN HCTZ (hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg oral tablet) AURO PHARMA INC","9001264","hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg oral tablet","8000382","hydrochlorothiazide and olmesartan"
"02473291","AURO-QUINAPRIL HCTZ (hydrochlorothiazide 12.5 mg and quinapril (quinapril hydrochloride) 10 mg oral tablet) AURO PHARMA INC","9000814","hydrochlorothiazide 12.5 mg and quinapril (quinapril hydrochloride) 10 mg oral tablet","8000262","hydrochlorothiazide and quinapril"
"02473305","AURO-QUINAPRIL HCTZ (hydrochlorothiazide 12.5 mg and quinapril (quinapril hydrochloride) 20 mg oral tablet) AURO PHARMA INC","9000815","hydrochlorothiazide 12.5 mg and quinapril (quinapril hydrochloride) 20 mg oral tablet","8000262","hydrochlorothiazide and quinapril"
"02473321","AURO-QUINAPRIL HCTZ (hydrochlorothiazide 25 mg and quinapril (quinapril hydrochloride) 20 mg oral tablet) AURO PHARMA INC","9001030","hydrochlorothiazide 25 mg and quinapril (quinapril hydrochloride) 20 mg oral tablet","8000262","hydrochlorothiazide and quinapril"
