mp_code,mp_formal_name,ntp_code,ntp_formal_name,tm_code,tm_formal_name
"02215187","CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL (alprostadil 20 mcg per vial powder for solution for injection) PFIZER CANADA ULC","9013032","alprostadil 20 mcg per vial powder for solution for injection","8001431","alprostadil"
"02413469","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet) PHARMASCIENCE INC","9000462","diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet","8000180","diclofenac and misoprostol"
"02413477","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet) PHARMASCIENCE INC","9000668","diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet","8000180","diclofenac and misoprostol"
"02483610","FULVESTRANT INJECTION (fulvestrant 50 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","9003920","fulvestrant 50 mg per mL solution for injection","8001783","fulvestrant"
"00727520","HEPARIN LEO 100UNIT/ML (heparin sodium 1000 unit per 10 mL irrigation solution vial) LEO PHARMA INC","9013297","heparin sodium 1000 unit per 10 mL irrigation solution vial","8001274","heparin"
"02431920","RIXUBIS (nonacog gamma 250 unit per vial NA) SHIRE PHARMA CANADA ULC","59ce56b64911c71c9714ec34cfa7970f","nonacog gamma 250 unit per vial NA","8002149","nonacog gamma"
"02480247","PMS-PROGESTERONE (progesterone 200 mg oral capsule) PHARMASCIENCE INC","1c5c7bb9536dac4381cc12e851c59251","progesterone 200 mg oral capsule","8000220","progesterone"
"02246016","THYROGEN (thyrotropin alfa 0.9 mg per mL powder for solution for injection) SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC","0cf03cda727e5c55f7931c94b75f390c","thyrotropin alfa 0.9 mg per mL powder for solution for injection","8001963","thyrotropin alfa"
"02480786","XELJANZ (tofacitinib (tofacitinib citrate) 10 mg oral tablet) PFIZER CANADA ULC","598b9783d3641ace48f9f2adc958c833","tofacitinib (tofacitinib citrate) 10 mg oral tablet","8001967","tofacitinib"
"02472805","ZOLEDRONIC ACID FOR INJECTION (zoledronic acid (zoledronic acid monohydrate) 4 mg per 5 mL solution for injection) MARCAN PHARMACEUTICALS INC","c0e78131ece5fcc933a2bd36a2fabbb9","zoledronic acid 4 mg per 5 mL solution for injection","8001426","zoledronic acid"
