mp_code,mp_formal_name,changes
"00038121","EPHEDRINE SULFATE INJECTION USP (ephedrine sulfate 50 mg per 1 mL solution for injection ampoule) PFIZER CANADA ULC","DELETED"
"00296163","QUELICIN (succinylcholine chloride 1000 mg per 10 mL solution for injection vial) PFIZER CANADA ULC","DELETED"
"00443832","DEPAKENE (valproic acid (sodium valproate) 250 mg per 5 mL syrup) BGP PHARMA ULC","mp_formal_name: ""DEPAKENE (valproic acid (sodium valproate) 250 mg per 5 mL syrup) BGP PHARMA ULC"" -> ""DEPAKENE (valproic acid (sodium valproate) 250 mg per 5 mL oral solution) BGP PHARMA ULC"""
"00727520","HEPARIN LEO 100UNIT/ML (heparin sodium 1000 unit per 10 mL irrigation solution vial) LEO PHARMA INC","ADDED"
"00741884","PMS HYDROXYZINE CAP 10MG (hydroxyzine hydrochloride 10 mg oral capsule) PHARMASCIENCE INC","mp_status_effective_time: ""20170803"" -> ""20190320"""
"00741892","PMS HYDROXYZINE CAP 25MG (hydroxyzine hydrochloride 25 mg oral capsule) PHARMASCIENCE INC","mp_status_effective_time: ""20170803"" -> ""20190320"""
"00741906","PMS HYDROXYZINE CAP 50MG (hydroxyzine hydrochloride 50 mg oral capsule) PHARMASCIENCE INC","mp_status_effective_time: ""20170803"" -> ""20190320"""
"00887056","NAPROXEN-NA (naproxen sodium 275 mg oral tablet) PRO DOC LIMITEE","DELETED"
"01916947","BACTROBAN (mupirocin 2 % cutaneous ointment) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","DELETED"
"01944746","BENYLIN DM-D FOR CHILDREN (dextromethorphan hydrobromide 7.5 mg per 5 mL and pseudoephedrine hydrochloride 15 mg per 5 mL syrup) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC","Health_Canada_product_name: ""BENYLIN DM-D FOR CHILDREN"" -> ""BENYLIN FOR CHILDREN COUGH & COLD""
mp_formal_name: ""BENYLIN DM-D FOR CHILDREN (dextromethorphan hydrobromide 7.5 mg per 5 mL and pseudoephedrine hydrochloride 15 mg per 5 mL syrup) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"" -> ""BENYLIN FOR CHILDREN COUGH & COLD (dextromethorphan hydrobromide 7.5 mg per 5 mL and pseudoephedrine hydrochloride 15 mg per 5 mL syrup) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"""
"02025280","RISPERDAL (risperidone 1 mg oral tablet) JANSSEN INC","DELETED"
"02025299","RISPERDAL (risperidone 2 mg oral tablet) JANSSEN INC","DELETED"
"02025302","RISPERDAL (risperidone 3 mg oral tablet) JANSSEN INC","DELETED"
"02025310","RISPERDAL (risperidone 4 mg oral tablet) JANSSEN INC","DELETED"
"02161745","TEVA-CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 500 mg oral tablet) TEVA CANADA LIMITED","DELETED"
"02204606","PROLASTIN-C (alpha 1-proteinase inhibitor human 1000 mg per vial powder for solution for injection with diluent solution) GRIFOLS THERAPEUTICS LLC","DELETED"
"02215187","CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL (alprostadil 20 mcg per vial powder for solution for injection) PFIZER CANADA ULC","ADDED"
"02215268","BENYLIN DM FOR CHILDREN - SYR 7.5MG/5ML (dextromethorphan hydrobromide 7.5 mg per 5 mL syrup) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC","Health_Canada_product_name: ""BENYLIN DM FOR CHILDREN - SYR 7.5MG/5ML"" -> ""BENYLIN FOR CHILDREN DRY COUGH""
mp_formal_name: ""BENYLIN DM FOR CHILDREN - SYR 7.5MG/5ML (dextromethorphan hydrobromide 7.5 mg per 5 mL syrup) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"" -> ""BENYLIN FOR CHILDREN DRY COUGH (dextromethorphan hydrobromide 7.5 mg per 5 mL oral solution) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"""
"02236807","PMS-VALPROIC ACID (valproic acid (sodium valproate) 250 mg per 5 mL syrup) PHARMASCIENCE INC","mp_formal_name: ""PMS-VALPROIC ACID (valproic acid (sodium valproate) 250 mg per 5 mL syrup) PHARMASCIENCE INC"" -> ""PMS-VALPROIC ACID (valproic acid (sodium valproate) 250 mg per 5 mL oral solution) PHARMASCIENCE INC"""
"02237526","GOLD BOND MEDICATED BODY LOTION (dimethicone 5 % and menthol 0.15 % lotion) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","DELETED"
"02237563","GOLD BOND EXTRA STRENGTH MEDICATED BODY LOTION (dimethicone 5 % and menthol 0.5 % lotion) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","DELETED"
"02237682","TEVA-NORFLOXACIN (norfloxacin 400 mg oral tablet) TEVA CANADA LIMITED","DELETED"
"02238348","RESCRIPTOR (delavirdine mesylate 100 mg oral tablet) VIIV HEALTHCARE ULC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19980724"" -> ""20181101"""
"02240526","DENTI-CARE CHLORHEXIDINE GLUCONATE ORAL RINSE 0.12% (chlorhexidine gluconate 0.12 % mouthwash) AMD MEDICOM INC","Health_Canada_product_name: ""DENTI-CARE CHLORHEXIDINE GLUCONATE ORAL RINSE 0.12%"" -> ""DENTICARE CHLORHEXIDINE GLUCONATE ORAL RINSE 0.12%""
mp_formal_name: ""DENTI-CARE CHLORHEXIDINE GLUCONATE ORAL RINSE 0.12% (chlorhexidine gluconate 0.12 % mouthwash) AMD MEDICOM INC"" -> ""DENTICARE CHLORHEXIDINE GLUCONATE ORAL RINSE 0.12% (chlorhexidine gluconate 0.12 % mouthwash) AMD MEDICOM INC"""
"02240552","RISPERDAL (risperidone 0.5 mg oral tablet) JANSSEN INC","DELETED"
"02241917","MARCAINE (bupivacaine hydrochloride 150 mg per 20 mL solution for injection vial) PFIZER CANADA ULC","DELETED"
"02242096","RIVA-GLYBURIDE (glyburide 5 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190402"""
"02242149","RIVA-BUSPIRONE 10 MG (buspirone hydrochloride 10 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02243978","PMS-CODEINE (codeine phosphate 15 mg oral tablet) PHARMASCIENCE INC","mp_status_effective_time: ""20170803"" -> ""20190404"""
"02243979","PMS-CODEINE (codeine phosphate 30 mg oral tablet) PHARMASCIENCE INC","mp_status_effective_time: ""20180802"" -> ""20190404"""
"02245667","EURO-CYPROHEPTADINE 4MG/TABLET (cyproheptadine hydrochloride 4 mg oral tablet) SANDOZ CANADA INCORPORATED","Health_Canada_product_name: ""EURO-CYPROHEPTADINE 4MG/TABLET"" -> ""SANDOZ CYPROHEPTADINE TABLET""
mp_formal_name: ""EURO-CYPROHEPTADINE 4MG/TABLET (cyproheptadine hydrochloride 4 mg oral tablet) SANDOZ CANADA INCORPORATED"" -> ""SANDOZ CYPROHEPTADINE TABLET (cyproheptadine hydrochloride 4 mg oral tablet) SANDOZ CANADA INCORPORATED"""
"02247297","RIVA-SIMVASTATIN (simvastatin 5 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02247298","RIVA-SIMVASTATIN (simvastatin 10 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02247299","RIVA-SIMVASTATIN (simvastatin 20 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02247300","RIVA-SIMVASTATIN (simvastatin 40 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02247301","RIVA-SIMVASTATIN (simvastatin 80 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02248297","EVRA (ethinyl estradiol 35 mcg per 24 hours and norelgestromin 200 mcg per 24 hours transdermal patch) JANSSEN INC","mp_formal_name: ""EVRA (ethinyl estradiol 35 mcg per 24 hours and norelgestromin 200 mcg per 24 hours transdermal patch) JANSSEN INC"" -> ""EVRA (ethinyl estradiol 35 mcg per 24 hour and norelgestromin 200 mcg per 24 hour transdermal patch) JANSSEN INC"""
"02270234","RIVA-PRAVASTATIN (pravastatin sodium 10 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190402"""
"02270242","RIVA-PRAVASTATIN (pravastatin sodium 20 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02270250","RIVA-PRAVASTATIN (pravastatin sodium 40 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02273454","TEEN MIDOL COMPLETE (acetaminophen 325 mg and caffeine 60 mg and pyrilamine maleate 15 mg oral tablet) BAYER INC","DELETED"
"02287226","MINOCYCLINE (minocycline (minocycline hydrochloride) 50 mg oral capsule) SANIS HEALTH INC","DELETED"
"02305909","MARCAINE (bupivacaine hydrochloride 250 mg per 50 mL solution for injection vial) PFIZER CANADA ULC","DELETED"
"02320908","RATIO-MEMANTINE (memantine hydrochloride 10 mg oral tablet) TEVA CANADA LIMITED","DELETED"
"02382369","AXIRON (testosterone 30 mg per actuation transdermal solution) ELI LILLY CANADA INC","DELETED"
"02387921","ATORVASTATIN (atorvastatin (atorvastatin calcium) 80 mg oral tablet) SIVEM PHARMACEUTICALS ULC","DELETED"
"02388030","COLD + SINUS DAYTIME COLD + SINUS NIGHTTIME (chlorpheniramine 2 mg and ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet) VITA HEALTH PRODUCTS INC","mp_formal_name: ""COLD + SINUS DAYTIME COLD + SINUS NIGHTTIME (chlorpheniramine 2 mg and ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet) VITA HEALTH PRODUCTS INC"" -> ""COLD + SINUS DAYTIME COLD + SINUS NIGHTTIME (chlorpheniramine maleate 2 mg and ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet) VITA HEALTH PRODUCTS INC"""
"02388650","ACT CANDESARTAN/HCT (candesartan cilexetil 16 mg and hydrochlorothiazide 12.5 mg oral tablet) ACTAVIS PHARMA COMPANY","DELETED"
"02394898","ACT ANASTROZOLE (anastrozole 1 mg oral tablet) ACTAVIS PHARMA COMPANY","mp_formal_name: ""ACT ANASTROZOLE (anastrozole 1 mg oral tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT ANASTROZOLE (anastrozole 1 mg oral tablet) TEVA CANADA LIMITED"""
"02399733","ADVIL COLD & SINUS CONVENIENCE PACK (chlorpheniramine 2 mg and ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet ) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC","mp_formal_name: ""ADVIL COLD & SINUS CONVENIENCE PACK (chlorpheniramine 2 mg and ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet ) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ADVIL COLD & SINUS CONVENIENCE PACK (chlorpheniramine maleate 2 mg and ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet ) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"""
"02404877","RIVA-ALPRAZOLAM (alprazolam 0.25 mg oral tablet) LABORATOIRE RIVA INC","DELETED"
"02413469","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 50 mg and misoprostol 200 mcg gastro-resistant tablet) PHARMASCIENCE INC","ADDED"
"02413477","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 75 mg and misoprostol 200 mcg gastro-resistant tablet) PHARMASCIENCE INC","ADDED"
"02414252","SATINIQUE ANTI-DANDRUFF SHAMPOO (pyrithione zinc 0.95 % shampoo) AMWAY CANADA CORPORATION","ADDED"
"02425319","RIVA-IRBESARTAN (irbesartan 75 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425327","RIVA-IRBESARTAN (irbesartan 150 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425335","RIVA-IRBESARTAN (irbesartan 300 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425408","RIVA-CANDESARTAN (candesartan cilexetil 4 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425416","RIVA-CANDESARTAN (candesartan cilexetil 8 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425424","RIVA-CANDESARTAN (candesartan cilexetil 16 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425432","RIVA-CANDESARTAN (candesartan cilexetil 32 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425440","RIVA-VALSARTAN (valsartan 40 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425459","RIVA-VALSARTAN (valsartan 80 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425467","RIVA-VALSARTAN (valsartan 160 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425475","RIVA-VALSARTAN (valsartan 320 mg oral tablet) LABORATOIRE RIVA INC","mp_status_effective_time: ""20170705"" -> ""20190401"""
"02425718","CISATRACURIUM BESYLATE INJECTION (cisatracurium (cisatracurium besylate) 20 mg per 10 mL solution for injection vial) PFIZER CANADA ULC","DELETED"
"02426048","HEAD & SHOULDERS INSTANT HYDRATION 2IN1 (pyrithione zinc 1 % shampoo) PROCTER & GAMBLE INC","DELETED"
"02434318","OTEZLA (apremilast 10 mg oral tablet wtih apremilast 20 mg oral tablet with apremilast 30 mg oral tablet) CELGENE INC","mp_formal_name: ""OTEZLA (apremilast 10 mg oral tablet wtih apremilast 20 mg oral tablet with apremilast 30 mg oral tablet) CELGENE INC"" -> ""OTEZLA (apremilast 10 mg oral tablet with apremilast 20 mg oral tablet with apremilast 30 mg oral tablet) CELGENE INC"""
"02439409","ROPIVACAINE HYDROCHLORIDE INJECTION, USP (ropivacaine hydrochloride 10 mg per mL solution for injection) FRESENIUS KABI CANADA LTD","ADDED"
"02441535","XARELTO (rivaroxaban 15 mg oral tablet with rivaroxaban 20 mg oral tablet) BAYER INC","DELETED"
"02446022","DILTIAZEM CD (diltiazem hydrochloride 300 mg prolonged-release oral capsule) SIVEM PHARMACEUTICALS ULC","DELETED"
"02475065","DICLOFENAC (diclofenac sodium 0.1 % ophthalmic drops) PHARMA STULLN INC.","ADDED"
"02477327","DEXMEDETOMIDINE HYDROCHLORIDE FOR INJECTION (dexmedetomidine (dexmedetomidine hydrochloride) 100 mcg per mL solution for injection) ACCORD HEALTHCARE INC","ADDED"
"02477343","PMS-BUSULFAN (busulfan 6 mg per mL solution for injection) PHARMASCIENCE INC","ADDED"
"02480131","COVERGIRL TRUBLEND BASE BUSINESS SKIN PRIMER BASE POUR LA PEAU (ensulizole 3 % cutaneous emulsion) HFC PRESTIGE INTERNATIONAL CANADA INC","ADDED"
"02480956","MINT-ABACAVIR (abacavir (abacavir sulfate) 300 mg oral tablet) MINT PHARMACEUTICALS INC","ADDED"
"02485052","AG-FLUOXETINE (fluoxetine (fluoxetine hydrochloride) 10 mg oral capsule) ANGITA PHARMA INC.","ADDED"
"02485060","AG-FLUOXETINE (fluoxetine (fluoxetine hydrochloride) 20 mg oral capsule) ANGITA PHARMA INC.","ADDED"
"02485877","ENVARSUS PA (tacrolimus 0.75 mg prolonged-release oral tablet) ENDO VENTURES LTD","ADDED"
"02485885","ENVARSUS PA (tacrolimus 1 mg prolonged-release oral tablet) ENDO VENTURES LTD","ADDED"
"02485893","ENVARSUS PA (tacrolimus 4 mg prolonged-release oral tablet) ENDO VENTURES LTD","ADDED"
"77700670","MARCAINE (bupivacaine hydrochloride 25 mg per 10 mL solution for injection vial) PFIZER CANADA ULC","DELETED"
"77700671","MARCAINE (bupivacaine hydrochloride 50 mg per 20 mL solution for injection vial) PFIZER CANADA ULC","DELETED"
