ntp_code,ntp_formal_name,changes
"03802fd7a87720220fccd9b3096185fd","tacrolimus 4 mg prolonged-release oral tablet","ADDED"
"962b0f37a6a5dbad9bcb0f8277e49136","apremilast 10 mg oral tablet with apremilast 20 mg oral tablet with apremilast 30 mg oral tablet","ADDED"
"9012920","bupivacaine hydrochloride 25 mg per 10 mL solution for injection vial","ntp_status_effective_time: ""20001201"" -> ""20160520"""
"9006272","ranitidine (ranitidine hydrochloride) 100 mg per 2 mL solution for injection vial","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9000489","risperidone 1 mg oral tablet","ntp_status_effective_time: ""19931231"" -> ""20060705"""
"9004648","dexmedetomidine (dexmedetomidine hydrochloride) 100 mcg per mL solution for injection","ADDED"
"9013290","ethinyl estradiol 35 mcg per 24 hours and norelgestromin 200 mcg per 24 hours transdermal patch","DELETED"
"9006562","ethinyl estradiol 35 mcg per 24 hours and norelgestromin 20 mcg per 24 hours transdermal patch","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9012368","ephedrine sulfate 50 mg per 1 mL solution for injection ampoule","ntp_status_effective_time: ""19661231"" -> ""19901231"""
"9003420","busulfan 6 mg per mL solution for injection","ADDED"
"9012961","dobutamine (dobutamine hydrochloride) 5000 mg per 20 mL solution for injection vial","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9003414","dimethicone 5 % and menthol 0.15 % lotion","DELETED"
"9000145","diazepam 20 mg per 2 mL solution for injection ampoule","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9012593","testosterone 30 mg per actuation transdermal solution","DELETED"
"9004193","acetaminophen 325 mg and caffeine 60 mg and pyrilamine maleate 15 mg oral tablet","DELETED"
"9000490","risperidone 2 mg oral tablet","ntp_status_effective_time: ""19931231"" -> ""20060705"""
"9006541","valproic acid (sodium valproate) 250 mg per 5 mL oral solution","ntp_status_effective_time: ""19980715"" -> ""19781231"""
"9002933","dextromethorphan hydrobromide 7.5 mg per 5 mL syrup","DELETED"
"4cb30a132ef1d41694064982dfa54a33","ethinyl estradiol 15 mcg per 24 hour and etonogestrel 120 mcg per 24 hour vaginal delivery system","ADDED"
"9013602","pyrithione zinc 0.95 % shampoo","ADDED"
"9010882","nitroglycerin 500 mg per 10 mL solution for injection vial","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9009620","furosemide 40 mg per 2 mL solution for injection ampoule","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9006499","rivaroxaban 15 mg oral tablet with rivaroxaban 20 mg oral tablet","DELETED"
"9000759","valproic acid (sodium valproate) 250 mg per 5 mL syrup","DELETED"
"9013297","heparin sodium 1000 unit per 10 mL irrigation solution vial","ADDED"
"9012921","bupivacaine hydrochloride 250 mg per 50 mL solution for injection vial","DELETED"
"9000491","risperidone 3 mg oral tablet","ntp_status_effective_time: ""19931231"" -> ""20060705"""
"29d3554971dc5f6c68d9668710506431","dextromethorphan hydrobromide 7.5 mg per 5 mL oral solution","ADDED"
"9009384","ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 100 mcg oral tablet","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9012919","bupivacaine hydrochloride 150 mg per 20 mL solution for injection vial","DELETED"
"9000872","risperidone 0.5 mg oral tablet","ntp_status_effective_time: ""19990917"" -> ""20060705"""
"9012954","denosumab 204 mg per 1.7 mL solution for injection syringe","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"2abfb8962b8bd26d19e712c34757af97","ethinyl estradiol 35 mcg per 24 hour and norelgestromin 200 mcg per 24 hour transdermal patch","ADDED"
"0689d9421c6bfec32b9d7a9d332124f4","chlorpheniramine maleate 2 mg and ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet","ADDED"
"9006475","ethinyl estradiol 15 mcg per 24 hours and etonogestrel 120 mcg per 24 hours vaginal delivery system","DELETED"
"0d9d7c8c4cd617433260b5a02c7d284d","tacrolimus 1 mg prolonged-release oral tablet","ADDED"
"9012893","apremilast 10 mg oral tablet wtih apremilast 20 mg oral tablet with apremilast 30 mg oral tablet","DELETED"
"9013032","alprostadil 20 mcg per vial powder for solution for injection","ADDED"
"9006236","digoxin 1 mg per 2 mL solution for injection ampoule","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9009350","estradiol 0.1 % transdermal gel","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9013349","succinylcholine chloride 1000 mg per 10 mL solution for injection vial","DELETED"
"9000819","ibuprofen 40 mg per mL oral suspension","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9012940","chlorpheniramine 2 mg and ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet","DELETED"
"9000965","ketorolac tromethamine 30 mg per mL solution for injection","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9005130","ensulizole 3 % cutaneous emulsion","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9010880","nitroglycerin 100 mg per 10 mL solution for injection vial","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9013756","alpha 1-proteinase inhibitor human 1000 mg per vial powder for solution for injection with diluent solution","DELETED"
"57db99336e634e00e2caf65a8e7dbc05","tacrolimus 0.75 mg prolonged-release oral tablet","ADDED"
"9003415","dimethicone 5 % and menthol 0.5 % lotion","DELETED"
"9004569","dextromethorphan hydrobromide 15 mg per 5 mL and guaifenesin 200 mg per 5 mL and menthol 15 mg per 5 mL oral solution","ntp_status_effective_time: ""20190401"" -> ""20190501"""
"9000492","risperidone 4 mg oral tablet","ntp_status_effective_time: ""19931231"" -> ""20060705"""
"9003086","ropivacaine hydrochloride 10 mg per mL solution for injection","ADDED"
"9003271","delavirdine mesylate 100 mg oral tablet","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19980724"" -> ""20181101"""
