ntp_code,ntp_formal_name,changes
"0386ec34417c231d8ea6580f9c38419d","clotrimazole 2 % and fluconazole 150 mg NA","ADDED"
"17ec88315620dcb0959e31270403ba9f","methotrexate (methotrexate sodium) 20 mg per 0.4 mL solution for injection","ADDED"
"1b45b5e6ebb70fce074c027fb6c9cc4f","methotrexate (methotrexate sodium) 25 mg per 0.5 mL solution for injection","ADDED"
"1e90ec2f3dd8b837d16087bb9ae9eac0","fosfomycin (fosfomycin sodium) 4 g per vial powder for solution for injection","ADDED"
"26ab56e943b4875dc48ec1c724ee361a","methotrexate (methotrexate sodium) 22.5 mg per 0.45 mL solution for injection","ADDED"
"2857641aa15f5bc8f4a9f481f28d756e","methotrexate (methotrexate sodium) 17.5 mg per 0.35 mL solution for injection","ADDED"
"38279c8614c286c8cca0714b5036f62c","filgrastim (pegfilgrastim) 10 mg per mL solution for injection","ADDED"
"9000188","hydrocortisone acetate 10 % rectal foam","ntp_status_effective_time: ""20190725"" -> ""20200312"""
"9000278","metoprolol tartrate 5 mg per 5 mL solution for injection ampoule","DELETED"
"9000785","pramipexole dihydrochloride 1 mg oral tablet","ntp_status_effective_time: ""19980226"" -> ""20061207"""
"9002073","methylene blue 0.2 mg per mL and naphazoline nitrate 0.5 mg per mL ophthalmic drops","ntp_status: ""INACTIVE"" -> ""ACTIVE""
ntp_status_effective_time: ""20171001"" -> ""19861231"""
"9003831","petrolatum 49.5 % and zinc oxide 40 % cutaneous ointment","ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20031010"" -> ""20161231"""
"9013132","follitropin alfa 450 unit per vial powder for solution for injection with diluent solution syringe","DELETED"
"9013835","polidocanol 1.3 mg per mL injectable foam 45 mL canister","DELETED"
"9014222","irinotecan (irinotecan sucrose octasulfate liposomal) 43 mg per 10 mL suspension for injection vial","DELETED"
"a960a242775e216e9e7ef2ee3d91e556","irinotecan (irinotecan sucrose octasulfate liposomal) 4.3 mg per mL suspension for injection vial","ADDED"
"b9ffa47f3a3612d2a98a4fed82b8ac4e","cholestyramine 4 g per sachet oral suspension","ADDED"
"bcfcc76e6dbe29c7be5894aaddd15bc7","clotrimazole 2 % cutaneous cream","ADDED"
"c0e78131ece5fcc933a2bd36a2fabbb9","zoledronic acid 4 mg per 5 mL solution for injection","ADDED"
