drug_code,drug_identification_number,mp_formal_name,ntp_formal_name,brand_name,descriptor,company_name
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) TEVA CANADA LIMITED,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,NA,TEVA CANADA LIMITED
92104,02436736,CLÉO-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) ALTIUS HEALTHCARE INC,cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet,CLÉO -35,NA,ALTIUS HEALTHCARE INC
5482,00602957,ORTHO 7/7/7 TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) JANSSEN INC,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet,ORTHO 7/7/7 TABLETS (21 DAY),NA,JANSSEN INC
5483,00602965,ORTHO 7/7/7 TABLETS (28 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet,ORTHO 7/7/7 TABLETS (28 DAY),NA,JANSSEN INC
5104,00317047,ORTHO 0.5/35 TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet) JANSSEN INC,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet,ORTHO 0.5/35 TABLETS (21 DAY),NA,JANSSEN INC
20162,02187086,BREVICON 0.5/35 TABLETS (21-DAY PACK) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet) PFIZER CANADA ULC,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet,BREVICON 0.5/35 TABLETS (21-DAY PACK),NA,PFIZER CANADA ULC
5106,00340731,ORTHO 0.5/35 TABLETS (28 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet) JANSSEN INC,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet,ORTHO 0.5/35 TABLETS (28 DAY),NA,JANSSEN INC
42888,02187094,BREVICON 0.5/35 TABLETS (28-DAY PACK) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC,ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet,BREVICON 0.5/35 TABLETS (28-DAY PACK),NA,PFIZER CANADA ULC
5103,00372846,ORTHO 1/35 TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) JANSSEN INC,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet,ORTHO 1/35 TABLETS (21 DAY),NA,JANSSEN INC
42921,02189054,BREVICON 1/35 TABLETS (21-DAY PACK) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) PFIZER CANADA ULC,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet,BREVICON 1/35 TABLETS (21-DAY PACK),NA,PFIZER CANADA ULC
42952,02197502,SELECT 1/35 (21-DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) PFIZER CANADA ULC,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet,SELECT 1/35 (21-DAY),NA,PFIZER CANADA ULC
5105,00372838,ORTHO 1/35 TABLETS (28 DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet,ORTHO 1/35 TABLETS (28 DAY),NA,JANSSEN INC
42922,02189062,BREVICON 1/35 TABLETS (28-DAY PACK) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet,BREVICON 1/35 TABLETS (28-DAY PACK),NA,PFIZER CANADA ULC
42960,02199297,SELECT 1/35 (28-DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet,SELECT 1/35 (28-DAY),NA,PFIZER CANADA ULC
74376,02258560,TRI-CYCLEN LO (21 DAY) (ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet) JANSSEN INC,ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet,TRI-CYCLEN LO        (-21 DAY),NA,JANSSEN INC
74378,02258587,TRI-CYCLEN LO (28 DAY) (ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet) JANSSEN INC,ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet,TRI-CYCLEN LO        (28 DAY),NA,JANSSEN INC
12998,01968440,CYCLEN TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet) JANSSEN INC,ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet,CYCLEN TABLETS (21 DAY),NA,JANSSEN INC
12988,01992872,CYCLEN TABLETS (28 DAY) (ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet) JANSSEN INC,ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet,CYCLEN TABLETS (28 DAY),NA,JANSSEN INC
49563,02230509,CANESTEN COMBI 1 DAY INTERNAL + EXTERNAL CREAMS (clotrimazole 1 % cutaneous cream with clotrimazole 10 % vaginal cream) BAYER INC,clotrimazole 1 % cutaneous cream with clotrimazole 10 % vaginal cream,CANESTEN COMBI 1 DAY INTERNAL + EXTERNAL CREAMS,NA,BAYER INC
74952,02264102,CANESTEN COMBI 1 DAY COMFORTAB + EXTERNAL CREAM (clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet) BAYER INC,clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet,CANESTEN COMBI 1 DAY COMFORTAB + EXTERNAL CREAM,NA,BAYER INC
74951,02264099,CANESTEN COMBI 3 DAY COMFORTAB + EXTERNAL CREAM (clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet) BAYER INC,clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet,CANESTEN COMBI 3 DAY COMFORTAB + EXTERNAL CREAM,NA,BAYER INC
