mp_code,mp_formal_name,changes
"00027944","VALISONE (betamethasone (betamethasone valerate) 0.1 % lotion) BAUSCH HEALTH, CANADA INC.","Health_Canada_product_name: ""VALISONE SCALP LOTION"" -> ""VALISONE""
mp_formal_name: ""VALISONE SCALP LOTION (betamethasone (betamethasone valerate) 0.1 % lotion) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""VALISONE (betamethasone (betamethasone valerate) 0.1 % lotion) BAUSCH HEALTH, CANADA INC.""
mp_status_effective_time: ""20180727"" -> ""20210219"""
"00177016","VALISONE-G (betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous cream) BAUSCH HEALTH, CANADA INC.","Health_Canada_product_name: ""VALISONE-G CREAM"" -> ""VALISONE-G""
mp_formal_name: ""VALISONE-G CREAM (betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""VALISONE-G (betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous cream) BAUSCH HEALTH, CANADA INC."""
"00232351","VALISONE-G (betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous ointment) BAUSCH HEALTH, CANADA INC.","Health_Canada_product_name: ""VALISONE-G OINTMENT"" -> ""VALISONE-G""
mp_formal_name: ""VALISONE-G OINTMENT (betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous ointment) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""VALISONE-G (betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous ointment) BAUSCH HEALTH, CANADA INC."""
"00402753","APO-PROPRANOLOL (propranolol hydrochloride 40 mg oral tablet) APOTEX INC","Health_Canada_product_name: ""APO PROPRANOLOL TAB 40MG"" -> ""APO-PROPRANOLOL""
mp_formal_name: ""APO PROPRANOLOL TAB 40MG (propranolol hydrochloride 40 mg oral tablet) APOTEX INC"" -> ""APO-PROPRANOLOL (propranolol hydrochloride 40 mg oral tablet) APOTEX INC""
mp_status_effective_time: ""20170804"" -> ""20210129"""
"00402761","APO-PROPRANOLOL (propranolol hydrochloride 80 mg oral tablet) APOTEX INC","Health_Canada_product_name: ""APO PROPRANOLOL TAB 80MG"" -> ""APO-PROPRANOLOL""
mp_formal_name: ""APO PROPRANOLOL TAB 80MG (propranolol hydrochloride 80 mg oral tablet) APOTEX INC"" -> ""APO-PROPRANOLOL (propranolol hydrochloride 80 mg oral tablet) APOTEX INC""
mp_status_effective_time: ""20170804"" -> ""20210129"""
"00402788","APO-PROPRANOLOL (propranolol hydrochloride 10 mg oral tablet) APOTEX INC","Health_Canada_product_name: ""APO PROPRANOLOL TAB 10MG"" -> ""APO-PROPRANOLOL""
mp_formal_name: ""APO PROPRANOLOL TAB 10MG (propranolol hydrochloride 10 mg oral tablet) APOTEX INC"" -> ""APO-PROPRANOLOL (propranolol hydrochloride 10 mg oral tablet) APOTEX INC""
mp_status_effective_time: ""20170804"" -> ""20210129"""
"00504335","APO-PROPRANOLOL (propranolol hydrochloride 120 mg oral tablet) APOTEX INC","Health_Canada_product_name: ""APO PROPRANOLOL TAB 120MG"" -> ""APO-PROPRANOLOL""
mp_formal_name: ""APO PROPRANOLOL TAB 120MG (propranolol hydrochloride 120 mg oral tablet) APOTEX INC"" -> ""APO-PROPRANOLOL (propranolol hydrochloride 120 mg oral tablet) APOTEX INC""
mp_status_effective_time: ""20170804"" -> ""20210129"""
"00518182","STIEVA-A (tretinoin 0.05 % cutaneous cream) GLAXOSMITHKLINE INC","Health_Canada_product_name: ""STIEVA-A CREAM"" -> ""STIEVA-A""
mp_formal_name: ""STIEVA-A CREAM (tretinoin 0.05 % cutaneous cream) GLAXOSMITHKLINE INC"" -> ""STIEVA-A (tretinoin 0.05 % cutaneous cream) GLAXOSMITHKLINE INC"""
"00578576","STIEVA-A (tretinoin 0.025 % cutaneous cream) GLAXOSMITHKLINE INC","Health_Canada_product_name: ""STIEVA-A CREAM"" -> ""STIEVA-A""
mp_formal_name: ""STIEVA-A CREAM (tretinoin 0.025 % cutaneous cream) GLAXOSMITHKLINE INC"" -> ""STIEVA-A (tretinoin 0.025 % cutaneous cream) GLAXOSMITHKLINE INC"""
"00657204","STIEVA-A (tretinoin 0.01 % cutaneous cream) GLAXOSMITHKLINE INC","Health_Canada_product_name: ""STIEVA-A CREAM"" -> ""STIEVA-A""
mp_formal_name: ""STIEVA-A CREAM (tretinoin 0.01 % cutaneous cream) GLAXOSMITHKLINE INC"" -> ""STIEVA-A (tretinoin 0.01 % cutaneous cream) GLAXOSMITHKLINE INC"""
"00663719","APO-PROPRANOLOL (propranolol hydrochloride 20 mg oral tablet) APOTEX INC","Health_Canada_product_name: ""APO-PROPRANOLOL TAB 20MG"" -> ""APO-PROPRANOLOL""
mp_formal_name: ""APO-PROPRANOLOL TAB 20MG (propranolol hydrochloride 20 mg oral tablet) APOTEX INC"" -> ""APO-PROPRANOLOL (propranolol hydrochloride 20 mg oral tablet) APOTEX INC""
mp_status_effective_time: ""20170804"" -> ""20210129"""
"00830267","DOCUSATE SODIUM CAP 100MG USP (docusate sodium 100 mg oral capsule) LABORATOIRES TRIANON INC.","DELETED"
"02003767","XYLOCAINE ENDOTRACHEAL (lidocaine (lidocaine hydrochloride) 10 mg per actuation endotracheopulmonary instillation) ASPEN PHARMACARE CANADA INC.","Health_Canada_product_name: ""XYLOCAINE ENDOTRACHEAL"" -> ""XYLOCAINE SPRAY"""
"02063743","PMS-BACLOFEN (baclofen 20 mg oral tablet) PHARMASCIENCE INC","Health_Canada_product_name: ""PMS-BACLOFEN TAB 20MG"" -> ""PMS-BACLOFEN""
mp_formal_name: ""PMS-BACLOFEN TAB 20MG (baclofen 20 mg oral tablet) PHARMASCIENCE INC"" -> ""PMS-BACLOFEN (baclofen 20 mg oral tablet) PHARMASCIENCE INC"""
"02091887","RIFADIN (rifampin 150 mg oral capsule) SANOFI-AVENTIS CANADA INC","mp_status_effective_time: ""20200717"" -> ""20210128"""
"02092808","RIFADIN (rifampin 300 mg oral capsule) SANOFI-AVENTIS CANADA INC","mp_status_effective_time: ""20200717"" -> ""20210128"""
"02153513","ONCOTICE (bacillus Calmette-Guérin substrain TICE 800000000 unit per vial powder for intravesical solution) MERCK CANADA INC","mp_formal_name: ""ONCOTICE (bacillus Calmette-Guérin substrain TICE 800000000 unit per vial powder for solution for injection) MERCK CANADA INC"" -> ""ONCOTICE (bacillus Calmette-Guérin substrain TICE 800000000 unit per vial powder for intravesical solution) MERCK CANADA INC"""
"02161923","LIDEX (fluocinonide 0.05 % cutaneous cream) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""LIDEX (fluocinonide 0.05 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""LIDEX (fluocinonide 0.05 % cutaneous cream) BAUSCH HEALTH, CANADA INC."""
"02161966","LIDEX (fluocinonide 0.05 % cutaneous ointment) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""LIDEX (fluocinonide 0.05 % cutaneous ointment) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""LIDEX (fluocinonide 0.05 % cutaneous ointment) BAUSCH HEALTH, CANADA INC."""
"02161974","LIDEX (fluocinonide 0.05 % cutaneous gel) BAUSCH HEALTH, CANADA INC.","mp_formal_name: ""LIDEX (fluocinonide 0.05 % cutaneous gel) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""LIDEX (fluocinonide 0.05 % cutaneous gel) BAUSCH HEALTH, CANADA INC."""
"02182742","FLUOROURACIL INJECTION USP (fluorouracil 50 mg per mL solution for injection 100 mL vial) PFIZER CANADA ULC","DELETED"
"02212218","FORTAZ (ceftazidime (ceftazidime pentahydrate) 1 g per vial powder for solution for injection) GLAXOSMITHKLINE INC","mp_status_effective_time: ""20190618"" -> ""20201221"""
"02212226","FORTAZ (ceftazidime (ceftazidime pentahydrate) 2 g per vial powder for solution for injection) GLAXOSMITHKLINE INC","mp_status_effective_time: ""20181017"" -> ""20201221"""
