tm_code,tm_formal_name,changes
8002247,polymyxin B and trimethoprim,"tm_status_effective_time: ""19931231"" -> ""20120802"""
8000902,formoterol,"tm_status_effective_time: ""19970708"" -> ""19980312"""
8001456,empagliflozin and linagliptin,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20161221"" -> ""20210611"""
8001559,alitretinoin,"tm_status_effective_time: ""20101119"" -> ""20210609"""
8001418,quinagolide,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20041229"" -> ""20210602"""
8001607,capecitabine,"tm_status_effective_time: ""19980910"" -> ""20130819"""
8001130,lixisenatide,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20170912"" -> ""20181008"""
8001168,adefovir,"tm_status_effective_time: ""20060418"" -> ""20140807"""
8002097,calcium carbonate and magnesium hydroxide and simethicone,DELETED
8002336,pramoxine,"tm_status_effective_time: ""20200720"" -> ""20210201"""
8001266,etanercept,"tm_status_effective_time: ""20010314"" -> ""20051221"""
8001308,ursodiol,"tm_status_effective_time: ""19981108"" -> ""20060501"""
8001866,petrolatum,"tm_status_effective_time: ""20100604"" -> ""20140306"""
8002255,dacomitinib,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20190422"" -> ""20220609"""
8002117,dextran 70 and polyethylene glycol 400 and povidone and tetrahydrozoline,"tm_status_effective_time: ""20050308"" -> ""20100830"""
8001372,dextromethorphan and phenylephrine,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20060818"" -> ""20190211"""
8002091,aluminum hydroxide and magnesium hydroxide and simethicone,"tm_status_effective_time: ""19631231"" -> ""20140114"""
8002257,enasidenib,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20190227"" -> ""20220114"""
8002070,pirfenidone,"tm_status_effective_time: ""20130108"" -> ""20170726"""
8001104,naratriptan,"tm_status_effective_time: ""19980505"" -> ""20091201"""
8001652,febuxostat,"tm_status_effective_time: ""20100930"" -> ""20190516"""
8001193,efavirenz and emtricitabine and tenofovir disoproxil,"tm_status_effective_time: ""20071023"" -> ""20170726"""
8001704,bismuth subgallate,DELETED
8001971,trametinib,DELETED
