drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
103882,02550040,VOYDEYA 150 MG DOSE,ALEXION PHARMA GMBH,VOYDEYA,ALEXION PHARMA GMBH,EACH DOSE CONTAINS 1 X 50 MG TABLET AND 1 X 100 MG TABLET
103886,02550059,VOYDEYA 200 MG DOSE,ALEXION PHARMA GMBH,VOYDEYA,ALEXION PHARMA GMBH,EACH DOSE CONTAINS 2 X 100 MG TABLET
96058,02471469,OZEMPIC MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES,NOVO NORDISK CANADA INC,OZEMPIC,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES
101765,02528509,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES  0.25 MG DOSES
101773,02528517,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 0.5 MG DOSES
101774,02528525,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES
101775,02528533,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 1.7 MG DOSES
101776,02528541,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 2.4 MG DOSES
101698,02527804,PAXLOVID FOR MODERATE RENAL IMPAIRMENT,PFIZER CANADA ULC,PAXLOVID,PFIZER CANADA ULC,FOR MODERATE RENAL IMPAIRMENT-CARDS OF 2 NIRMATRELVIR/2 RITONAVIR TABS
100488,02515474,PONVORY,JANSSEN INC,PONVORY,VANDA PHARMACEUTICALS INC.,INITIATION PACK (14 TABLET BLISTER PACK OF DIFFERENT STRENGTHS)
98835,02498596,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,750 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98834,02498588,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,500 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98830,02498537,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,125 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98831,02498545,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,250 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
99940,02510162,XARELTO FOR LESS THAN 4 KG,BAYER INC,XARELTO,BAYER INC,1MG/ML WHEN RECONSTITUTED
99941,02510170,XARELTO FOR 4 KG OR MORE,BAYER INC,XARELTO,BAYER INC,1MG/ML WHEN RECONSTITUTED
94619,02459035,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,50 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94620,02459043,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,100 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94621,02459051,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,200 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,
89090,02406179,PROACTIV 3-STEP CONVENIENCE PAK,"ALCHEMEE, LLC",PROACTIV SOLUTION 3-STEP ACNE ROUTINE,"ALCHEMEE, LLC",
