drug_code,mp_code,mp_formal_name,changes
9940,00782491,APO-VERAP TABLET 120MG (verapamil hydrochloride 120 mg oral tablet) APOTEX INC,DELETED
10034,00782483,APO-VERAP TAB 80MG (verapamil hydrochloride 80 mg oral tablet) APOTEX INC,DELETED
10497,00060313,ANTICOAGULANT SOD CITRATE SOLTN 4GM/100ML (sodium citrate 4 g per 100 mL solution for injection) BAXTER CORPORATION,"mp_formal_name: ""ANTICOAGULANT SOD CITRATE SOLTN 4GM/100ML (sodium citrate 4 g per 100 mL a̲n̲t̲i̲c̲o̲a̲g̲u̲l̲a̲n̲t̲ ̲a̲n̲d̲ ̲p̲r̲e̲s̲e̲r̲v̲a̲t̲i̲v̲e̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲f̲o̲r̲ ̲b̲l̲o̲o̲d̲) BAXTER CORPORATION"" -> ""ANTICOAGULANT SOD CITRATE SOLTN 4GM/100ML (sodium citrate 4 g per 100 mL s̲o̲l̲u̲t̲i̲o̲n̲ ̲f̲o̲r̲ ̲i̲n̲j̲e̲c̲t̲i̲o̲n̲) BAXTER CORPORATION""
ntp_code: ""9012862"" -> ""11d4f13429c4118eade3f6f35c445376""
ntp_formal_name: ""sodium citrate 4 g per 100 mL a̲n̲t̲i̲c̲o̲a̲g̲u̲l̲a̲n̲t̲ ̲a̲n̲d̲ ̲p̲r̲e̲s̲e̲r̲v̲a̲t̲i̲v̲e̲ ̲s̲o̲l̲u̲t̲i̲o̲n̲ ̲f̲o̲r̲ ̲b̲l̲o̲o̲d̲"" -> ""sodium citrate 4 g per 100 mL s̲o̲l̲u̲t̲i̲o̲n̲ ̲f̲o̲r̲ ̲i̲n̲j̲e̲c̲t̲i̲o̲n̲"""
10706,00778869,NITROJECT (nitroglycerin 50 mg per 10 vial solution for injection vial) JUNO PHARMA CANADA INC.,"mp_formal_name: ""NITROJECT (nitroglycerin 50 mg per 10 m̲L̲ solution for injection vial) O̲M̲E̲G̲A̲ ̲L̲A̲B̲O̲R̲A̲T̲O̲R̲I̲E̲S̲ ̲L̲I̲M̲I̲T̲E̲D̲"" -> ""NITROJECT (nitroglycerin 50 mg per 10 v̲i̲a̲l̲ solution for injection vial) J̲U̲N̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲""
ntp_code: ""9000302"" -> ""c7c5d3bc684a10c3acd87c5bebc100b4""
ntp_formal_name: ""nitroglycerin 50 mg per 10 m̲L̲ solution for injection vial"" -> ""nitroglycerin 50 mg per 10 v̲i̲a̲l̲ solution for injection vial"""
12743,01946986,UNISOM (diphenhydramine hydrochloride 50 mg oral tablet) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""UNISOM (diphenhydramine hydrochloride 50 mg oral tablet) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""UNISOM (diphenhydramine hydrochloride 50 mg oral tablet) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
14492,02036312,ADVIL COLD AND SINUS (ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet) HALEON CANADA ULC,"mp_formal_name: ""ADVIL COLD AND SINUS (ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet) G̲L̲A̲X̲O̲S̲M̲I̲T̲H̲K̲L̲I̲N̲E̲ ̲C̲O̲N̲S̲U̲M̲E̲R̲ ̲H̲E̲A̲L̲T̲H̲C̲A̲R̲E̲ ULC"" -> ""ADVIL COLD AND SINUS (ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet) H̲A̲L̲E̲O̲N̲ ̲C̲A̲N̲A̲D̲A̲ ULC"""
27528,02061597,UNISOM SLEEPGELS EXTRA STRENGTH (diphenhydramine hydrochloride 50 mg oral capsule) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""UNISOM SLEEPGELS EXTRA STRENGTH (diphenhydramine hydrochloride 50 mg oral capsule) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""UNISOM SLEEPGELS EXTRA STRENGTH (diphenhydramine hydrochloride 50 mg oral capsule) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
41867,00884553,TEMPRA CHILDREN'S SYRUP (acetaminophen 80 mg per 5 mL syrup) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""TEMPRA CHILDREN'S SYRUP (acetaminophen 80 mg per 5 mL syrup) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""TEMPRA CHILDREN'S SYRUP (acetaminophen 80 mg per 5 mL syrup) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
42066,00875996,TEMPRA DOUBLE STRENGTH CHILDREN'S SYRUP (acetaminophen 160 mg per 5 mL syrup) KNIGHT THERAPEUTICS INC.,"mp_formal_name: ""TEMPRA DOUBLE STRENGTH CHILDREN'S SYRUP (acetaminophen 160 mg per 5 mL syrup) E̲N̲D̲O̲ ̲O̲P̲E̲R̲A̲T̲I̲O̲N̲S̲ ̲L̲T̲D̲."" -> ""TEMPRA DOUBLE STRENGTH CHILDREN'S SYRUP (acetaminophen 160 mg per 5 mL syrup) K̲N̲I̲G̲H̲T̲ ̲T̲H̲E̲R̲A̲P̲E̲U̲T̲I̲C̲S̲ ̲I̲N̲C̲."""
63668,02240152,"PSORIASIN GEL (coal tar 1.25 % cutaneous gel) ALVA-AMCO PHARMACAL COMPANIES, LLC",DELETED
