"route_of_administration_code","pharm_form_code","route_of_administration","pharmaceutical_form","n_human_din","n_any_ccdd","n_all_ccdd","n_tm","ntp_dosage_form_code","ntp_dosage_form","route_of_administration_f","pharmaceutical_form_f"
"1","134","BLOCK/INFILTRATION","SOLUTION",45,25,0,8,40001,"solution for injection","Bloc/Infiltration","Solution"
"1","34","BLOCK/INFILTRATION","LIQUID",10,7,0,6,40001,"solution for injection","Bloc/Infiltration","Liquide"
"10","79","INTRA-ARTICULAR","SUSPENSION",1,1,1,1,40019,"suspension for injection","Intra-articulaire","Suspension"
"100","114","INTRAINTESTINAL (UPPER)","GEL",1,1,1,1,40034,"intestinal gel","Intraintestinale (supérieur)","Gel"
"10-13","134","INTRA-ARTICULAR, INTRABURSAL","SOLUTION",1,0,0,1,40001,"solution for injection","Intra-articulaire, Intrabursique","Solution"
"10-13-19-22","79","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","SUSPENSION",1,1,1,1,40019,"suspension for injection","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","Suspension"
"10-13-19-42","79","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","SUSPENSION",2,2,2,1,40019,"suspension for injection","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","Suspension"
"10-13-22","79","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","SUSPENSION",1,1,1,1,40019,"suspension for injection","Intra-articulaire, Intrabursique, Intramusculaire","Suspension"
"10-19-21-22","79","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","SUSPENSION",1,0,0,1,40019,"suspension for injection",NA,"Suspension"
"10-21-22","79","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","SUSPENSION",1,1,1,1,40019,"suspension for injection","Intra-articulaire, Intralésionnelle, Intramusculaire","Suspension"
"10-21-22-42","79","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRASYNOVIAL","SUSPENSION",5,0,0,1,NA,NA,NA,NA
"10-21-22-49-63","34","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","LIQUID",1,1,1,1,40001,"solution for injection",NA,"Liquide"
"10-21-22-49-63","34","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","LIQUID",1,1,1,1,40001,"solution for injection","Intra-articulaire, Intralésionnelle, Intramusculaire, Intraveineuse, Injection dans les tissus mous","Liquide"
"10-22","79","INTRA-ARTICULAR, INTRAMUSCULAR","SUSPENSION",2,2,2,1,40019,"suspension for injection","Intra-articulaire, Intramusculaire","Suspension"
"10-22-42-63","79","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","SUSPENSION",4,0,0,1,40019,"suspension for injection","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","Suspension"
"10-22-49","134","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","SOLUTION",1,1,1,1,40001,"solution for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Solution"
"10-22-49","34","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","LIQUID",1,1,1,1,40001,"solution for injection","Intra-articulaire, Intramusculaire, Intraveineuse","Liquide"
"104","105","TOPICAL (HOUSEHOLD)","WIPE",9,9,9,2,40129,"wipe","Topique (Maison)","Serviette"
"104","114","TOPICAL (HOUSEHOLD)","GEL",4,3,3,2,40112,"cutaneous gel","Topique (Maison)","Gel"
"104","134","TOPICAL (HOUSEHOLD)","SOLUTION",9,7,7,4,40124,"cutaneous solution","Topique (Maison)","Solution"
"104","34","TOPICAL (HOUSEHOLD)","LIQUID",22,12,12,3,40124,"cutaneous solution","Topique (Maison)","Liquide"
"104","36","TOPICAL (HOUSEHOLD)","LOTION",1,0,0,1,40114,"lotion","Topique (Maison)","Lotion"
"104","98","TOPICAL (HOUSEHOLD)","SPRAY",1,0,0,1,40106,"cutaneous spray","Topique (Maison)","Pulvérisation"
"105","134","TOPICAL (COMMERCIAL)","SOLUTION",2,2,2,1,40124,"cutaneous solution","Topique (Milieu commercial)","Solution"
"105","34","TOPICAL (COMMERCIAL)","LIQUID",5,0,0,3,40124,"cutaneous solution","Topique (Milieu commercial)","Liquide"
"105","98","TOPICAL (COMMERCIAL)","SPRAY",1,1,1,1,40106,"cutaneous spray","Topique (Milieu commercial)","Pulvérisation"
"107","105","TOPICAL (HOSPITAL/HC FACILITIES)","WIPE",3,3,1,2,40129,"wipe","Topique (Hôpitaux, établissements de soins de santé)","Serviette"
"107","129","TOPICAL (HOSPITAL/HC FACILITIES)","SWAB",3,3,1,2,40128,"swab","Topique (Hôpitaux, établissements de soins de santé)","Coton-tige"
"107","134","TOPICAL (HOSPITAL/HC FACILITIES)","SOLUTION",3,3,0,2,40124,"cutaneous solution","Topique (Hôpitaux, établissements de soins de santé)","Solution"
"107","134-63","TOPICAL (HOSPITAL/HC FACILITIES)","SOLUTION, SPONGE",1,1,0,1,NA,NA,NA,NA
"107","36","TOPICAL (HOSPITAL/HC FACILITIES)","LOTION",1,1,1,1,40114,"lotion","Topique (Hôpitaux, établissements de soins de santé)","Lotion"
"107","63","TOPICAL (HOSPITAL/HC FACILITIES)","SPONGE",4,4,3,2,40130,"medicated sponge","Topique (Hôpitaux, établissements de soins de santé)","Éponge"
"108-56","137","NASOGASTRIC, ORAL","CAPSULE (DELAYED RELEASE)",2,2,2,1,40048,"gastro-resistant capsule","NASOGASTRIQUE, Orale","Capsule (à libération retardée)"
"108-56","56","NASOGASTRIC, ORAL","POWDER FOR SOLUTION",1,0,0,1,40049,"powder for oral solution","NASOGASTRIQUE, Orale","Poudre pour solution"
"109","134","SUBMUCOSAL","SOLUTION",1,0,0,1,40001,"solution for injection","Sous-muqueuse","Solution"
"11","134","INTRA-AMNIOTIC","SOLUTION",1,0,0,1,40001,"solution for injection","Intra-amniotique","Solution"
"12-17-22-49-65","56","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"12-22-31-49","134","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","SOLUTION",8,8,8,1,40001,"solution for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","Solution"
"12-22-31-49-50","134","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","SOLUTION",3,3,3,1,40001,"solution for injection","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","Solution"
"12-22-49","134","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","SOLUTION",5,5,5,1,40001,"solution for injection","Intra-artérielle, Intramusculaire, Intraveineuse","Solution"
"12-49","134","INTRA-ARTERIAL, INTRAVENOUS","SOLUTION",3,0,0,2,40001,"solution for injection","Intra-artérielle, Intraveineuse","Solution"
"12-49","32-56-134","INTRA-ARTERIAL, INTRAVENOUS","KIT, POWDER FOR SOLUTION, SOLUTION",1,0,0,1,NA,NA,NA,NA
"12-49","34","INTRA-ARTERIAL, INTRAVENOUS","LIQUID",1,0,0,1,40001,"solution for injection","Intra-artérielle, Intraveineuse","Liquide"
"14-22-45-49-65","134","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","SOLUTION",2,2,2,1,40001,"solution for injection","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","Solution"
"14-49","134","INTRACARDIAC, INTRAVENOUS","SOLUTION",1,1,1,1,40001,"solution for injection","Intracardiaque, Intraveineuse","Solution"
"16","134","INTRACRANIAL","SOLUTION",1,0,0,1,40001,"solution for injection","Intracrâniale","Solution"
"1-7","134","BLOCK/INFILTRATION, EPIDURAL","SOLUTION",14,5,0,4,40001,"solution for injection","Bloc/Infiltration, Épidurale","Solution"
"17-59","34","INTRACAVITARY, PARENTERAL (UNSPECIFIED)","LIQUID",1,0,0,1,NA,NA,NA,NA
"18-65","134","INTRACUTANEOUS, SUBCUTANEOUS","SOLUTION",1,0,0,1,40001,"solution for injection","Intracutanée, Sous-cutanée","Solution"
"18-65","34","INTRACUTANEOUS, SUBCUTANEOUS","LIQUID",14,0,0,12,40001,"solution for injection","Intracutanée, Sous-cutanée","Liquide"
"19","134","INTRADERMAL","SOLUTION",3,0,0,3,40001,"solution for injection","Intradermique","Solution"
"19","56","INTRADERMAL","POWDER FOR SOLUTION",1,0,0,1,40017,"powder for solution for injection","Intradermique","Poudre pour solution"
"19-65","134","INTRADERMAL, SUBCUTANEOUS","SOLUTION",2,0,0,2,40001,"solution for injection","Intradermique, Sous-cutanée","Solution"
"19-65","34","INTRADERMAL, SUBCUTANEOUS","LIQUID",12,0,0,7,40001,"solution for injection","Intradermique, Sous-cutanée","Liquide"
"19-65","56","INTRADERMAL, SUBCUTANEOUS","POWDER FOR SOLUTION",18,0,0,11,40017,"powder for solution for injection","Intradermique, Sous-cutanée","Poudre pour solution"
"19-70","34","INTRADERMAL, TOPICAL","LIQUID",1,0,0,1,40001,"solution for injection","Intradermique, Topique","Liquide"
"19-85-65","134","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","SOLUTION",2,0,0,2,40001,"solution for injection","Intradermique, Percutanée, Sous-cutanée","Solution"
"19-85-65","34","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","LIQUID",15,0,0,15,40001,"solution for injection","Intradermique, Percutanée, Sous-cutanée","Liquide"
"21","56","INTRALESIONAL","POWDER FOR SOLUTION",1,0,0,1,40017,"powder for solution for injection","Intralésionnelle","Poudre pour solution"
"21-22-49-65","32-34-56","INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","KIT, LIQUID, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"21-22-49-65","34-56","INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","LIQUID, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"22","118","INTRAMUSCULAR","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",8,0,0,2,40018,"powder for prolonged-release suspension for injection","Intramusculaire","Poudre pour suspension, à libération prolongée"
"22","134","INTRAMUSCULAR","SOLUTION",49,17,17,27,40001,"solution for injection","Intramusculaire","Solution"
"22","134-79","INTRAMUSCULAR","SOLUTION, SUSPENSION",1,0,0,1,NA,NA,NA,NA
"22","143","INTRAMUSCULAR","SUSPENSION (EXTENDED-RELEASE)",8,0,0,1,40020,"prolonged-release suspension for injection","Intramusculaire",NA
"22","143","INTRAMUSCULAR","SUSPENSION (EXTENDED-RELEASE)",8,0,0,1,40020,"prolonged-release suspension for injection","Intramusculaire","Suspension (à libération prolongée)"
"22","32-118","INTRAMUSCULAR","KIT, POWDER FOR SUSPENSION, SUSTAINED-RELEASE",6,6,6,2,NA,NA,NA,NA
"22","32-126","INTRAMUSCULAR","KIT, POWDER FOR SUSPENSION",3,0,0,1,NA,NA,NA,NA
"22","32-34-56","INTRAMUSCULAR","KIT, LIQUID, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"22","32-56","INTRAMUSCULAR","KIT, POWDER FOR SOLUTION",4,0,0,3,NA,NA,NA,NA
"22","34","INTRAMUSCULAR","LIQUID",20,15,15,10,40001,"solution for injection","Intramusculaire","Liquide"
"22","34-56","INTRAMUSCULAR","LIQUID, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"22","55","INTRAMUSCULAR","POWDER",3,0,0,1,40016,"powder for suspension for injection","Intramusculaire","Poudre"
"22","56","INTRAMUSCULAR","POWDER FOR SOLUTION",17,2,2,10,40017,"powder for solution for injection","Intramusculaire","Poudre pour solution"
"22","56-134","INTRAMUSCULAR","POWDER FOR SOLUTION, SOLUTION",1,0,0,1,NA,NA,NA,NA
"22","79","INTRAMUSCULAR","SUSPENSION",46,3,3,29,40019,"suspension for injection","Intramusculaire","Suspension"
"22-31-49-55","56","INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, OPHTHALMIC","POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"22-33-49-65","134","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","SOLUTION",2,0,0,2,40001,"solution for injection","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","Solution"
