ntp_code,ntp_formal_name,changes
"9002401","acetaminophen 160 mg per 5 mL oral liquid","ADDED"
"9005585","ipratropium bromide 20 mcg per actuation and salbutamol (salbutamol sulfate) 100 mcg per actuation inhalation solution","ADDED"
"NA","omalizumab 150 mg per mL solution for injection","ADDED"
"9000928","testosterone 12.2 mg transdermal patch","ADDED"
"NA","acetaminophen 500 mg oral capsule","ADDED"
"9001948","oxtriphylline 100 mg oral tablet","ADDED"
"NA","methylphenidate hydrochloride 35 mg modified-release oral capsule","ADDED"
"9003769","cefuroxime (cefuroxime sodium) 7.5 g per vial powder for solution for injection","ADDED"
"9006238","salbutamol (salbutamol sulfate) 5 mg per mL nebuliser solution 10 mL bottle","ADDED"
"9000480","morphine sulfate 30 mg prolonged-release oral tablet","ADDED"
"9006235","dexamethasone sodium phosphate 0.1 % ophthalmic/otic drops","ADDED"
"9000211","morphine sulfate 20 mg per mL oral drops","ADDED"
"9001997","tobramycin (tobramycin sulfate) 1.2 g per vial powder for solution for injection","ADDED"
"9000003","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","ADDED"
"9005024","benzalkonium chloride 0.13 % cutaneous spray","ADDED"
"9001076","ciprofloxacin (ciprofloxacin hydrochloride, ciprofloxacin) 1000 mg prolonged-release oral tablet","ADDED"
"9002299","docusate sodium 200 mg oral capsule","ADDED"
"9001304","hydromorphone hydrochloride 16 mg prolonged-release oral tablet","ADDED"
"9002300","docusate sodium 50 mg per mL syrup","ADDED"
"9002809","fluconazole 150 mg oral capsule","ADDED"
"9001190","ciprofloxacin 10 mg per mL solution for injection","ADDED"
"9004951","dutasteride 0.5 mg and tamsulosin hydrochloride 0.4 mg modified-release oral capsule","ADDED"
"9000964","methotrexate (methotrexate sodium) 2.5 mg oral tablet","ADDED"
"9001501","benzalkonium chloride 13 % cutaneous liquid","ADDED"
"9003337","acetylsalicylic acid 80 mg gastro-resistant tablet","ADDED"
"9004235","acetaminophen 80 mg per 5 mL oral solution","ADDED"
"9000231","morphine sulfate 20 mg suppository","ADDED"
"9000839","azithromycin 250 mg oral tablet","ADDED"
"9006251","azithromycin 200 mg per 5 mL oral suspension","ADDED"
"9000582","hydromorphone hydrochloride 250 mg per 5 mL solution for injection vial","ADDED"
"9000633","salbutamol (salbutamol sulfate) 4 mg oral tablet","ADDED"
"9002118","theophylline 600 mg prolonged-release oral tablet","ADDED"
"9001653","acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet","ADDED"
"9012378","budesonide 200 mcg per actuation and formoterol fumarate 6 mcg per actuation inhalation powder","DELETED"
"9001949","oxtriphylline 200 mg oral tablet","ADDED"
"NA","haptens 100 % cutaneous gel","ADDED"
"9001240","ciprofloxacin 2 mg per mL solution for injection","ADDED"
"9002070","docusate calcium 240 mg oral capsule","ADDED"
"NA","haptens 20 % cutaneous liquid","ADDED"
"9006186","benzoyl peroxide 5 % cutaneous ointment","ADDED"
"NA","vandetanib 100 mg oral tablet","ADDED"
"NA","salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder","ADDED"
"9005179","ondansetron 4 mg orodispersible film","ADDED"
"9006122","benzoyl peroxide 3.5 % cutaneous paste","ADDED"
"9003032","methotrimeprazine (methotrimeprazine maleate) 25 mg oral tablet","ADDED"
"9006593","fluconazole 200 mg per 100 mL solution for injection bag","ADDED"
"9003768","cefuroxime (cefuroxime sodium) 750 mg per vial powder for solution for injection","ADDED"
"9002240","acetylsalicylic acid 500 mg gastro-resistant tablet","ADDED"
"NA","orciprenaline sulfate 10 mg per 5 mL syrup","ADDED"
"9003272","ampicillin (ampicillin sodium) 2 g per vial powder for solution for injection","ADDED"
"9000119","betamethasone (betamethasone valerate) 0.05 % cutaneous cream","ADDED"
"9003013","chlorhexidine gluconate 4 % medicated sponge","ADDED"
"9002060","acetaminophen 500 mg and caffeine 65 mg oral tablet","ADDED"
"9000612","methotrexate (methotrexate sodium) 50 mg per 2 mL solution for injection vial","ADDED"
"9000650","dexamethasone 0.75 mg oral tablet","ADDED"
"9000315","dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL solution for injection vial","ADDED"
"9000010","testosterone cypionate 1000 mg per 10 mL solution for injection vial","ADDED"
"NA","lixisenatide 0.05 mg per mL and lixisenatide 0.1 mg per mL NA","ADDED"
"9002616","theophylline 300 mg prolonged-release oral tablet","ADDED"
"9002035","tobramycin 0.3 % ophthalmic ointment","ADDED"
"9005556","bisacodyl 5 mg suppository","ADDED"
"9006201","alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup","DELETED"
"9003632","framycetin sulfate 5 mg per mL ophthalmic drops","ADDED"
"9001463","morphine sulfate 10 mg oral capsule","ADDED"
"9006219","morphine sulfate 50 mg per mL solution for injection 20 mL vial","ADDED"
"9003026","dorzolamide (dorzolamide hydrochloride) 2 % ophthalmic drops","ADDED"
"9006211","morphine sulfate 250 mg per 5 mL solution for injection vial","ADDED"
"9005625","linaclotide 290 mcg oral capsule","ADDED"
"9005460","glycopyrronium (glycopyrronium bromide) 50 mcg and indacaterol (indacaterol maleate) 110 mcg inhalation powder capsule","ADDED"
"9000230","morphine sulfate 10 mg suppository","ADDED"
"9000478","morphine sulfate 200 mg prolonged-release oral tablet","ADDED"
"9001270","methotrexate (methotrexate sodium) 7.5 mg per 0.75 mL solution for injection 0.75 mL syringe","ADDED"
