ntp_code,ntp_formal_name,ntp_en_description,ntp_fr_description,ntp_status,ntp_status_effective_time,ntp_type
"NA","chlorambucil 2 mg oral tablet","NA","NA","active","19571231","NA"
"NA","ephedrine sulfate 50 mg per 1 mL solution for injection ampoule","NA","NA","active","19661231","NA"
"NA","asparaginase 10000 unit per vial powder for solution for injection","NA","NA","active","19741231","NA"
"NA","diazepam 10 mg per 2 mL solution for injection 2 mL ampoule","NA","NA","active","19801231","NA"
"NA","aminophylline 250 mg per 10 mL solution for injection vial","NA","NA","active","19811231","NA"
"NA","aminophylline 500 mg per 10 mL solution for injection vial","NA","NA","active","19841231","NA"
"NA","hydralazine hydrochloride 20 mg per 1 mL solution for injection vial","NA","NA","active","19921231","NA"
"NA","cromolyn sodium 1 % nebuliser solution 2 mL unit dose vial","NA","NA","active","19931231","NA"
"NA","orciprenaline sulfate 10 mg per 5 mL syrup","NA","NA","active","19971121","NA"
"NA","salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder","NA","NA","active","19980211","NA"
"NA","formoterol fumarate 12 mcg per actuation inhalation powder","NA","NA","active","19980312","NA"
"NA","formoterol fumarate 6 mcg per actuation inhalation powder","NA","NA","active","19980312","NA"
"NA","brinzolamide 1 % ophthalmic drops","NA","NA","active","19981111","NA"
"NA","ibutilide fumrate 0.1 mg per mL solution for injection","NA","NA","active","20001128","NA"
"NA","budesonide 100 mcg per actuation and formoterol fumarate 6 mcg per actuation inhalation powder","NA","NA","active","20020208","NA"
"NA","budesonide 200 mcg per actuation and formoterol fumarate 6 mcg per actuation inhalation powder","NA","NA","active","20020208","NA"
"NA","brinzolamide 1 % and timolol (timolol maleate) 0.5 % ophthalmic drops","NA","NA","active","20090825","NA"
"NA","formoterol fumarate 5 mcg per actuation and mometasone furoate 100 mcg per actuation pressurised inhalation","NA","NA","active","20110310","NA"
"NA","formoterol fumarate 5 mcg per actuation and mometasone furoate 200 mcg per actuation pressurised inhalation","NA","NA","active","20110617","NA"
"NA","silodosin 4 mg oral capsule","NA","NA","active","20111026","NA"
"NA","silodosin 8 mg oral capsule","NA","NA","active","20111026","NA"
"NA","vandetanib 100 mg oral tablet","NA","NA","active","20120223","NA"
"NA","vandetanib 300 mg oral tablet","NA","NA","active","20120223","NA"
"NA","furosemide 20 mg per 2 mL solution for injection 2 mL ampoule","NA","NA","active","20130822","NA"
"NA","baclofen 200 mg per 20 mL solution for injection ampoule","NA","NA","active","20140606","NA"
"NA","baclofen 50 mg per 5 mL solution for injection ampoule","NA","NA","active","20140606","NA"
"NA","brimonidine tartrate 0.2 % and brinzolamide 1 % ophthalmic drops","NA","NA","active","20150217","NA"
"NA","reslizumab 100 mg per 10 mL solution for injection vial","NA","NA","active","20161219","NA"
"NA","acetaminophen 500 mg oral capsule","NA","NA","active","20170705","NA"
"NA","omalizumab 150 mg per mL solution for injection","NA","NA","active","20170706","NA"
"NA","naloxone hydrochloride 4 mg per 0.1 mL nasal spray","NA","NA","active","20170707","NA"
"NA","furosemide 10 mg per mL solution for injection","NA","NA","active","20170731","NA"
"NA","cromolyn sodium 1 % inhalation solution 2 mL unit dose vial","NA","NA","inactive","20170804","NA"
"NA","insulin glargine 100 unit per mL solution for injection","NA","NA","active","20170818","NA"
"NA","baclofen 40 mg per 20 mL solution for injection ampoule","NA","NA","active","20170825","NA"
"NA","nusinersen (nusinersen sodium) 2.4 mg per mL solution for injection","NA","NA","active","20170829","NA"
"NA","defibrotide 80 mg per mL solution for injection","NA","NA","active","20170906","NA"
"NA","lixisenatide 0.05 mg per mL and lixisenatide 0.1 mg per mL NA","NA","NA","active","20170912","NA"
"NA","lixisenatide 0.05 mg per mL solution for injection","NA","NA","active","20170912","NA"
"NA","lixisenatide 0.1 mg per mL solution for injection","NA","NA","active","20170912","NA"
"NA","glecaprevir 100 mg and pibrentasvir 40 mg oral tablet","NA","NA","active","20170913","NA"
"NA","haptens 100 % cutaneous gel","NA","NA","active","20170913","NA"
"NA","haptens 100 % cutaneous liquid","NA","NA","active","20170913","NA"
"NA","haptens 20 % cutaneous liquid","NA","NA","active","20170913","NA"
"NA","haptens 50 % cutaneous gel","NA","NA","active","20170913","NA"
"NA","insulin degludec 100 unit per mL solution for injection","NA","NA","active","20170915","NA"
"NA","insulin degludec 200 unit per mL solution for injection","NA","NA","active","20170915","NA"
"NA","ocrelizumab 30 mg per mL solution for injection","NA","NA","active","20170921","NA"
"NA","irinotecan hydrochloride (irinotecan sucrose octasulfate) 43 mg per 10 mL suspension for injection","NA","NA","active","20171004","NA"
"NA","cysteamine (cysteamine bitartrate) 25 mg gastro-resistant capsule","NA","NA","active","20171017","NA"
"NA","cysteamine (cysteamine bitartrate) 75 mg gastro-resistant capsule","NA","NA","active","20171017","NA"
"NA","amitriptyline hydrochloride 100 mg oral tablet","NA","NA","active","20171018","NA"
"NA","thiotepa 100 mg per vial powder for solution for injection","NA","NA","active","20171031","NA"
"NA","thiotepa 15 mg per vial powder for solution for injection","NA","NA","active","20171106","NA"
"NA","durvalumab 50 mg per mL solution for injection","NA","NA","active","20171120","NA"
"NA","guselkumab 100 mg per 1 mL solution for injection","NA","NA","active","20171127","NA"
"NA","methylphenidate hydrochloride 25 mg modified-release oral capsule","NA","NA","active","20171214","NA"
"NA","methylphenidate hydrochloride 35 mg modified-release oral capsule","NA","NA","active","20171214","NA"
"NA","methylphenidate hydrochloride 45 mg modified-release oral capsule","NA","NA","active","20171214","NA"
"NA","methylphenidate hydrochloride 55 mg modified-release oral capsule","NA","NA","active","20171214","NA"
"NA","methylphenidate hydrochloride 70 mg modified-release oral capsule","NA","NA","active","20171214","NA"
"NA","methylphenidate hydrochloride 85 mg modified-release oral capsule","NA","NA","active","20171214","NA"
"NA","avelumab 20 mg per mL solution for injection","NA","NA","active","20171218","NA"
