"ccdd","mp_code","greater_than_5_AIs","drug_identification_number","brand_name","company_name","mp_formal_name","mp_en_description","mp_fr_description","mp_status","mp_status_effective_time"
FALSE,"00015741",FALSE,"00015741","TAPAZOLE 5MG TABLET","PALADIN LABS INC","TAPAZOLE 5MG TABLET (thiamazole 5 mg oral tablet) PALADIN LABS INC",NA,NA,"Active","19511231"
TRUE,"00015229",FALSE,"00015229","AVENTYL","AA PHARMA INC","AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC",NA,NA,"Active","19651231"
TRUE,"00015237",FALSE,"00015237","AVENTYL","AA PHARMA INC","AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC",NA,NA,"Active","19651231"
FALSE,"00147680",TRUE,"00147680","NEO-BEX INJECTABLE","BROSTEL INC.","NEO-BEX INJECTABLE (dexpanthenol 10 mg per mL and lidocaine hydrochloride 2 % and nicotinamide 75 mg per mL and pyridoxine hydrochloride 2 mg per mL and vitamin B1 50 mg per mL and vitamin B2 (riboflavin 5'-phosphate sodium) 7.5 mg per mL solution for injection) BROSTEL INC.",NA,NA,"Active","19511231"
FALSE,"00050857",FALSE,"00050857","GENTIANE VIOLET LIQ TOP","LABORATOIRE ATLAS INC","GENTIANE VIOLET LIQ TOP (gentian violet 1 % cutaneous liquid) LABORATOIRE ATLAS INC",NA,NA,"Active","19511231"
FALSE,"00050520",FALSE,"00050520","MINERALE LEGERE HUILE","LABORATOIRE ATLAS INC","MINERALE LEGERE HUILE (mineral oil 100 % cutaneous liquid) LABORATOIRE ATLAS INC",NA,NA,"Active","19511231"
FALSE,"00050466",FALSE,"00050466","METHYLENE BLEU LIQ 1%","LABORATOIRE ATLAS INC","METHYLENE BLEU LIQ 1% (methylene blue 1 % oral liquid) LABORATOIRE ATLAS INC",NA,NA,"Active","19511231"
FALSE,"00050474",FALSE,"00050474","METHYLENE BLEU LIQ 2%","LABORATOIRE ATLAS INC","METHYLENE BLEU LIQ 2% (methylene blue 2 % oral liquid) LABORATOIRE ATLAS INC",NA,NA,"Active","19511231"
FALSE,"00037818",FALSE,"00037818","BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP","PFIZER CANADA INC","BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP (sodium chloride 9 mg per mL solution for injection) PFIZER CANADA INC",NA,NA,"Active","19511231"
FALSE,"00038202",FALSE,"00038202","BACTERIOSTATIC WATER FOR INJECTION USP","HOSPIRA HEALTHCARE CORPORATION","BACTERIOSTATIC WATER FOR INJECTION USP (water 100 % solution for injection) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"Active","19521231"
TRUE,"00010332",FALSE,"00010332","ENTROPHEN 325MG TABLETS","PENDOPHARM DIVISION OF DE PHARMASCIENCE INC","ENTROPHEN 325MG TABLETS (acetylsalicylic acid 325 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA,"Active","19511231"
FALSE,"00010200",FALSE,"00010200","PROPYL-THYRACIL","PALADIN LABS INC","PROPYL-THYRACIL (propylthiouracil 50 mg oral tablet) PALADIN LABS INC",NA,NA,"Active","19511231"
FALSE,"00010219",FALSE,"00010219","PROPYL-THYRACIL","PALADIN LABS INC","PROPYL-THYRACIL (propylthiouracil 100 mg oral tablet) PALADIN LABS INC",NA,NA,"Active","19451231"
