"ccdd","greater_than_5_AIs","ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name","n_mp"
TRUE,FALSE,9000001,NA,NA,"Active","19441231",NA,"meperidine hydrochloride 50 mg oral tablet",1
TRUE,FALSE,9000002,NA,NA,"Active","19511230",NA,"levothyroxine sodium 50 mcg oral tablet",2
TRUE,FALSE,9001498,NA,NA,"Active","19511231",NA,"acetylsalicylic acid 325 mg gastro-resistant tablet",10
TRUE,FALSE,9000003,NA,NA,"Active","19511231",NA,"epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule",1
TRUE,FALSE,9000004,NA,NA,"Active","19511231",NA,"epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray",1
TRUE,FALSE,9000005,NA,NA,"Active","19511231",NA,"epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule",1
TRUE,FALSE,9000006,NA,NA,"Active","19511231",NA,"phenytoin sodium 100 mg oral capsule",3
TRUE,FALSE,9000007,NA,NA,"Active","19511231",NA,"phenytoin sodium 30 mg oral capsule",1
TRUE,FALSE,9000008,NA,NA,"Active","19521231",NA,"phenytoin 50 mg oral tablet",1
TRUE,FALSE,9000009,NA,NA,"Active","19531231",NA,"phenytoin 125 mg per 5 mL oral suspension",2
TRUE,FALSE,9000010,NA,NA,"Active","19531231",NA,"testosterone cypionate 1000 mg per 10 mL solution for injection vial",2
TRUE,FALSE,9000011,NA,NA,"Active","19541231",NA,"hydrocortisone 10 mg oral tablet",1
TRUE,FALSE,9000012,NA,NA,"Active","19541231",NA,"hydrocortisone 20 mg oral tablet",1
TRUE,FALSE,9000013,NA,NA,"Active","19551231",NA,"testosterone enanthate 1000 mg per 5 mL solution for injection ampoule",1
TRUE,FALSE,9000014,NA,NA,"Active","19561231",NA,"hydroxyzine hydrochloride 10 mg per 5 mL syrup",2
TRUE,FALSE,9000015,NA,NA,"Active","19561231",NA,"methylphenidate hydrochloride 10 mg oral tablet",5
TRUE,FALSE,NA,NA,NA,"Active","19571231",NA,"chlorambucil 2 mg oral tablet",1
TRUE,FALSE,9000016,NA,NA,"Active","19571231",NA,"hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet",1
TRUE,FALSE,9000017,NA,NA,"Active","19571231",NA,"hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension",1
TRUE,FALSE,9000018,NA,NA,"Active","19571231",NA,"hydroxychloroquine sulfate 200 mg oral tablet",5
TRUE,FALSE,9001556,NA,NA,"Active","19571231",NA,"phenobarbital 100 mg oral tablet",1
TRUE,FALSE,9001557,NA,NA,"Active","19571231",NA,"phenobarbital 15 mg oral tablet",1
TRUE,FALSE,9001558,NA,NA,"Active","19571231",NA,"phenobarbital 30 mg oral tablet",1
TRUE,FALSE,9001559,NA,NA,"Active","19571231",NA,"phenobarbital 60 mg oral tablet",1
TRUE,FALSE,9000019,NA,NA,"Active","19571231",NA,"warfarin sodium 10 mg oral tablet",3
TRUE,FALSE,9000020,NA,NA,"Active","19571231",NA,"warfarin sodium 1 mg oral tablet",3
TRUE,FALSE,9000021,NA,NA,"Active","19571231",NA,"warfarin sodium 5 mg oral tablet",3
TRUE,FALSE,9001563,NA,NA,"Active","19581231",NA,"bisacodyl 10 mg suppository",7
TRUE,FALSE,9001564,NA,NA,"Active","19581231",NA,"bisacodyl 5 mg gastro-resistant tablet",4
TRUE,FALSE,9000022,NA,NA,"Active","19581231",NA,"hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection",2
TRUE,FALSE,9001567,NA,NA,"Active","19581231",NA,"methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per mL solution for injection",1
TRUE,FALSE,9000023,NA,NA,"Active","19581231",NA,"methylphenidate hydrochloride 20 mg oral tablet",5
TRUE,FALSE,9001568,NA,NA,"Active","19590101",NA,"belladonna 0.2 mg and ergotamine tartrate 0.6 mg and phenobarbital 40 mg prolonged-release oral tablet",1
TRUE,FALSE,9000024,NA,NA,"Active","19591231",NA,"prednisone 5 mg oral tablet",3
TRUE,FALSE,9000025,NA,NA,"Active","19591231",NA,"spironolactone 25 mg oral tablet",2
TRUE,FALSE,9009869,NA,NA,"Active","19601231",NA,"hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet",2
TRUE,FALSE,9000026,NA,NA,"Active","19601231",NA,"medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial",1
TRUE,FALSE,9000027,NA,NA,"Active","19611231",NA,"medroxyprogesterone acetate 5 mg oral tablet",4
TRUE,FALSE,9000028,NA,NA,"Active","19611231",NA,"norethindrone acetate 5 mg oral tablet",1
TRUE,FALSE,9000029,NA,NA,"Active","19621231",NA,"hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection",2
TRUE,FALSE,9000030,NA,NA,"Active","19631231",NA,"conjugated estrogens 0.625 mg oral tablet",4
TRUE,FALSE,9000031,NA,NA,"Active","19641231",NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",2
TRUE,FALSE,9000032,NA,NA,"Active","19641231",NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",2
TRUE,FALSE,9000033,NA,NA,"Active","19651231",NA,"amitriptyline hydrochloride 10 mg oral tablet",11
TRUE,FALSE,9001611,NA,NA,"Active","19651231",NA,"betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection",2
TRUE,FALSE,9000034,NA,NA,"Active","19651231",NA,"nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule",4
TRUE,FALSE,9000035,NA,NA,"Active","19651231",NA,"nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule",4
TRUE,FALSE,9001616,NA,NA,"Active","19651231",NA,"phenobarbital 5 mg per mL oral solution",1
TRUE,FALSE,9000036,NA,NA,"Active","19661231",NA,"azathioprine 50 mg oral tablet",6
TRUE,FALSE,9000037,NA,NA,"Active","19661231",NA,"dexamethasone 0.1 % ophthalmic ointment",1
TRUE,FALSE,NA,NA,NA,"Active","19661231",NA,"ephedrine sulfate 50 mg per 1 mL solution for injection ampoule",2
TRUE,FALSE,9000038,NA,NA,"Active","19661231",NA,"hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection",2
TRUE,FALSE,9000039,NA,NA,"Active","19661231",NA,"quinine sulfate 200 mg oral capsule",5
TRUE,FALSE,9000040,NA,NA,"Active","19661231",NA,"quinine sulfate 300 mg oral capsule",5
TRUE,FALSE,9000041,NA,NA,"Active","19661231",NA,"triamcinolone acetonide 50 mg per 5 mL suspension for injection vial",2
