mp_code,mp_formal_name,changes,QA Comments
4626,LEUKERAN (chlorambucil 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.,ADDED,
26123,SENOKOT S (docusate sodium 50 mg and sennosides (senna) 8.6 mg oral tablet) PURDUE PHARMA,ADDED,
37613,NITROSTAT (nitroglycerin 0.3 mg sublingual tablet) PFIZER CANADA INC,"ntp_code: ""9000060"" -> ""9010874""",
37621,NITROSTAT (nitroglycerin 0.6 mg sublingual tablet) PFIZER CANADA INC,"ntp_code: ""9000061"" -> ""9010878""",
38121,EPHEDRINE SULFATE INJECTION USP (ephedrine sulfate 50 mg per 1 mL solution for injection) PFIZER CANADA INC,"mp_formal_name: ""EPHEDRINE SULFATE INJECTION USP (ephedrine sulfate 50 mg per 1 mL solution for injection) PFIZER CANADA INC"" -> ""EPHEDRINE SULFATE INJECTION USP (ephedrine sulfate 50 mg per 1 mL solution for injection ampoule) PFIZER CANADA INC""
ntp_code: ""9006536"" -> ""9012368""
ntp_formal_name: ""ephedrine sulfate 50 mg per 1 mL solution for injection"" -> ""ephedrine sulfate 50 mg per 1 mL solution for injection ampoule""
tm_code: ""8001046"" -> ""8001078""
tm_formal_name: ""ephedrine sulfate"" -> ""ephedrine""",
95494,"ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE (acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMETICS (2011) INC",ADDED,
109991,GERMIPHENE CONCENTRATE 13.0% (benzalkonium chloride 13 % cutaneous liquid) GERMIPHENE CORPORATION,ADDED,
155357,ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule) ERFA CANADA 2012 INC,ADDED,
155357,ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule) ERFA CANADA 2012 INC,ADDED,
178799,PHENOBARB (phenobarbital 15 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,ADDED,
178802,PHENOBARB (phenobarbital 30 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,ADDED,
178810,PHENOBARB (phenobarbital 60 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,ADDED,
178829,PHENOBARB (phenobarbital 100 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,ADDED,
180041,A.C. & C 8MG TAB (acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) VITA HEALTH PRODUCTS INC,ADDED,
180408,ALDACTAZIDE 25 (hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet) PFIZER CANADA INC,"ntp_code: ""9001577"" -> ""9009869""",
245097,HIBITANE SKIN CLEANSER (chlorhexidine gluconate 4 % cutaneous solution) ZOETIS CANADA INC,ADDED,
260436,DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial) PFIZER CANADA INC,ADDED,
260436,DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) PFIZER CANADA INC,ADDED,
260436,DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial) PFIZER CANADA INC,ADDED,
260436,DALACIN C PHOSPHATE (clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial) PFIZER CANADA INC,ADDED,
268313,SODIUM EDECRIN (ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection) VALEANT CANADA LP/VALEANT CANADA S.E.C.,"ntp_code: ""9001637"" -> ""9009370""",
297143,LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet) WARNER CHILCOTT CANADA CO,"ntp_code: ""9000077"" -> ""9009388""",
315966,MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet) WARNER CHILCOTT CANADA CO,"ntp_code: ""9000088"" -> ""9009378""",
317047,ORTHO 0.5/35 TABLETS (21 DAY) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet) JANSSEN INC,"ntp_code: ""9006537"" -> ""9009390""",
