ccdd,mp_code,mp_formal_name,changes
"TRUE","02146126","HYDROMORPHONE HP 50 (hydromorphone hydrochloride 250 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02467224","OCREVUS (ocrelizumab 30 mg per mL solution for injection) HOFFMANN-LA ROCHE LIMITED","ADDED"
"TRUE","02273225","ENABLEX (darifenacin (darifenacin hydrobromide) 15 mg prolonged-release oral tablet) MERUS LABS LUXCO S. A R.L.","ADDED"
"TRUE","02241837","ESTALIS 250/50 MCG (estradiol 50 mcg per 24 hour and norethindrone acetate 250 mcg per 24 hour transdermal patch) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"TRUE","00888346","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION","ADDED"
"TRUE","02420414","JAMP-ONDANSETRON (ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection) JAMP PHARMA CORPORATION","ADDED"
"TRUE","02373068","GD-LATANOPROST/TIMOLOL (latanoprost 50 mcg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) GENMED A DIVISION OF PFIZER CANADA INC","ADDED"
"TRUE","02469227","LARTRUVO (olaratumab 500 mg per 50 mL solution for injection) ELI LILLY CANADA INC","ADDED"
"TRUE","02383381","SANDOZ MOXIFLOXACIN (moxifloxacin (moxifloxacin hydrochloride) 400 mg oral tablet) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","01964925","NOVO MEPRAZINE TAB 25MG (methotrimeprazine (methotrimeprazine maleate) 25 mg oral tablet) NOVOPHARM LIMITED","ADDED"
"TRUE","02436159","APO-ZOLPIDEM ODT (zolpidem tartrate 5 mg orodispersible tablet) APOTEX INC","ADDED"
"TRUE","02390051","ONDANSETRON INJECTION, USP (ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection) MYLAN PHARMACEUTICALS ULC","ADDED"
"TRUE","02462338","AMPICILLIN SODIUM FOR INJECTION BP (ampicillin (ampicillin sodium) 1 g per vial powder for solution for injection) AURO PHARMA INC","ADDED"
"TRUE","02237225","OXEZE TURBUHALER (formoterol fumarate dihydrate 6 mcg inhalation powder) ASTRAZENECA CANADA INC","mp_formal_name: ""OXEZE TURBUHALER (formoterol fumarate dihydrate 6 mcg inhalation powder) ASTRAZENECA CANADA INC"" -> ""OXEZE TURBUHALER (formoterol fumarate dihydrate 6 mcg per actuation inhalation powder) ASTRAZENECA CANADA INC"""
"TRUE","02465256","BELBUCA (buprenorphine (buprenorphine hydrochloride) 300 mcg NA) PURDUE PHARMA","ADDED"
"TRUE","02239653","ANDRODERM (testosterone 12.2 mg transdermal patch) ALLERGAN PHARMA CO.","mp_formal_name: ""ANDRODERM (testosterone 12.2 mg transdermal patch) ALLERGAN PHARMA CO."" -> ""ANDRODERM (testosterone 2.5 mg per 24 hour transdermal patch) ALLERGAN INC"""
"TRUE","02166607","BENZAGEL 5 LOTION (benzoyl peroxide 5 % lotion) COLUMBIA LABORATORIES CANADA INC","ADDED"
"TRUE","02355736","BENZALKONIUM CHLORIDE ANTISEPTIC TOWELETTE (benzalkonium chloride 0.13 % wipe) CANADIAN CUSTOM PACKAGING COMPANY","ADDED"
"TRUE","02382873","MIDAZOLAM INJECTION SDZ (midazolam 1 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","00245097","HIBITANE SKIN CLEANSER (chlorhexidine gluconate 4 % cutaneous solution) ZOETIS CANADA INC","ADDED"
"TRUE","02384884","TEVA-NABILONE (nabilone 0.5 mg oral capsule) TEVA CANADA LIMITED","ADDED"
"TRUE","00399728","DIAZEPAM INJECTION USP (diazepam 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","mp_formal_name: ""DIAZEPAM INJECTION USP (diazepam 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED"" -> ""DIAZEPAM INJECTION USP (diazepam 10 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED"""
"TRUE","02390434","ANTIBACTERIAL HAND WIPES (benzalkonium chloride 0.13 % wipe) NICE-PAK PRODUCTS INC","ADDED"
NA,"00507407","DALMACOL (alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup) LABORATOIRE ATLAS INC","DELETED"
"TRUE","00804541","PREVEX B (betamethasone (betamethasone valerate) 0.1 % cutaneous cream) GLAXOSMITHKLINE INC","mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20170915"" -> ""20171218"""
NA,"700228","CLINDAMYCIN INJECTION (clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial) FRESENIUS KABI CANADA LTD","DELETED"
"TRUE","02268817","MEDICATED ACNE GEL (benzoyl peroxide 5 % cutaneous gel) PRIME ENTERPRISES INC","ADDED"
"TRUE","02457075","BACLOFEN INJECTION (baclofen 40 mg per 20 mL solution for injection ampoule) TELIGENT OU","ADDED"
NA,"700274","FLUCONAZOLE  IN SODIUM CHLORIDE INJECTION USP (fluconazole 200 mg per 100 mL solution for injection bag) BAXTER CORPORATION","DELETED"
"TRUE","02226383","TEVA-PROCTOSONE (dibucaine hydrochloride 0.5 % and esculin 1 % and framycetin sulfate 1 % and hydrocortisone (hydrocortisone acetate) 0.5 % rectal ointment) TEVA CANADA LIMITED","ADDED"
"TRUE","02449455","RAN-RAMIPRIL HCTZ (hydrochlorothiazide 12.5 mg and ramipril 10 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","ADDED"
"TRUE","02298635","SANDOZ LEVOFLOXACIN (levofloxacin (levofloxacin hemihydrate) 250 mg oral tablet) SANDOZ CANADA INCORPORATED","ADDED"
NA,"700324","METHOTREXATE INJECTION, BP (methotrexate 50 mg per 2 mL solution for injection vial) ACCORD HEALTHCARE INC","DELETED"
"TRUE","00582654","AMINOPHYLLINE INJ 50MG/ML (aminophylline 50 mg per mL solution for injection) OMEGA LABORATORIES LTD","mp_formal_name: ""AMINOPHYLLINE INJ 50MG/ML (aminophylline 50 mg per mL solution for injection) OMEGA LABORATORIES LTD"" -> ""AMINOPHYLLINE INJ 50MG/ML (aminophylline 500 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD"""
"TRUE","02441551","CLENZIDERM ACNE THERAPEUTIC SYSTEM (benzoyl peroxide 5 % NA) OBAGI MEDICAL PRODUCTS A DIV OF VALEANT PHARMACEUTICALS NORTH AMERICA LLC","ADDED"
"TRUE","02240434","FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 2500 mcg per 50 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02408430","SOLUPREP AQ SPONGE (chlorhexidine gluconate 2 % medicated sponge) 3M CANADA COMPANY","ADDED"
"TRUE","02361949","BENZAGEL SPOT-ON ACNE GEL (benzoyl peroxide 2.5 % cutaneous gel) COLUMBIA LABORATORIES CANADA INC","ADDED"
"TRUE","02455420","INVOKAMET (canagliflozin 50 mg and metformin hydrochloride 1000 mg oral tablet) JANSSEN INC","ADDED"
"TRUE","02285649","TEVA-LEVOFLOXACIN (levofloxacin (levofloxacin hemihydrate) 750 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"TRUE","02444682","SANDOZ ONDANSETRON ODT (ondansetron 8 mg orodispersible tablet) SANDOZ CANADA INCORPORATED","ADDED"
"TRUE","02385406","FENTANYL CITRATE INJECTION USP (fentanyl (fentanyl citrate) 100 mcg per 2 mL solution for injection ampoule) TELIGENT OU","ADDED"
"TRUE","02248813","ADDERALL XR (amphetamine aspartate monohydrate 7.5 mg and amphetamine sulfate 7.5 mg and dextroamphetamine saccharate 7.5 mg and dextroamphetamine sulfate 7.5 mg prolonged-release oral capsule) SHIRE PHARMA CANADA ULC","ADDED"
"TRUE","02243935","MIDAZOLAM INJECTION (midazolam (midazolam hydrochloride) 5 mg per mL solution for injection) NOVOPHARM LIMITED","ADDED"
"TRUE","02398435","MYLAN-ALMOTRIPTAN (almotriptan (almotriptan malate) 6.25 mg oral tablet) MYLAN PHARMACEUTICALS ULC","ADDED"
NA,"700231","CLINDAMYCIN INJECTION SDZ (clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED","DELETED"
"TRUE","02382636","HYDROMORPHONE HYDROCHLORIDE INJECTION USP (hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial) PFIZER CANADA INC","ADDED"
"TRUE","02455412","INVOKAMET (canagliflozin 50 mg and metformin hydrochloride 850 mg oral tablet) JANSSEN INC","ADDED"
NA,"700347","MORPHINE HP 50 - 50MG/ML USP (morphine sulfate 250 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED","DELETED"
"TRUE","02451123","M-ACETAMINOPHEN 500MG (acetaminophen 500 mg oral tablet) MANTRA PHARMA INC","ADDED"
"TRUE","02345064","BACTRA-CLEAN HAND SANITIZER (benzalkonium chloride 0.15 % cutaneous spray) VISPAK INC","ADDED"
"TRUE","02421623","JAMP-ZOLMITRIPTAN (zolmitriptan 2.5 mg oral tablet) JAMP PHARMA CORPORATION","ADDED"
"TRUE","02248347","COMBIGAN (brimonidine tartrate 0.2 % and timolol (timolol maleate) 0.5 % ophthalmic drops) ALLERGAN INC","ADDED"
