ccdd,mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name
"TRUE","02028174","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC","NA","NA","Active","19931231",NA,NA,NA
"TRUE","02025337","ACETAMINOPHEN, CAFFEINE & CODEINE (acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMASCIENCE INC","NA","NA","Active","19931231",NA,NA,NA
"TRUE","02352761","AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) SANIS HEALTH INC","NA","NA","Active","20170731",NA,NA,NA
"TRUE","02352745","AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) SANIS HEALTH INC","NA","NA","Active","20170731",NA,NA,NA
"TRUE","02352753","AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) SANIS HEALTH INC","NA","NA","Active","20101102",NA,NA,NA
"TRUE","02352788","AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) SANIS HEALTH INC","NA","NA","Active","20100927",NA,NA,NA
"TRUE","02240113","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA","NA","NA","Active","19990527",NA,NA,NA
"TRUE","02258692","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA","NA","NA","Active","20051102",NA,NA,NA
"TRUE","02424924","DIVIGEL (estradiol 0.1 % transdermal gel) TEVA CANADA LIMITED","NA","NA","Active","20150413",NA,NA,NA
"TRUE","02424835","DIVIGEL (estradiol 0.1 % transdermal gel) TEVA CANADA LIMITED","NA","NA","Active","20150413",NA,NA,NA
"TRUE","02424843","DIVIGEL (estradiol 0.1 % transdermal gel) TEVA CANADA LIMITED","NA","NA","Active","20150413",NA,NA,NA
"TRUE","02355612","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 10 mg oral tablet) DOMINION PHARMACAL","NA","NA","Inactive","20170803",NA,NA,NA
"TRUE","02399482","DOM-ATORVASTATIN (atorvastatin (atorvastatin calcium) 10 mg oral tablet) DOMINION PHARMACAL","NA","NA","Active","20130809",NA,NA,NA
