ccdd,ntp_code,ntp_formal_name,changes
"TRUE","9003645","brompheniramine maleate 2 mg per 5 mL and codeine phosphate 10 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL syrup","ADDED"
"TRUE","9002940","chloral hydrate 500 mg oral capsule","ADDED"
NA,"9000546","verapamil hydrochloride 10 mg per 4 mL solution for injection ampoule","DELETED"
"TRUE","9012437","methylphenidate hydrochloride 35 mg modified-release oral capsule","ADDED"
NA,"9001750","chlorthalidone 100 mg oral tablet","DELETED"
"TRUE","9001559","phenobarbital 60 mg oral tablet","ADDED"
"TRUE","9007108","ambrisentan 10 mg oral tablet","ADDED"
NA,"9000735","estradiol 0.5 mg oral tablet","DELETED"
"TRUE","9008750","desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet","ADDED"
"TRUE","9012415","defibrotide 80 mg per mL solution for injection","ADDED"
"TRUE","9003378","benzalkonium chloride 0.13 % cutaneous liquid","ADDED"
"TRUE","9004245","brompheniramine maleate 4 mg per 5 mL and phenylephrine hydrochloride 10 mg per 5 mL syrup","ADDED"
"TRUE","9002105","doxylamine succinate 25 mg oral tablet","ADDED"
"TRUE","9010880","nitroglycerin 100 mg per 10 mL solution for injection vial","ADDED"
"TRUE","9002267","chlorhexidine gluconate 2 % cutaneous liquid","ADDED"
NA,"9000575","estradiol 2 mg ring (slow release)","DELETED"
"TRUE","9003613","misoprostol 100 mcg oral tablet","ADDED"
"TRUE","9004205","acetaminophen 250 mg and guaifenesin 100 mg and phenylephrine hydrochloride 5 mg oral tablet","ADDED"
NA,"9005212","nebivolol (nebivolol hydrochloride) 20 mg oral tablet","DELETED"
"TRUE","9006436","benzoyl peroxide 3.5 % and benzoyl peroxide 2.5 % NA","ADDED"
"TRUE","9002228","triazolam 0.25 mg oral tablet","ADDED"
"TRUE","9003324","acetylsalicylic acid 375 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet","ADDED"
"TRUE","9005062","tobramycin 40 mg per mL solution for injection","ADDED"
"TRUE","9012427","irinotecan hydrochloride (irinotecan sucrose octasulfate) 43 mg per 10 mL suspension for injection","ADDED"
"TRUE","9011711","rivastigmine 9.5 mg per 24 hour transdermal patch","ADDED"
"TRUE","9004443","alcohol anhydrous 70 % and benzalkonium chloride 0.15 % cutaneous gel","ADDED"
"TRUE","9012417","lixisenatide 0.05 mg per mL solution for injection","ADDED"
"TRUE","9001847","guaifenesin 100 mg per 5 mL syrup","ADDED"
"TRUE","9003521","eprosartan (eprosartan mesylate) 400 mg oral tablet","ADDED"
"TRUE","9012359","verapamil hydrochloride 5 mg per 2 mL solution for injection vial","ADDED"
"TRUE","9009613","furosemide 10 mg per mL oral solution","ADDED"
NA,"9002524","benazepril hydrochloride 20 mg oral tablet","DELETED"
"TRUE","9011919","sotalol hydrochloride 160 mg oral tablet","ADDED"
NA,"9000077","ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet","DELETED"
NA,"9006586","moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL solution for injection 250 mL bottle","DELETED"
"TRUE","9005549","benzoyl peroxide 4 % lotion","ADDED"
"TRUE","9004128","chlorhexidine gluconate 2 % wipe","ADDED"
"TRUE","9004809","acetylsalicylic acid 325 mg and caffeine 32 mg oral tablet","ADDED"
"TRUE","9002909","anastrozole 1 mg oral tablet","ADDED"
NA,"9003217","salmeterol (salmeterol xinafoate) 50 mcg inhalation powder","DELETED"
"TRUE","9006475","ethinyl estradiol 15 mcg per 24 hours and etonogestrel 120 mcg per 24 hours vaginal delivery system","ntp_type: """" -> ""NA"""
NA,"9006333","cromolyn sodium 1 % nebuliser solution","DELETED"
NA,"9000284","sulfamethoxazole 40 mg per mL and trimethoprim 8 mg per mL oral suspension","DELETED"
"TRUE","9006572","ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet","ntp_formal_name: ""ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet"" -> ""drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet""
ntp_status_effective_time: ""19980107"" -> ""20090106""
ntp_type: """" -> ""NA"""
"TRUE","9012379","formoterol fumarate 12 mcg per actuation inhalation powder","ADDED"
NA,"9006554","ethinyl estradiol 35 mcg and norgestimate 250 mcg oral tablet","DELETED"
"TRUE","9010492","mesalazine 1 g prolonged-release oral tablet","ADDED"
"TRUE","9010499","mesalazine 500 mg gastro-resistant tablet","ADDED"
NA,"9006537","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet","DELETED"
NA,"9000092","furosemide 20 mg oral tablet","DELETED"
NA,"9002003","aminophylline 50 mg per mL solution for injection","DELETED"
"TRUE","9003379","tobramycin (tobramycin sulfate) 300 mg per 5 mL inhalation solution","ADDED"
"TRUE","9010783","nadolol 40 mg oral tablet","ADDED"
"TRUE","9004259","brompheniramine maleate 2 mg per 5 mL and phenylephrine hydrochloride 5 mg per 5 mL oral solution","ADDED"
NA,"9001889","minoxidil 10 mg oral tablet","DELETED"
"TRUE","9012396","vandetanib 100 mg oral tablet","ADDED"
"TRUE","9003676","midazolam (midazolam hydrochloride) 1 mg per mL solution for injection","ADDED"
NA,"9002872","sotalol hydrochloride 160 mg oral tablet","DELETED"
NA,"9003674","bosentan (bosentan monohydrate) 125 mg oral tablet","DELETED"
"TRUE","9012366","cilazapril 1 mg oral tablet","ADDED"
"TRUE","9012419","glecaprevir 100 mg and pibrentasvir 40 mg oral tablet","ADDED"
"TRUE","9006367","conjugated estrogens 0.625 mg and medroxyprogesterone acetate 2.5 mg NA","ADDED"
NA,"9000093","furosemide 40 mg oral tablet","DELETED"
"TRUE","9006064","phenylephrine hydrochloride 50 mcg per mL solution for injection","ADDED"
NA,"9000374","amoxicillin 250 mg per 5 mL oral suspension","DELETED"
NA,"9004033","cilazapril (cilazapril monohydrate) 2.5 mg oral tablet","DELETED"
"TRUE","9012446","olaratumab 500 mg per 50 mL solution for injection","ADDED"
"TRUE","9012421","haptens 100 % cutaneous liquid","ADDED"
"TRUE","9003810","alcohol anhydrous 61 % and chlorhexidine gluconate 1 % lotion","ADDED"
"TRUE","9003503","guaifenesin 200 mg per 15 mL syrup","ADDED"
"TRUE","9003850","brimonidine tartrate 0.2 % and timolol (timolol maleate) 0.5 % ophthalmic drops","ADDED"
"TRUE","9005229","metformin hydrochloride 850 mg and saxagliptin (saxagliptin hydrochloride) 2.5 mg oral tablet","ADDED"
"TRUE","9012378","salmeterol (salmeterol xinafoate) 50 mcg per actuation inhalation powder","ADDED"
NA,"9002147","nadolol 80 mg oral tablet","DELETED"
NA,"9006569","metoclopramide hydrochloride 5 mg per 5 mL oral solution","DELETED"
NA,"9002255","captopril 100 mg oral tablet","DELETED"
"TRUE","9001557","phenobarbital 15 mg oral tablet","ADDED"
"TRUE","9010491","mesalazine 1 g per 100 mL rectal suspension","ADDED"
"TRUE","9005477","brimonidine (brimonidine tartrate) 0.33 % cutaneous gel","ADDED"
"TRUE","9009619","furosemide 40 mg oral tablet","ADDED"
"TRUE","9003627","trimethoprim 200 mg oral tablet","ADDED"
"TRUE","9008158","captopril 50 mg oral tablet","ADDED"
"TRUE","9002343","benzoyl peroxide 10 % cutaneous gel","ADDED"
"TRUE","9003961","eletriptan (eletriptan hydrobromide) 20 mg oral tablet","ADDED"
"TRUE","9010881","nitroglycerin 2 % cutaneous ointment","ADDED"
NA,"9002025","hydrochlorothiazide 25 mg and methyldopa 250 mg oral tablet","DELETED"
