ccdd,tm_code,tm_formal_name,changes,New code,Comments
TRUE,8000837,acetaminophen and caffeine,ADDED,,
TRUE,8000828,acetaminophen and codeine and doxylamine,ADDED,,
TRUE,8000956,acetaminophen and doxylamine and phenylephrine,ADDED,,
TRUE,8001035,acetaminophen and guaifenesin and phenylephrine,ADDED,,
TRUE,8000843,acetaminophen and phenylephrine,ADDED,,
TRUE,8000870,acetylsalicylic acid and caffeine,ADDED,,
TRUE,8000806,acetylsalicylic acid and caffeine and codeine,ADDED,,
TRUE,8001070,aclidinium,ADDED,,
TRUE,8001071,aclidinium and formoterol,ADDED,,
NA,8001062,aclidinium bromide,DELETED,8001070,Jan code replaced with Feb release
NA,8001011,aclidinium bromide and formoterol,DELETED,8001071,Jan code replaced with Feb release
TRUE,8001003,acyclovir and hydrocortisone,ADDED,,
TRUE,8000817,alcohol anhydrous,ADDED,,
TRUE,8000946,alcohol anhydrous and benzalkonium,ADDED,,
TRUE,8000912,alcohol anhydrous and chlorhexidine,ADDED,,
NA,8000779,alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate,DELETED,,sodium citrate not flagged in ingred stem
TRUE,8001110,almotriptan,ADDED,,
TRUE,8001072,alogliptin,ADDED,,
NA,8001006,alogliptin (alogliptin benzoate) and metformin,DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001073,alogliptin and metformin,ADDED,,
TRUE,8000907,amoxicillin and clarithromycin and lansoprazole,ADDED,,
TRUE,8000941,amphetamine and dextroamphetamine,ADDED,,
TRUE,8001068,ampicillin,"tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20170804"" -> ""19841231""",,"2 prods went dormant.  00603279, 00603295.  TM not published yet"
NA,8001052,ampicillin (ampicillin sodium),DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8001101,anastrozole,ADDED,,
TRUE,8001098,asparaginase,ADDED,,
TRUE,8001141,avelumab,ADDED,,
TRUE,8001074,azilsartan,ADDED,,
TRUE,8001075,azilsartan and chlorthalidone,ADDED,,
NA,8000998,azilsartan medoxomil (azilsartan medoxomil potassium) and chlorthalidone,DELETED,,TM name incorrect in Jan file b/c of Ing Stem.  Corrected < March files
TRUE,8000796,benzalkonium,ADDED,,
TRUE,8000829,benzoyl peroxide,ADDED,,
TRUE,8000924,benzoyl peroxide and clindamycin,ADDED,,
TRUE,8000897,benzoyl peroxide and erythromycin,ADDED,,
TRUE,8000846,betamethasone dipropionate and clotrimazole,ADDED,,
TRUE,8001103,brimonidine,ADDED,,
