ccdd,mp_code,greater_than_5_AIs,drug_identification_number,brand_name,company_name,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time
FALSE,15741,FALSE,15741,TAPAZOLE 5MG TABLET,PALADIN LABS INC,TAPAZOLE 5MG TABLET (thiamazole 5 mg oral tablet) PALADIN LABS INC,NA,NA,Active,19511231
TRUE,15229,FALSE,15229,AVENTYL,AA PHARMA INC,AVENTYL (nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule) AA PHARMA INC,NA,NA,Active,19651231
TRUE,15237,FALSE,15237,AVENTYL,AA PHARMA INC,AVENTYL (nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule) AA PHARMA INC,NA,NA,Active,19651231
FALSE,147680,TRUE,147680,NEO-BEX INJECTABLE,BROSTEL INC.,NEO-BEX INJECTABLE (dexpanthenol 10 mg per mL and lidocaine hydrochloride 2 % and nicotinamide 75 mg per mL and pyridoxine hydrochloride 2 mg per mL and vitamin B1 50 mg per mL and vitamin B2 (riboflavin 5'-phosphate sodium) 7.5 mg per mL solution for injection) BROSTEL INC.,NA,NA,Active,19511231
FALSE,50857,FALSE,50857,GENTIANE VIOLET LIQ TOP,LABORATOIRE ATLAS INC,GENTIANE VIOLET LIQ TOP (gentian violet 1 % cutaneous liquid) LABORATOIRE ATLAS INC,NA,NA,Active,19511231
FALSE,50520,FALSE,50520,MINERALE LEGERE HUILE,LABORATOIRE ATLAS INC,MINERALE LEGERE HUILE (mineral oil 100 % cutaneous liquid) LABORATOIRE ATLAS INC,NA,NA,Active,19511231
FALSE,50466,FALSE,50466,METHYLENE BLEU LIQ 1%,LABORATOIRE ATLAS INC,METHYLENE BLEU LIQ 1% (methylene blue 1 % oral liquid) LABORATOIRE ATLAS INC,NA,NA,Active,19511231
FALSE,50474,FALSE,50474,METHYLENE BLEU LIQ 2%,LABORATOIRE ATLAS INC,METHYLENE BLEU LIQ 2% (methylene blue 2 % oral liquid) LABORATOIRE ATLAS INC,NA,NA,Active,19511231
FALSE,37818,FALSE,37818,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,PFIZER CANADA INC,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP (sodium chloride 9 mg per mL solution for injection) PFIZER CANADA INC,NA,NA,Active,19511231
FALSE,38202,FALSE,38202,BACTERIOSTATIC WATER FOR INJECTION USP,HOSPIRA HEALTHCARE CORPORATION,BACTERIOSTATIC WATER FOR INJECTION USP (water 100 % solution for injection) HOSPIRA HEALTHCARE CORPORATION,NA,NA,Active,19521231
TRUE,10332,FALSE,10332,ENTROPHEN 325MG TABLETS,PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,ENTROPHEN 325MG TABLETS (acetylsalicylic acid 325 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,NA,NA,Active,19511231
FALSE,10200,FALSE,10200,PROPYL-THYRACIL,PALADIN LABS INC,PROPYL-THYRACIL (propylthiouracil 50 mg oral tablet) PALADIN LABS INC,NA,NA,Active,19511231
FALSE,10219,FALSE,10219,PROPYL-THYRACIL,PALADIN LABS INC,PROPYL-THYRACIL (propylthiouracil 100 mg oral tablet) PALADIN LABS INC,NA,NA,Active,19451231
FALSE,9881,FALSE,9881,PAPAVERINE HYDROCHLORIDE INJECTION USP,SANDOZ CANADA INCORPORATED,PAPAVERINE HYDROCHLORIDE INJECTION USP (papaverine hydrochloride 65 mg per 2 mL solution for injection) SANDOZ CANADA INCORPORATED,NA,NA,Active,19511231
FALSE,116815,FALSE,116815,DIOVOL PLUS SUSPENSION,CHURCH & DWIGHT CANADA CORP,DIOVOL PLUS SUSPENSION (aluminum hydroxide (dried aluminum hydroxide gel) 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL oral suspension) CHURCH & DWIGHT CANADA CORP,NA,NA,Active,19631231
FALSE,116882,FALSE,116882,DIOVOL PLUS TABLETS,CHURCH & DWIGHT CANADA CORP,DIOVOL PLUS TABLETS (aluminum hydroxide-magnesium carbonate-co dried gel 300 mg and magnesium hydroxide 100 mg and simethicone 25 mg oral tablet) CHURCH & DWIGHT CANADA CORP,NA,NA,Active,19631231
FALSE,13609,FALSE,13609,GRAVOL COMFORT SHAPED SUPPOSITORIES,CHURCH & DWIGHT CANADA CORP,GRAVOL COMFORT SHAPED SUPPOSITORIES (dimenhydrinate 100 mg suppository) CHURCH & DWIGHT CANADA CORP,NA,NA,Active,19511231
FALSE,13579,FALSE,13579,GRAVOL IM,CHURCH & DWIGHT CANADA CORP,GRAVOL IM (dimenhydrinate 50 mg per mL solution for injection) CHURCH & DWIGHT CANADA CORP,NA,NA,Active,19531231
FALSE,13617,FALSE,13617,OVOL DROPS 40MG,CHURCH & DWIGHT CANADA CORP,OVOL DROPS 40MG (simethicone 40 mg per mL oral drops) CHURCH & DWIGHT CANADA CORP,NA,NA,Active,19631231
FALSE,1961,FALSE,1961,XYLOCAINE OINTMENT 5%,ASPEN PHARMACARE CANADA INC.,XYLOCAINE OINTMENT 5% (lidocaine 5 % cutaneous ointment) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19541231
FALSE,1694,FALSE,1694,XYLOCAINE JELLY 2%,ASPEN PHARMACARE CANADA INC.,XYLOCAINE JELLY 2% (lidocaine hydrochloride 20 mg per mL cutaneous gel) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19511231
FALSE,38172,FALSE,38172,QUELICIN,PFIZER CANADA INC,QUELICIN (succinylcholine chloride 20 mg per mL solution for injection) PFIZER CANADA INC,NA,NA,Active,19521231
FALSE,37834,FALSE,37834,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,SODIUM CHLORIDE IRRIGATION USP (sodium chloride 9 mg per mL NA) ICU MEDICAL CANADA INC,NA,NA,Active,19661231
