"ccdd","tm_code","tm_formal_name","greater_than_5_AIs","n_dins","n_ntps","tm_status","tm_status_effective_time","audit_id"
TRUE,8000782,"meperidine",FALSE,9,2,"Active","19441231",14145
TRUE,8000001,"levothyroxine",FALSE,18,2,"Active","19511230",14036
TRUE,8000795,"acetylsalicylic acid",FALSE,71,4,"Active","19511231",32200
TRUE,8000796,"benzalkonium",FALSE,58,7,"Active","19511231",32201
TRUE,8000003,"epinephrine",FALSE,13,3,"Active","19511231",13975
TRUE,8000004,"phenytoin sodium",FALSE,8,2,"Active","19511231",14079
TRUE,8000005,"phenytoin (base)",FALSE,4,2,"Active","19521231",14078
TRUE,8000006,"testosterone",FALSE,19,6,"Active","19531231",14119
TRUE,8000008,"hydrocortisone",FALSE,16,7,"Active","19541231",14016
TRUE,8000009,"hydroxyzine",FALSE,13,3,"Active","19561231",14019
TRUE,8000010,"methylphenidate",FALSE,48,4,"Active","19561231",14050
TRUE,8001091,"chlorambucil",FALSE,1,1,"Active","19571231",52626
TRUE,8000778,"hydrocodone and phenyltoloxamine",FALSE,2,2,"Active","19571231",14142
TRUE,8000012,"hydroxychloroquine",FALSE,5,1,"Active","19571231",14018
TRUE,8000799,"phenobarbital",FALSE,5,2,"Active","19571231",32204
TRUE,8000013,"warfarin",FALSE,24,1,"Active","19571231",14136
TRUE,8000800,"bisacodyl",FALSE,22,3,"Active","19581231",32205
TRUE,8001099,"methotrimeprazine",FALSE,10,2,"Active","19581231",52634
TRUE,8000788,"belladonna and ergotamine and phenobarbital",FALSE,1,1,"Active","19590101",14154
TRUE,8000014,"prednisone",FALSE,7,1,"Active","19591231",14084
TRUE,8000015,"spironolactone",FALSE,4,1,"Active","19591231",14109
TRUE,8000802,"hydrochlorothiazide and spironolactone",FALSE,4,1,"Active","19601231",32207
TRUE,8000018,"medroxyprogesterone",FALSE,15,2,"Active","19601231",14043
TRUE,8000020,"norethindrone",FALSE,4,1,"Active","19611231",14064
TRUE,8000021,"conjugated estrogens",FALSE,18,4,"Active","19631231",13981
TRUE,8000023,"acetaminophen and caffeine and codeine",FALSE,22,1,"Active","19641231",13894
TRUE,8000024,"amitriptyline",FALSE,39,1,"Active","19651231",13904
TRUE,8000794,"betamethasone acetate and betamethasone (base)",FALSE,2,1,"Active","19651231",14160
TRUE,8000026,"nortriptyline",FALSE,8,1,"Active","19651231",14065
TRUE,8000027,"azathioprine",FALSE,7,2,"Active","19661231",13912
TRUE,8000028,"dexamethasone (base)",FALSE,15,6,"Active","19661231",13956
TRUE,8001078,"ephedrine",FALSE,2,1,"Active","19661231",32599
TRUE,8000029,"quinine sulfate",FALSE,11,2,"Active","19661231",14091
TRUE,8000030,"triamcinolone acetonide",FALSE,16,5,"Active","19661231",14153
TRUE,8000804,"ethacrynic acid",FALSE,2,2,"Active","19681231",32209
TRUE,8000031,"hydrochlorothiazide",FALSE,20,1,"Active","19681231",14006
TRUE,8000032,"carbamazepine",FALSE,28,4,"Active","19691231",13928
TRUE,8000806,"acetylsalicylic acid and caffeine and codeine",FALSE,7,1,"Active","19701231",32211
TRUE,8000036,"clindamycin",FALSE,29,6,"Active","19701231",13941
TRUE,8000037,"erythromycin",FALSE,15,5,"Active","19701231",13976
TRUE,8000038,"metronidazole",FALSE,14,7,"Active","19701231",14053
TRUE,8000786,"pentazocine",FALSE,2,2,"Active","19701231",14149
TRUE,8000040,"cephalexin",FALSE,21,3,"Active","19711231",13933
TRUE,8000041,"lithium carbonate",FALSE,11,2,"Active","19711231",14040
TRUE,8000809,"chlorhexidine",FALSE,48,11,"Active","19721231",32214
TRUE,8000043,"ibuprofen",FALSE,64,6,"Active","19721231",14020
TRUE,8000044,"nitroglycerin",FALSE,27,5,"Active","19721231",14063
TRUE,8000045,"oxycodone",FALSE,38,3,"Active","19731231",14073
TRUE,8000046,"allopurinol",FALSE,16,1,"Active","19741231",13901
TRUE,8001098,"asparaginase",FALSE,2,1,"Active","19741231",52633
TRUE,8001047,"chlorpropamide",FALSE,2,1,"Active","19741231",32452
TRUE,8000047,"colchicine",FALSE,4,1,"Active","19741231",13950
TRUE,8000049,"ethinyl estradiol and norethindrone",FALSE,19,1,"Active","19741231",13985
TRUE,8000050,"nitrofurantoin",FALSE,6,2,"Active","19741231",14062
TRUE,8000051,"prednisolone",FALSE,10,2,"Active","19741231",14083
TRUE,8000791,"betamethasone dipropionate",FALSE,20,3,"Active","19751231",14157
TRUE,8000054,"carbidopa and levodopa",FALSE,20,3,"Active","19751231",13929
TRUE,8000811,"docusate and sennosides",FALSE,6,1,"Active","19751231",32216
TRUE,8000055,"folic acid",FALSE,7,2,"Active","19751231",13996
TRUE,8001048,"tolbutamide",FALSE,1,1,"Active","19751231",32453
TRUE,8000813,"chlorthalidone",FALSE,2,1,"Active","19761231",32218
TRUE,8000057,"furosemide",FALSE,26,3,"Active","19761231",13998
TRUE,8000814,"metronidazole and nystatin",FALSE,2,2,"Active","19761231",32219
TRUE,8000059,"acetaminophen and oxycodone",FALSE,10,1,"Active","19771231",13896
TRUE,8000061,"clonazepam",FALSE,34,1,"Active","19771231",13944
TRUE,8000048,"diazepam",FALSE,17,4,"Active","19771231",13961
TRUE,8000063,"metoprolol",FALSE,48,3,"Active","19771231",14052
TRUE,8000064,"penicillin v",FALSE,4,2,"Active","19771231",14076
TRUE,8000065,"acetaminophen and codeine",FALSE,8,2,"Active","19781231",13895
TRUE,8000817,"alcohol anhydrous",FALSE,1,1,"Active","19781231",32222
TRUE,8000066,"baclofen",FALSE,27,2,"Active","19781231",13914
TRUE,8000067,"benztropine",FALSE,5,3,"Active","19781231",13916
TRUE,8000069,"codeine",FALSE,15,5,"Active","19781231",13949
TRUE,8000071,"morphine",FALSE,76,8,"Active","19781231",14058
TRUE,8000819,"pindolol",FALSE,15,1,"Active","19781231",32224
TRUE,8000072,"valproic acid (valproate)",FALSE,4,2,"Active","19781231",14131
TRUE,8000073,"amoxicillin",FALSE,35,3,"Active","19791231",13906
TRUE,8000792,"betamethasone valerate",FALSE,19,5,"Active","19791231",14158
TRUE,8000075,"calcitriol",FALSE,7,3,"Active","19791231",13925
TRUE,8000821,"guaifenesin",FALSE,19,4,"Active","19791231",32226
TRUE,8000078,"nystatin",FALSE,11,4,"Active","19791231",14066
TRUE,8000079,"oxazepam",FALSE,18,1,"Active","19791231",14071
TRUE,8000823,"phenylephrine",FALSE,10,4,"Active","19791231",32228
TRUE,8001094,"theophylline",FALSE,13,2,"Active","19791231",52629
TRUE,8000081,"timolol",FALSE,21,3,"Active","19791231",14120
TRUE,8000082,"diclofenac",FALSE,53,8,"Active","19801231",13962
TRUE,8000084,"haloperidol",FALSE,22,3,"Active","19801231",14004
TRUE,8000085,"indomethacin",FALSE,9,2,"Active","19801231",14023
TRUE,8000824,"minoxidil",FALSE,8,3,"Active","19801231",32229
TRUE,8001092,"nitrazepam",FALSE,6,1,"Active","19801231",52627
TRUE,8000086,"propranolol",FALSE,19,4,"Active","19801231",14088
TRUE,8000087,"temazepam",FALSE,8,1,"Active","19801231",14116
TRUE,8000088,"alprazolam",FALSE,31,1,"Active","19811231",13902
TRUE,8001049,"aminophylline",FALSE,3,1,"Active","19811231",32454
TRUE,8000090,"bromazepam",FALSE,9,1,"Active","19811231",13921
TRUE,8001077,"cromolyn",FALSE,7,6,"Active","19811231",32598
TRUE,8000091,"flurazepam",FALSE,8,1,"Active","19811231",13993
TRUE,8000826,"guaifenesin and oxtriphylline",FALSE,1,1,"Active","19811231",32231
TRUE,8000092,"hydrochlorothiazide and triamterene",FALSE,2,1,"Active","19811231",14014
TRUE,8000827,"tobramycin",FALSE,17,6,"Active","19811231",32232
TRUE,8000828,"acetaminophen and codeine and doxylamine",FALSE,1,1,"Active","19821231",32233
TRUE,8000095,"acyclovir",FALSE,19,6,"Active","19821231",13898
TRUE,8000829,"benzoyl peroxide",FALSE,49,8,"Active","19821231",32234
TRUE,8000097,"indapamide",FALSE,17,1,"Active","19821231",14021
TRUE,8000830,"isosorbide dinitrate",FALSE,5,2,"Active","19821231",32235
TRUE,8001093,"nabilone",FALSE,13,1,"Active","19821231",52628
TRUE,8000218,"naproxen",FALSE,54,6,"Active","19821231",14060
TRUE,8000835,"hydrochlorothiazide and pindolol",FALSE,2,1,"Active","19831231",32240
TRUE,8000836,"prazosin",FALSE,9,1,"Active","19831231",32241
TRUE,8000774,"acetylsalicylic acid and oxycodone",FALSE,1,1,"Active","19841231",14138
TRUE,8001068,"ampicillin",FALSE,16,3,"Active","19841231",32473
TRUE,8000104,"fusidic acid",FALSE,4,3,"Active","19841231",13999
TRUE,8000106,"hydromorphone",FALSE,41,7,"Active","19841231",14017
TRUE,8000107,"procyclidine",FALSE,3,2,"Active","19841231",14086
TRUE,8000108,"valproic acid (divalproex)",FALSE,21,1,"Active","19841231",14130
TRUE,8000109,"lorazepam",FALSE,30,3,"Active","19851231",14041
TRUE,8000110,"acebutolol",FALSE,20,1,"Active","19861231",13893
TRUE,8000837,"acetaminophen and caffeine",FALSE,6,1,"Active","19861231",32242
TRUE,8000114,"dexamethasone phosphate",FALSE,9,2,"Active","19861231",13957
TRUE,8000115,"glyburide",FALSE,16,1,"Active","19861231",14003
TRUE,8000840,"lactulose",FALSE,7,1,"Active","19861231",32245
TRUE,8000841,"cyproterone",FALSE,5,2,"Active","19871231",32246
TRUE,8000117,"doxycycline",FALSE,14,4,"Active","19871231",13970
TRUE,8000118,"enalapril",FALSE,48,1,"Active","19871231",13974
TRUE,8000119,"ethinyl estradiol and levonorgestrel",FALSE,21,1,"Active","19871231",13983
TRUE,8000120,"ranitidine",FALSE,40,3,"Active","19871231",14094
TRUE,8000121,"atenolol",FALSE,46,1,"Active","19881231",13909
TRUE,8000773,"clotrimazole",FALSE,17,4,"Active","19881231",13947
TRUE,8000122,"diltiazem",FALSE,80,5,"Active","19881231",13965
TRUE,8000842,"nadolol",FALSE,5,1,"Active","19881231",32247
TRUE,8000123,"nifedipine",FALSE,18,2,"Active","19881231",14061
TRUE,8000124,"verapamil",FALSE,25,4,"Active","19881231",14135
TRUE,8000843,"acetaminophen and phenylephrine",FALSE,8,3,"Active","19891231",32248
TRUE,8000844,"amiloride and hydrochlorothiazide",FALSE,2,1,"Active","19891231",32249
TRUE,8000127,"fentanyl",FALSE,60,4,"Active","19891231",13990
TRUE,8000128,"fluoxetine",FALSE,48,2,"Active","19891231",13992
TRUE,8000130,"metoclopramide",FALSE,7,3,"Active","19891231",14051
TRUE,8000131,"omeprazole",FALSE,34,2,"Active","19891231",14070
TRUE,8000132,"salbutamol",FALSE,29,7,"Active","19891231",14102
TRUE,8001096,"tamoxifen",FALSE,5,1,"Active","19891231",52631
TRUE,8001095,"triazolam",FALSE,1,1,"Active","19891231",52630
TRUE,8000846,"betamethasone dipropionate and clotrimazole",FALSE,1,1,"Active","19901231",32251
TRUE,8000134,"budesonide",FALSE,13,6,"Active","19901231",13922
TRUE,8000847,"captopril",FALSE,13,1,"Active","19901231",32252
TRUE,8001097,"chloral hydrate",FALSE,3,2,"Active","19901231",52632
TRUE,8000135,"clonidine",FALSE,10,1,"Active","19901231",13945
