"drug_code","unit_of_presentation","uop_size","uop_unit_of_measure","uop_suffix","calculation","uop_size_insert","ntp_ing_formal_name_uop","mp_ing_formal_name_uop","drug_identification_number"
441,"vial",5,"mL","vial","Y","N","medroxyprogesterone acetate 250 mg per 5 mL","medroxyprogesterone acetate 250 mg per 5 mL","00030848"
790,"ampoule",1,"mL","ampoule","Y","N","ephedrine sulfate 50 mg per 1 mL","ephedrine sulfate 50 mg per 1 mL","00038121"
940,"ampoule",1,"mL","ampoule","Y","N","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL","00155357"
940,"ampoule",30,"mL","ampoule","Y","N","epinephrine (epinephrine hydrochloride) 30 mg per 30 mL","epinephrine (epinephrine hydrochloride) 30 mg per 30 mL","00155357"
1275,"ampoule",5,"mL","ampoule","Y","N","testosterone enanthate 1000 mg per 5 mL","testosterone enanthate 1000 mg per 5 mL","00029246"
1398,"vial",10,"mL","vial","Y","N","testosterone cypionate 1000 mg per 10 mL","testosterone cypionate 1000 mg per 10 mL","00030783"
1620,"vial",2,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 300 mg per 2 mL","clindamycin (clindamycin phosphate) 300 mg per 2 mL","00260436"
1620,"vial",4,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 600 mg per 4 mL","clindamycin (clindamycin phosphate) 600 mg per 4 mL","00260436"
1620,"vial",6,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 900 mg per 6 mL","clindamycin (clindamycin phosphate) 900 mg per 6 mL","00260436"
1620,"vial",60,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 9000 mg per 60 mL","clindamycin (clindamycin phosphate) 9000 mg per 60 mL","00260436"
3042,"ampoule",1,"mL","ampoule","Y","N","morphine sulfate 15 mg per 1 mL","morphine sulfate 15 mg per 1 mL","00392561"
3043,"ampoule",1,"ml","ampoule","Y","N","morphine sulfate 10 mg per 1 mL","morphine sulfate 10 mg per 1 mL","00392588"
3721,"ampoule",2,"mL","ampoule","N","N","diazepam 10 mg per 2 mL","diazepam 10 mg per 2 mL","00399728"
3883,"syringe",0.3,"mL","0.3 mL syringe","N","Y","epinephrine 0.3 mg per 0.3 mL","epinephrine 0.3 mg per 0.3 mL","00509558"
4226,"vial",10,"mL","vial","Y","N","aminophylline 250 mg per 10 mL","aminophylline 250 mg per 10 mL","00497193"
4232,"ampoule",1,"mL","ampoule","Y","N","codeine phosphate 30 mg per 1 mL","codeine phosphate 30 mg per 1 mL","00497282"
4233,"ampoule",1,"mL","ampoule","Y","N","codeine phosphate 60 mg per 1 mL","codeine phosphate 60 mg per 1 mL","00497290"
4431,"ampoule",2,"mL","ampoule","Y","N","furosemide 20 mg per 2 mL","furosemide 20 mg per 2 mL","00527033"
4431,"ampoule",4,"mL","ampoule","Y","N","furosemide 40 mg per 4 mL","furosemide 40 mg per 4 mL","00527033"
4703,"ampoule",5,"mL","ampoule","Y","N","sulfamethoxazole 400 mg per 5 mL and trimethoprim 80 mg per 5 mL","sulfamethoxazole 400 mg per 5 mL and trimethoprim 80 mg per 5 mL","00550086"
4806,"ampoule",1,"mL","ampoule","Y","N","codeine phosphate 30 mg per 1 mL","codeine phosphate 30 mg per 1 mL","00544884"
4910,"ampoule",2,"mL","ampoule","Y","N","furosemide 20 mg per 2 mL","furosemide 20 mg per 2 mL","00565040"
4910,"ampoule",4,"mL","ampoule","Y","N","furosemide 40 mg per 4 mL","furosemide 40 mg per 4 mL","00565040"
4910,"syringe",2,"mL","syringe","Y","N","furosemide 20 mg per 2 mL","furosemide 20 mg per 2 mL","00565040"
4910,"syringe",4,"mL","syringe","Y","N","furosemide 40 mg per 4 mL","furosemide 40 mg per 4 mL","00565040"
5326,"vial",10,"mL","10 mL vial","N","Y","insulin nph human dna origin 100 unit per mL","insulin nph human dna origin 100 unit per mL","00587737"
5704,"vial",10,"mL","vial","Y","N","aminophylline 500 mg per 10 mL","aminophylline 500 mg per 10 mL","00582654"
5705,"vial",10,"mL","vial","Y","N","aminophylline 250 mg per 10 mL","aminophylline 250 mg per 10 mL","00582662"
5936,"vial",1,"mL","vial","Y","N","hydromorphone hydrochloride 10 mg per 1 mL","hydromorphone hydrochloride 10 mg per 1 mL","00622133"
5936,"vial",5,"mL","vial","Y","N","hydromorphone hydrochloride 50 mg per 5 mL","hydromorphone hydrochloride 50 mg per 5 mL","00622133"
5936,"vial",50,"mL","50 mL vial","N","Y","hydromorphone hydrochloride 10 mg per mL","hydromorphone hydrochloride 10 mg per mL","00622133"
5937,"ampoule",1,"mL","ampoule","Y","N","hydromorphone hydrochloride 2 mg per 1 mL","hydromorphone hydrochloride 2 mg per 1 mL","00627100"
5970,"syringe",0.3,"mL","0.3 mL syringe","N","Y","epinephrine 0.15 mg per 0.3 mL","epinephrine 0.15 mg per 0.3 mL","00578657"
6593,"vial",5,"mL","vial","Y","N","dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL","dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL","00664227"
6690,"ampoule",1,"ml","ampoule","Y","N","morphine sulfate 25 mg per 1 mL","morphine sulfate 25 mg per 1 mL","00676411"
6690,"ampoule",4,"ml","ampoule","Y","N","morphine sulfate 100 mg per 4 mL","morphine sulfate 100 mg per 4 mL","00676411"
6871,"vial",30,"mL","vial","Y","N","morphine sulfate 30 mg per 30 mL","morphine sulfate 30 mg per 30 mL","00636908"
6872,"vial",30,"mL","30 mL vial","N","Y","meperidine hydrochloride 10 mg per mL","meperidine hydrochloride 10 mg per mL","00640409"
7136,"vial",30,"mL","vial","Y","N","morphine sulfate 150 mg per 30 mL","morphine sulfate 150 mg per 30 mL","00649619"
7357,"ampoule",5,"mL","ampoule","Y","N","metoprolol tartrate 5 mg per 5 mL","metoprolol tartrate 5 mg per 5 mL","00590819"
7421,"vial",1,"ml","vial","Y","N","morphine sulfate 50 mg per 1 mL","morphine sulfate 50 mg per 1 mL","00617288"
7421,"vial",5,"mL","vial","Y","N","morphine sulfate 250 mg per 5 mL","morphine sulfate 250 mg per 5 mL","00617288"
7421,"vial",10,"mL","vial","Y","N","morphine sulfate 500 mg per 10 mL","morphine sulfate 500 mg per 10 mL","00617288"
7421,"vial",50,"mL","50 mL vial","N","Y","morphine sulfate 50 mg per mL","morphine sulfate 50 mg per mL","00617288"
7425,"bag",100,"mL","bag","Y","N","metronidazole 500 mg per 100 mL","metronidazole 500 mg per 100 mL","00649074"
8118,"vial",1,"mL","vial","Y","N","hydroxyzine hydrochloride 50 mg per 1 mL","hydroxyzine hydrochloride 50 mg per 1 mL","00742813"
8120,"ampoule",1,"mL","ampoule","Y","N","meperidine hydrochloride 75 mg per 1 mL","meperidine hydrochloride 75 mg per 1 mL","00725757"
8121,"ampoule",1,"mL","ampoule","Y","N","meperidine hydrochloride 50 mg per 1 mL","meperidine hydrochloride 50 mg per 1 mL","00725765"
8352,"syringe",10,"mL","syringe","Y","N","epinephrine 1 mg per 10 mL","epinephrine 1 mg per 10 mL","00710814"
8487,"ampoule",1,"mL","ampoule","Y","N","meperidine hydrochloride 100 mg per 1 mL","meperidine hydrochloride 100 mg per 1 mL","00725749"
