tm_code,tm_formal_name,changes
"8000841","cyproterone","ADDED"
"8001133","defibrotide","ADDED"
"8001138","durvalumab","ADDED"
"8001062","aclidinium bromide","DELETED"
"8000843","acetaminophen and phenylephrine","ADDED"
"8001030","framycetin","ADDED"
"8000922","brompheniramine and phenylephrine","ADDED"
"8001087","rosiglitazone","ADDED"
"8000852","sodium citrate","ADDED"
"8001068","ampicillin","tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20170804"" -> ""19841231"""
"8001077","cromolyn","ADDED"
"8001054","orciprenaline sulfate","DELETED"
"8001112","eletriptan","ADDED"
"8001113","irinotecan","ADDED"
"8001140","letermovir","ADDED"
"8000827","tobramycin","ADDED"
"8001085","olodaterol and tiotropium","ADDED"
"8000870","acetylsalicylic acid and caffeine","ADDED"
"8000933","latanoprost and timolol","ADDED"
"8000891","naloxone","ADDED"
"8001139","olaratumab","ADDED"
"8001056","cefadroxil (cefadroxil monohydrate)","DELETED"
"8000944","eprosartan (eprosartan mesylate) and hydrochlorothiazide","DELETED"
"8001003","acyclovir and hydrocortisone","ADDED"
"8000811","docusate and sennosides","ADDED"
"8001108","ibutilide","ADDED"
"8001102","letrozole","ADDED"
"8001006","alogliptin (alogliptin benzoate) and metformin","DELETED"
"8001074","azilsartan","ADDED"
"8000837","acetaminophen and caffeine","ADDED"
"8001137","insulin degludec","ADDED"
"8001082","glycopyrronium","ADDED"
"8000828","acetaminophen and codeine and doxylamine","ADDED"
"8000809","chlorhexidine","ADDED"
"8001121","zolpidem","ADDED"
"8001088","terbutaline","ADDED"
"8000926","brompheniramine and codeine and guaifenesin and phenylephrine","ADDED"
"8001122","vandetanib","ADDED"
"8001114","darifenacin","ADDED"
"8000947","levofloxacin","ADDED"
"8001016","canagliflozin and metformin","ADDED"
"8001101","anastrozole","ADDED"
"8000806","acetylsalicylic acid and caffeine and codeine","ADDED"
"8001123","fesoterodine","ADDED"
"8001132","nusinersen","ADDED"
"8001011","aclidinium bromide and formoterol","DELETED"
"8001073","alogliptin and metformin","ADDED"
"8001057","cefadroxil","tm_status_effective_time: ""19990831"" -> ""19990602"""
"8001050","cromolyn sodium","DELETED"
"8001115","trospium","ADDED"
"8001143","methotrimeprazine","ADDED"
"8001095","triazolam","ADDED"
"8001141","avelumab","ADDED"
"8000899","dorzolamide","ADDED"
"8001059","cefuroxime (cefuroxime sodium)","DELETED"
"8000998","azilsartan medoxomil (azilsartan medoxomil potassium) and chlorthalidone","DELETED"
"8001035","acetaminophen and guaifenesin and phenylephrine","ADDED"
"8001080","eprosartan and hydrochlorothiazide","ADDED"
"8001036","conjugated estrogens and medroxyprogesterone","ADDED"
"8001086","orciprenaline","ADDED"
"8001055","cefuroxime (cefuroxime axetil)","DELETED"
"8000907","amoxicillin and clarithromycin and lansoprazole","ADDED"
"8001129","ozenoxacin","ADDED"
"8001100","brinzolamide","ADDED"
"8001134","haptens","ADDED"
"8000969","estradiol and levonorgestrel","ADDED"
"8000925","brompheniramine and codeine and phenylephrine","ADDED"
"8000829","benzoyl peroxide","ADDED"
"8001094","theophylline","ADDED"
"8001126","canagliflozin","ADDED"
"8001093","nabilone","ADDED"
"8000821","guaifenesin","ADDED"
"8001106","ondansetron","ADDED"
"8001098","asparaginase","ADDED"
"8001046","ephedrine sulfate","DELETED"
"8001083","glycopyrronium and indacaterol","ADDED"
"8001058","rosiglitazone (rosiglitazone maleate)","DELETED"
"8000956","acetaminophen and doxylamine and phenylephrine","ADDED"
"8001116","granisetron","ADDED"
"8000941","amphetamine and dextroamphetamine","ADDED"
"8001127","brimonidine and brinzolamide","ADDED"
"8001081","fluticasone and vilanterol","ADDED"
"8001125","linaclotide","ADDED"
"8001072","alogliptin","ADDED"
"8001096","tamoxifen","ADDED"
"8001135","ocrelizumab","ADDED"
"8001064","umeclidinium (umeclidinium bromide) and vilanterol (vilanterol trifenatate)","DELETED"
"8000814","metronidazole and nystatin","ADDED"
"8001145","methyldopa","ADDED"
"8001092","nitrazepam","ADDED"
"8001005","fluticasone and vilanterol (vilanterol trifenatate)","DELETED"
"8000970","drospirenone and estradiol","ADDED"
"8001099","brinzolamide and timolol","ADDED"
"8001128","thiotepa","ADDED"
"8000796","benzalkonium","ADDED"
"8000848","dexamethasone (base) and tobramycin","ADDED"
"8001075","azilsartan and chlorthalidone","ADDED"
"8000919","trimethoprim","ADDED"
"8001146","sulfamethoxazole","ADDED"
"8001105","zolmitriptan","ADDED"
"8001109","exemestane","ADDED"
"8001070","aclidinium","ADDED"
"8000846","betamethasone dipropionate and clotrimazole","ADDED"
"8001084","indacaterol","ADDED"
"8001131","cysteamine","ADDED"
"8001090","umeclidinium and vilanterol","ADDED"
"8001107","midazolam","ADDED"
"8000908","fusidic acid and hydrocortisone","ADDED"
"8000946","alcohol anhydrous and benzalkonium","ADDED"
"8001010","olodaterol (olodaterol hydrochloride) and tiotropium","DELETED"
"8001091","chlorambucil","ADDED"
"8001071","aclidinium and formoterol","ADDED"
"8000799","phenobarbital","ADDED"
"8001124","mirabegron","ADDED"
"8001144","apomorphine","ADDED"
"8000817","alcohol anhydrous","ADDED"
"8000917","estradiol and norethindrone","ADDED"
"8000955","timolol and travoprost","ADDED"
"8000897","benzoyl peroxide and erythromycin","ADDED"
"8001051","terbutaline sulfate","DELETED"
