"tm_code","tm_formal_name","tm_status","tm_status_effective_time"
"8000782","meperidine","Active","19441231"
"8000001","levothyroxine","Active","19511230"
"8000795","acetylsalicylic acid","Active","19511231"
"8000796","benzalkonium","Active","19511231"
"8000003","epinephrine","Active","19511231"
"8000004","phenytoin sodium","Active","19511231"
"8000005","phenytoin (base)","Active","19521231"
"8000006","testosterone","Active","19531231"
"8000008","hydrocortisone","Active","19541231"
"8000009","hydroxyzine","Active","19561231"
"8000010","methylphenidate","Active","19561231"
"8001091","chlorambucil","Active","19571231"
"8000778","hydrocodone and phenyltoloxamine","Active","19571231"
"8000012","hydroxychloroquine","Active","19571231"
"8000799","phenobarbital","Active","19571231"
"8000013","warfarin","Active","19571231"
"8000800","bisacodyl","Active","19581231"
"8001143","methotrimeprazine","Active","19581231"
"8000788","belladonna and ergotamine and phenobarbital","Active","19590101"
"8000014","prednisone","Active","19591231"
"8000015","spironolactone","Active","19591231"
"8000802","hydrochlorothiazide and spironolactone","Active","19601231"
"8000018","medroxyprogesterone","Active","19601231"
"8000020","norethindrone","Active","19611231"
"8000021","conjugated estrogens","Active","19631231"
"8000023","acetaminophen and caffeine and codeine","Active","19641231"
"8000024","amitriptyline","Active","19651231"
"8000794","betamethasone acetate and betamethasone (base)","Active","19651231"
"8000026","nortriptyline","Active","19651231"
"8000027","azathioprine","Active","19661231"
"8000028","dexamethasone (base)","Active","19661231"
"8001078","ephedrine","Active","19661231"
"8000029","quinine sulfate","Active","19661231"
"8000030","triamcinolone acetonide","Active","19661231"
"8000804","ethacrynic acid","Active","19681231"
"8000031","hydrochlorothiazide","Active","19681231"
"8000032","carbamazepine","Active","19691231"
"8000806","acetylsalicylic acid and caffeine and codeine","Active","19701231"
"8000036","clindamycin","Active","19701231"
"8000037","erythromycin","Active","19701231"
"8000038","metronidazole","Active","19701231"
"8000786","pentazocine","Active","19701231"
"8000040","cephalexin","Active","19711231"
"8000041","lithium carbonate","Active","19711231"
"8000809","chlorhexidine","Active","19721231"
"8000043","ibuprofen","Active","19721231"
"8000044","nitroglycerin","Active","19721231"
"8000045","oxycodone","Active","19731231"
"8000046","allopurinol","Active","19741231"
"8001098","asparaginase","Active","19741231"
"8001047","chlorpropamide","Active","19741231"
"8000047","colchicine","Active","19741231"
"8000048","diazepam","Active","19741231"
"8000049","ethinyl estradiol and norethindrone","Active","19741231"
"8000050","nitrofurantoin","Active","19741231"
"8000051","prednisolone","Active","19741231"
"8000791","betamethasone dipropionate","Active","19751231"
"8000054","carbidopa and levodopa","Active","19751231"
"8000811","docusate and sennosides","Active","19751231"
"8000055","folic acid","Active","19751231"
"8001048","tolbutamide","Active","19751231"
"8000813","chlorthalidone","Active","19761231"
"8000057","furosemide","Active","19761231"
"8001145","methyldopa","Active","19761231"
"8000814","metronidazole and nystatin","Active","19761231"
"8000059","acetaminophen and oxycodone","Active","19771231"
"8000061","clonazepam","Active","19771231"
"8000063","metoprolol","Active","19771231"
"8000064","penicillin v","Active","19771231"
"8000065","acetaminophen and codeine","Active","19781231"
"8000817","alcohol anhydrous","Active","19781231"
"8000066","baclofen","Active","19781231"
"8000067","benztropine","Active","19781231"
"8000069","codeine","Active","19781231"
"8000071","morphine","Active","19781231"
"8000819","pindolol","Active","19781231"
"8000072","valproic acid (valproate)","Active","19781231"
"8000073","amoxicillin","Active","19791231"
"8000792","betamethasone valerate","Active","19791231"
"8000075","calcitriol","Active","19791231"
"8000821","guaifenesin","Active","19791231"
"8000078","nystatin","Active","19791231"
"8000079","oxazepam","Active","19791231"
"8000823","phenylephrine","Active","19791231"
"8000080","sulfamethoxazole and trimethoprim","Active","19791231"
"8001094","theophylline","Active","19791231"
