"ntp_dosage_form_code","ntp_dosage_form","pharmaceutical_form","route_of_administration","pharm_form_code","route_of_administration_code","validated","date_validated","validated_by"
40006,"kit","KIT, POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR","32-118","22",TRUE,2018-03-28,"dbuijs"
40006,"kit","KIT, SOLUTION","DENTAL","32-134","5",TRUE,2018-03-28,"dbuijs"
40029,"nasal spray","SOLUTION, SPRAY","NASAL","134-98","53",TRUE,2018-03-28,"dbuijs"
40063,"oral drops","DROPS, LIQUID","ORAL","12-34","56",TRUE,2018-03-28,"dbuijs"
40145,"oral drops, suspension","DROPS, SUSPENSION","ORAL","12-79","56",TRUE,2018-03-28,"dbuijs"
40006,"kit","KIT, TABLET","ORAL","32-85","56",TRUE,2018-03-28,"dbuijs"
40006,"kit","CAPSULE, CAPSULE (DELAYED RELEASE), KIT, TABLET","ORAL","5-137-32-85","56",TRUE,2018-03-28,"dbuijs"
40001,"solution for injection","KIT, SOLUTION","SUBCUTANEOUS","32-134","65",TRUE,2018-03-28,"dbuijs"
40112,"cutaneous gel","GEL, KIT","TOPICAL","114-32","70",TRUE,2018-03-28,"dbuijs"
40006,"kit","GEL, KIT, LOTION","TOPICAL","114-32-36","70",TRUE,2018-03-28,"dbuijs"
40006,"kit","GEL, KIT, PASTE","TOPICAL","114-32-52","70",TRUE,2018-03-28,"dbuijs"
40112,"cutaneous gel","GEL, LOTION","TOPICAL","114-36","70",TRUE,2018-03-28,"dbuijs"
40006,"kit","KIT, LOTION","TOPICAL","32-36","70",TRUE,2018-03-28,"dbuijs"
40006,"kit","CREAM, GEL, KIT, LOTION","TOPICAL","9-114-32-36","70",TRUE,2018-03-28,"dbuijs"
