ntp_code,ntp_formal_name,changes,QA Suggested Fixes ,
9002401,acetaminophen 160 mg per 5 mL oral liquid,"ntp_status_effective_time: ""19921231"" -> ""19970131""",,OK
9001583,acetaminophen 325 mg oral tablet,"ntp_status_effective_time: ""NA"" -> ""19611231""",,
9006327,acetaminophen 80 mg per 1 mL NA,DELETED,,
,"acetaminophen 80 mg per 1 mL oral drops, suspension",ADDED,Assign 9006327, use 9006327
9006324,acetaminophen 80 mg per mL NA,DELETED,,
9003281,amoxicillin 500 mg and clarithromycin 500 mg and lansoprazole 30 mg kit,ADDED,,
9006364,amoxicillin 500 mg and clarithromycin 500 mg and lansoprazole 30 mg NA,DELETED,,
9002005,ampicillin 250 mg oral capsule,"ntp_status: ""INACTIVE"" -> ""ACTIVE""
ntp_status_effective_time: ""20170804"" -> ""19711231""",,OK
9002007,ampicillin 500 mg oral capsule,"ntp_status: ""INACTIVE"" -> ""ACTIVE""
ntp_status_effective_time: ""20170804"" -> ""19711231""",,OK
9004980,apixaban 2.5 mg oral tablet,ADDED,,
9005143,apixaban 5 mg oral tablet,ADDED,,
9012463,apomorphine 10 mg per mL solution for injection,DELETED,,
,apomorphine 30 mg per 3 mL solution for injection pen,ADDED,Assign 9012463,
9012442,avelumab 20 mg per mL solution for injection,DELETED,,
,avelumab 200 mg per 10 mL solution for injection vial,ADDED,Assign 9012442,
9001295,azithromycin (azithromycin hydrogen citrate) 500 mg per vial powder for solution for injection,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20091014"" -> ""20171117""",,
9004297,benzalkonium chloride 0.15 % cutaneous gel,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""20070507"" -> ""20180307""",,
9005302,benzoyl peroxide 2.5 % and benzoyl peroxide 2.5 % cutaneous gel,ADDED,,
9005303,benzoyl peroxide 2.5 % and benzoyl peroxide 2.5 % kit,ADDED,,
9006407,benzoyl peroxide 2.5 % and benzoyl peroxide 2.5 % NA,DELETED,,
