ntp_code,ntp_formal_name,changes
,irinotecan hydrochloride (irinotecan hydrochloride) 100 mg per 5 mL solution for injection vial,ADDED
9000894,ranitidine (ranitidine hydrochloride) 50 mg per 2 mL solution for injection vial,ADDED
9012426,ocrelizumab 30 mg per mL solution for injection,DELETED
,granisetron (granisetron hydrochloride) 4 mg per 4 mL solution for injection vial,ADDED
9000348,conjugated estrogens 0.3 mg oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19901231"" -> ""20170930"""
,netupitant 300 mg and palonosetron (palonosetron hydrochloride) 0.5 mg oral capsule,ADDED
9006331,chlorhexidine acetate 10 % NA,DELETED
,guselkumab 100 mg per 1 mL solution for injection syringe,ADDED
9004980,apixaban 2.5 mg oral tablet,ADDED
,methotrexate (methotrexate sodium) 20 mg per 2 mL solution for injection,ADDED
,chlorhexidine gluconate 4 % cutaneous spray,ADDED
,dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 50 mL solution for injection vial,ADDED
9002534,chlorhexidine acetate 10 % kit,ADDED
9006075,levofloxacin 240 mg per 2.4 mL inhalation solution,DELETED
,"acetaminophen 80 mg per 1 mL oral drops, suspension",ADDED
9001033,calcitriol 1 mcg per 1 mL solution for injection ampoule,"ntp_status_effective_time: ""20030707"" -> ""20150327"""
,granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection vial,ADDED
,buprenorphine (buprenorphine hydrochloride) 12 mg and naloxone (naloxone hydrochloride) 3 mg sublingual tablet,ADDED
9009396,ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet,"ntp_type: ""comb"" -> ""Comb"""
9006198,penicillin v potassium 300 mg per 5 mL powder for oral solution,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19771231"" -> ""20180124"""
9002272,cyproterone acetate 100 mg per mL solution for injection,DELETED
,vilazodone hydrochloride 20 mg oral tablet,ADDED
9004877,irinotecan hydrochloride (irinotecan hydrochloride trihydrate) 20 mg per mL solution for injection,DELETED
,ciprofloxacin (ciprofloxacin lactate) 400 mg per 200 mL solution for injection bag,ADDED
9003281,amoxicillin 500 mg and clarithromycin 500 mg and lansoprazole 30 mg kit,ADDED
9005907,mepolizumab 144 mg per vial powder for solution for injection,DELETED
,metformin hydrochloride 1000 mg and rosiglitazone (rosiglitazone maleate) 4 mg oral tablet,ADDED
9006643,palonosetron (palonosetron hydrochloride) 0.25 mg per 5 mL solution for injection,ADDED
,ocrelizumab 300 mg per 10 mL solution for injection vial,ADDED
,desvenlafaxine 50 mg prolonged-release oral tablet,ADDED
9005390,sofosbuvir 400 mg oral tablet,ADDED
9003241,ondansetron (ondansetron hydrochloride dihydrate) 4 mg oral tablet,DELETED
9000272,epinephrine 1 mg per 10 mL solution for injection syringe,DELETED
9006324,acetaminophen 80 mg per mL NA,DELETED
,durvalumab 120 mg per 2.4 mL solution for injection vial,ADDED
9010882,nitroglycerin 500 mg per 10 mL solution for injection vial,DELETED
9006327,acetaminophen 80 mg per 1 mL NA,DELETED
9001583,acetaminophen 325 mg oral tablet,"ntp_status_effective_time: ""NA"" -> ""19611231"""
9012434,durvalumab 50 mg per mL solution for injection,DELETED
9005078,palonosetron (palonosetron hydrochloride) 0.5 mg oral capsule,ADDED
9000030,conjugated estrogens 0.625 mg oral tablet,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19631231"" -> ""20170930"""
,insulin degludec 200 unit per mL solution for injection 3 mL pen,ADDED
,vernakalant hydrochloride 500 mg per 25 mL solution for injection vial,ADDED
9012416,lixisenatide 0.05 mg per mL and lixisenatide 0.1 mg per mL NA,DELETED
,ciprofloxacin 200 mg per 20 mL solution for injection vial,ADDED
9000984,testosterone 1 % cutaneous gel 5 g sachet,DELETED
,lixisenatide 0.05 mg per mL and lixisenatide 0.1 mg per mL solution for injection,ADDED
,testosterone 1 % transdermal gel 5 g tube,ADDED
,nusinersen (nusinersen sodium) 12 mg per 5 mL solution for injection vial,ADDED
,insulin degludec 100 unit per mL solution for injection 3 mL pen,ADDED
,roflumilast 500 mcg oral tablet,ADDED
,cyproterone acetate 300 mg per 3 mL solution for injection ampoule,ADDED
9001196,pantoprazole (pantoprazole sodium) 40 mg per vial powder for solution for injection,"ntp_status_effective_time: ""20070403"" -> ""19990406"""
9006436,benzoyl peroxide 3.5 % and benzoyl peroxide 2.5 % NA,DELETED
9012415,defibrotide 80 mg per mL solution for injection,DELETED
,letermovir 240 mg per 12 mL solution for injection vial,ADDED
9010880,nitroglycerin 100 mg per 10 mL solution for injection vial,DELETED
9009381,ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet,"ntp_type: ""comb"" -> ""Comb"""
9006017,sofosbuvir 400 mg and velpatasvir 100 mg oral tablet,ADDED
9006435,benzoyl peroxide 2.5 % and benzoyl peroxide 5 % NA,DELETED
9009386,ethinyl estradiol 30 mcg and levonorgestrel 50 mcg oral tablet with ethinyl estradiol 40 mcg and levonorgestrel 750 mcg oral tablet with ethinyl estradiol 30 mcg and levonorgestrel 125 mcg oral tablet,"ntp_type: ""comb"" -> ""Comb"""
,testosterone 1 % transdermal gel 5 g sachet,ADDED
9012160,tolvaptan 15 mg oral tablet with tolvaptan 45 mg oral tablet,"ntp_type: ""comb"" -> ""Comb"""
,mepolizumab 100 mg per vial powder for solution for injection,ADDED
9001401,testosterone 2 % cutaneous solution,DELETED
9003532,conjugated estrogens 0.625 mg and medroxyprogesterone acetate 2.5 mg kit,ADDED
9012446,olaratumab 500 mg per 50 mL solution for injection,DELETED
,ondansetron (ondansetron hydrochloride) 8 mg per 4 mL solution for injection ampoule,ADDED
9006367,conjugated estrogens 0.625 mg and medroxyprogesterone acetate 2.5 mg NA,DELETED
9006357,cromolyn sodium 2 % NA,DELETED
,lifitegrast 5 % ophthalmic drops,ADDED
9000517,digoxin 0.5 mg per 2 mL solution for injection ampoule,ADDED
,phenylephrine hydrochloride 0.12 % ophthalmic drops,ADDED
,granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection ampoule,ADDED
9002047,docusate sodium 100 mg oral capsule,"ntp_status_effective_time: ""NA"" -> ""19851231"""
,methotrexate (methotrexate sodium) 25 mg per 2.5 mL solution for injection,ADDED
9012414,nusinersen (nusinersen sodium) 2.4 mg per mL solution for injection,DELETED
,sofosbuvir 400 mg and velpatasvir 100 mg and voxilaprevir 100 mg oral tablet,ADDED
,methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per 1 mL solution for injection ampoule,ADDED
,testosterone 2 % NA,ADDED
9012372,dexamethasone phosphate (dexamethasone sodium phosphate) 0.1 % ophthalmic/otic drops,"ntp_status: ""ACTIVE"" -> ""INACTIVE""
ntp_status_effective_time: ""19891231"" -> ""20170803"""
9006481,clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet,"ntp_type: ""comb"" -> ""Comb"""
9001216,varenicline (varenicline tartrate) 0.5 mg oral tablet with varenicline (varenicline tartrate) 1 mg oral tablet,"ntp_type: ""comb"" -> ""Comb"""
