mp_code,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time,mp_type,Health_Canada_identifier,Health_Canada_product_name,
2245689,LANTUS (insulin glargine 100 unit per mL solution for injection 10 mL vial) SANOFI-AVENTIS CANADA INC,NA,NA,ACTIVE,20020724,DIN,2245689,LANTUS,
2251930,LANTUS (insulin glargine 100 unit per mL solution for injection 3 mL cartridge) SANOFI-AVENTIS CANADA INC,NA,NA,ACTIVE,20060504,DIN,2251930,LANTUS,
2444844,BASAGLAR (insulin glargine 100 unit per mL solution for injection 3 mL cartridge) ELI LILLY CANADA INC,NA,NA,ACTIVE,20151218,DIN,2444844,BASAGLAR,
2294338,LANTUS (insulin glargine 100 unit per mL solution for injection 3 mL pen) SANOFI-AVENTIS CANADA INC,NA,NA,ACTIVE,20070924,DIN,2294338,LANTUS,
2444852,BASAGLAR KWIKPEN - 60 UNITS PER INJECTION DELIVERY (insulin glargine 100 unit per mL solution for injection 3 mL pen) ELI LILLY CANADA INC,NA,NA,ACTIVE,20151218,DIN,2444852,BASAGLAR,
700094,AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) TEVA CANADA LIMITED,NA,NA,INACTIVE,20180223,CCDD,2246953,AMIODARONE FOR INJECTION 50MG/ML,
700080,AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20000614,CCDD,2242325,AMIODARONE HYDROCHLORIDE FOR INJECTION,
2374684,AMIODARONE SYRINGE (amiodarone hydrochloride 150 mg per 3 mL solution for injection syringe) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20150812,DIN,2374684,AMIODARONE SYRINGE,
700081,AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 450 mg per 9 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20000614,CCDD,2242325,AMIODARONE HYDROCHLORIDE FOR INJECTION,
700095,AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) TEVA CANADA LIMITED,NA,NA,INACTIVE,20180223,CCDD,2246953,AMIODARONE FOR INJECTION 50MG/ML,
700082,AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) SANDOZ CANADA INCORPORATED,NA,NA,ACTIVE,20000614,CCDD,2242325,AMIODARONE HYDROCHLORIDE FOR INJECTION,
