dpd_drug_code,din,dpd_named_ingredient_name,combination_product_defined
"1195","00004715","MELPHALAN","f"
"425","00030732","LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE)","f"
"1172","00035076","PROXYMETACAINE HYDROCHLORIDE","f"
"1738","00039500","MAGNESIUM CHLORIDE (MAGNESIUM CHLORIDE HEXAHYDRATE)","f"
"672","00075019","SMALLPOX VACCINE DRIED","f"
"186","00116785","CETALKONIUM CHLORIDE","f"
"1812","00282081","THIOGUANINE","f"
"2226","00346314","HALOTHANE","f"
"2744","00393711","CORBADRINE","f"
"5276","00557110","DEHYDROCHOLIC ACID","f"
"5276","00557110","BILE SALTS","f"
"7287","00623385","DIBUCAINE","f"
"8229","00756784","FLUOROMETHOLONE ACETATE","f"
"13591","00893560","LODOXAMIDE (LODOXAMIDE TROMETHAMINE)","f"
"11805","00893722","CLOMIPHENE CITRATE","f"
"14017","01997572","DANTROLENE SODIUM","f"
"14019","01997602","DANTROLENE SODIUM","f"
"19685","02019876","PORFIMER SODIUM","f"
"16629","02023652","PROXYMETACAINE HYDROCHLORIDE","f"
"16652","02026473","HYDROXYETHYLCELLULOSE","f"
"16168","02070847","ACITRETIN","f"
"16167","02070863","ACITRETIN","f"
"44161","02170698","METHOTREXATE (METHOTREXATE DISODIUM)","f"
"44273","02183080","PENTAMIDINE ISETIONATE","f"
"49155","02230359","MEXILETINE HYDROCHLORIDE","f"
"49157","02230360","MEXILETINE HYDROCHLORIDE","f"
"60205","02236913","NADROPARIN CALCIUM","f"
"63628","02240114","NADROPARIN CALCIUM","f"
"63899","02240357","ABACAVIR (ABACAVIR SULFATE)","f"
"63900","02240358","ABACAVIR (ABACAVIR SULFATE)","f"
"65081","02241445","DACARBAZINE","f"
"66191","02242466","VALRUBICIN","f"
"67776","02243835","ARGATROBAN","f"
"68746","02244757","ABACAVIR (ABACAVIR SULFATE)","f"
"70715","02246533","BIVALIRUDIN","f"
"75473","02269341","ABACAVIR (ABACAVIR SULFATE)","f"
"76398","02278383","HISTRELIN ACETATE","f"
"76704","02281414","CORBADRINE","f"
"79459","02308983","NEPAFENAC","f"
"80107","02315548","CAPSAICIN","f"
"81147","02326132","APROTININ (SYNTHETIC)","f"
"81147","02326132","SEALER PROTEIN (HUMAN)","f"
"81150","02326167","APROTININ (SYNTHETIC)","f"
"81150","02326167","SEALER PROTEIN (HUMAN)","f"
"81151","02326175","SEALER PROTEIN (HUMAN)","f"
"81151","02326175","APROTININ (SYNTHETIC)","f"
"82488","02339277","THROMBIN ALFA","f"
"86740","02381559","Ofatumumab","f"
"86741","02381567","Ofatumumab","f"
"88178","02396769","ABACAVIR (ABACAVIR SULFATE)","f"
"88208","02397137","COBICISTAT","f"
"88441","02399539","ABACAVIR (ABACAVIR SULFATE)","f"
"89449","02409836","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL","f"
"89601","02411393","NEPAFENAC","f"
"90012","02415534","Difluprednate","f"
"90068","02416255","ABACAVIR (ABACAVIR SULFATE)","f"
"90124","02416662","ABACAVIR (ABACAVIR SULFATE)","f"
"90757","02422913","Recombinant human coagulation factor IX, FC Fusion protein","f"
"90758","02422921","Recombinant human coagulation factor IX, FC Fusion protein","f"
"90759","02422948","Recombinant human coagulation factor IX, FC Fusion protein","f"
"90760","02422956","Recombinant human coagulation factor IX, FC Fusion protein","f"
"90931","02424630","IBUPROFEN (IBUPROFEN, Ibuprofen potassium)","f"
"91108","02426501","COBICISTAT","f"
"91536","02430932","ABACAVIR (ABACAVIR SULFATE)","f"
"91729","02432889","AZELASTINE HYDROCHLORIDE","f"
"92306","02438674","PEMETREXED (Pemetrexed disodium hemipentahydrate)","f"
"92307","02438682","PEMETREXED (Pemetrexed disodium hemipentahydrate)","f"
"92922","02444267","POLIDOCANOL","f"
"93100","02445727","TEDUGLUTIDE","f"
"93220","02446731","COBICISTAT","f"
"93249","02446928","SACUBITRIL (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","f"
"93249","02446928","VALSARTAN (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","f"
"93250","02446936","VALSARTAN (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","f"
"93250","02446936","SACUBITRIL (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","f"
