ntp_code,ntp_formal_name,ntp_status,ntp_type,ntp_status_effective_time,tm_is_publishable
NA,"acetaminophen 80 mg per 1 mL oral drops, suspension","ACTIVE",NA,"19921231","f"
NA,"apomorphine 30 mg per 3 mL solution for injection pen","ACTIVE",NA,"20170907","f"
NA,"avelumab 200 mg per 10 mL solution for injection vial","ACTIVE",NA,"20171218","f"
NA,"benzoyl peroxide 3.5 % and benzoyl peroxide 2.5 % kit","ACTIVE",NA,"20170130","f"
NA,"buprenorphine (buprenorphine hydrochloride) 12 mg and naloxone (naloxone hydrochloride) 3 mg sublingual tablet","ACTIVE",NA,"20180214","t"
NA,"buprenorphine (buprenorphine hydrochloride) 16 mg and naloxone (naloxone hydrochloride) 4 mg sublingual tablet","ACTIVE",NA,"20180214","t"
NA,"chlorhexidine gluconate 4 % cutaneous spray","INACTIVE",NA,"20170622","f"
NA,"ciprofloxacin 200 mg per 100 mL solution for injection bag","ACTIVE",NA,"20080327","f"
NA,"ciprofloxacin 200 mg per 20 mL solution for injection vial","INACTIVE",NA,"20170803","f"
NA,"ciprofloxacin 400 mg per 200 mL solution for injection bag","ACTIVE",NA,"20080327","f"
NA,"ciprofloxacin 400 mg per 40 mL solution for injection vial","INACTIVE",NA,"20170803","f"
NA,"ciprofloxacin (ciprofloxacin lactate) 200 mg per 100 mL solution for injection bag","INACTIVE",NA,"20170804","f"
NA,"ciprofloxacin (ciprofloxacin lactate) 400 mg per 200 mL solution for injection bag","INACTIVE",NA,"20170804","f"
NA,"cyproterone acetate 300 mg per 3 mL solution for injection ampoule","ACTIVE",NA,"19901231","f"
NA,"defibrotide 200 mg per 2.5 mL solution for injection vial","ACTIVE",NA,"20170906","f"
NA,"desvenlafaxine 100 mg prolonged-release oral tablet","ACTIVE",NA,"20171020","t"
NA,"desvenlafaxine 50 mg prolonged-release oral tablet","ACTIVE",NA,"20171020","t"
NA,"dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 2 mL solution for injection vial","ACTIVE",NA,"20100224","f"
NA,"dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 50 mL solution for injection vial","ACTIVE",NA,"20160509","f"
NA,"dexmedetomidine (dexmedetomidine hydrochloride) 400 mcg per 100 mL solution for injection vial","ACTIVE",NA,"20160509","f"
