din,mp_formal_name,drug_code,unit_of_presentation,uop_size_amount,uop_size_unit
"02148706","NALOXONE HCL INJECTION - 0.4MG/ML USP (naloxone hydrochloride 4 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED","18025","vial","10","mL"
"02148706","NALOXONE HCL INJECTION - 0.4MG/ML USP (naloxone hydrochloride 0.4 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","18025","ampoule","1","mL"
"02213745","ZOFRAN (ondansetron (ondansetron hydrochloride dihydrate) 2 mg per mL solution for injection 20 mL vial) NOVARTIS PHARMACEUTICALS CANADA INC","43137","vial","20","mL"
"02213745","ZOFRAN (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC","43137","ampoule","2","mL"
"02213745","ZOFRAN (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC","43137","ampoule","4","mL"
"02256789","CIPROFLOXACIN INJECTION USP (ciprofloxacin 200 mg per 20 mL solution for injection vial) SANDOZ CANADA INCORPORATED","74200","vial","20","mL"
"02256789","CIPROFLOXACIN INJECTION USP (ciprofloxacin 400 mg per 40 mL solution for injection vial) SANDOZ CANADA INCORPORATED","74200","vial","40","mL"
"02265524","ONDANSETRON INJECTION PRESERVATIVE-FREE (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection vial) TEVA CANADA LIMITED","75098","vial","4","mL"
"02265524","ONDANSETRON INJECTION PRESERVATIVE-FREE (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection vial) TEVA CANADA LIMITED","75098","vial","2","mL"
"02267462","CIPROFLOXACIN INTRAVENOUS INFUSION (ciprofloxacin 200 mg per 100 mL solution for injection bag) TEVA CANADA LIMITED","75287","bag","100","mL"
"02267462","CIPROFLOXACIN INTRAVENOUS INFUSION (ciprofloxacin 400 mg per 200 mL solution for injection bag) TEVA CANADA LIMITED","75287","bag","200","mL"
"02271761","ONDANSETRON OMEGA   -(PRESERVATIVE FREE - SINGLE DOSE VIALS) (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection vial) OMEGA LABORATORIES LTD","75730","vial","2","mL"
"02271761","ONDANSETRON OMEGA   -(PRESERVATIVE FREE - SINGLE DOSE VIALS) (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection vial) OMEGA LABORATORIES LTD","75730","vial","4","mL"
"02274418","ONDANSETRON HYDROCHLORIDE DIHYDRATE INJECTION (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED","75986","vial","2","mL"
"02274418","ONDANSETRON HYDROCHLORIDE DIHYDRATE INJECTION (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED","75986","vial","4","mL"
"02274426","ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE) (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION","75987","vial","2","mL"
"02274426","ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE) (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION","75987","vial","4","mL"
"02279428","ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE) (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED","76501","vial","2","mL"
"02279428","ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE) (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED","76501","vial","4","mL"
"02301296","CIPROFLOXACIN INJECTION (ciprofloxacin (ciprofloxacin lactate) 400 mg per 200 mL solution for injection bag) CLARIS PHARMASERVICES","78663","bag","200","mL"
"02301296","CIPROFLOXACIN INJECTION (ciprofloxacin (ciprofloxacin lactate) 200 mg per 100 mL solution for injection bag) CLARIS PHARMASERVICES","78663","bag","100","mL"
"02301903","CIPROFLOXACIN INJECTION USP (ciprofloxacin 400 mg per 200 mL solution for injection bag) PFIZER CANADA INC","78723","bag","200","mL"
"02301903","CIPROFLOXACIN INJECTION USP (ciprofloxacin 200 mg per 100 mL solution for injection bag) PFIZER CANADA INC","78723","bag","100","mL"
