tm_code,tm_formal_name,tm_status,tm_status_effective_time,tm_is_publishable
NA,"apixaban","ACTIVE","20120201","f"
NA,"dupilumab","ACTIVE","20180206","f"
NA,"lifitegrast","ACTIVE","20180212","f"
NA,"metformin and rosiglitazone","INACTIVE","20170425","f"
NA,"migalastat","ACTIVE","20180115","f"
NA,"netupitant and palonosetron","ACTIVE","20171120","f"
NA,"palonosetron","ACTIVE","20120719","f"
NA,"peramivir","ACTIVE","20180103","f"
NA,"roflumilast","ACTIVE","20101230","f"
NA,"sofosbuvir","ACTIVE","20140106","f"
NA,"sofosbuvir and velpatasvir","ACTIVE","20160802","f"
NA,"sofosbuvir and velpatasvir and voxilaprevir","ACTIVE","20170918","f"
NA,"triamcinolone diacetate","INACTIVE","20170803","f"
NA,"vernakalant","ACTIVE","20180123","f"
NA,"vilazodone","ACTIVE","20180131","f"
