ntp_code,ntp_formal_name,ntp_status,ntp_type,ntp_status_effective_time
"9000001","meperidine hydrochloride 50 mg oral tablet","ACTIVE",NA,"19441231"
"9000002","levothyroxine sodium 50 mcg oral tablet","ACTIVE",NA,"19511230"
"9000004","epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray","ACTIVE",NA,"19511231"
"9001498","acetylsalicylic acid 325 mg gastro-resistant tablet","ACTIVE",NA,"19511231"
"9000007","phenytoin sodium 30 mg oral capsule","ACTIVE",NA,"19511231"
"9000006","phenytoin sodium 100 mg oral capsule","ACTIVE",NA,"19511231"
"9000003","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19511231"
"9000005","epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule","ACTIVE",NA,"19511231"
"9000008","phenytoin 50 mg oral tablet","ACTIVE",NA,"19521231"
"9000009","phenytoin 125 mg per 5 mL oral suspension","ACTIVE",NA,"19531231"
"9000010","testosterone cypionate 1000 mg per 10 mL solution for injection vial","ACTIVE",NA,"19531231"
"9000012","hydrocortisone 20 mg oral tablet","ACTIVE",NA,"19541231"
"9000011","hydrocortisone 10 mg oral tablet","ACTIVE",NA,"19541231"
"9000013","testosterone enanthate 1000 mg per 5 mL solution for injection ampoule","ACTIVE",NA,"19551231"
"9000015","methylphenidate hydrochloride 10 mg oral tablet","ACTIVE",NA,"19561231"
"9000014","hydroxyzine hydrochloride 10 mg per 5 mL syrup","ACTIVE",NA,"19561231"
"9000016","hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet","ACTIVE",NA,"19571231"
"9001558","phenobarbital 30 mg oral tablet","ACTIVE",NA,"19571231"
"9000020","warfarin sodium 1 mg oral tablet","ACTIVE",NA,"19571231"
"9012462","chlorambucil 2 mg oral tablet","ACTIVE",NA,"19571231"
"9001556","phenobarbital 100 mg oral tablet","ACTIVE",NA,"19571231"
"9001559","phenobarbital 60 mg oral tablet","ACTIVE",NA,"19571231"
"9000017","hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension","ACTIVE",NA,"19571231"
"9001557","phenobarbital 15 mg oral tablet","ACTIVE",NA,"19571231"
"9000018","hydroxychloroquine sulfate 200 mg oral tablet","ACTIVE",NA,"19571231"
"9000019","warfarin sodium 10 mg oral tablet","ACTIVE",NA,"19571231"
"9000021","warfarin sodium 5 mg oral tablet","ACTIVE",NA,"19571231"
"9001564","bisacodyl 5 mg gastro-resistant tablet","ACTIVE",NA,"19581231"
"9001563","bisacodyl 10 mg suppository","ACTIVE",NA,"19581231"
"9000023","methylphenidate hydrochloride 20 mg oral tablet","ACTIVE",NA,"19581231"
"9000022","hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection","ACTIVE",NA,"19581231"
NA,"methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19581231"
"9001568","belladonna 0.2 mg and ergotamine tartrate 0.6 mg and phenobarbital 40 mg prolonged-release oral tablet","ACTIVE",NA,"19590101"
"9000025","spironolactone 25 mg oral tablet","ACTIVE",NA,"19591231"
"9000024","prednisone 5 mg oral tablet","ACTIVE",NA,"19591231"
"9000026","medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial","ACTIVE",NA,"19601231"
"9009869","hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet","ACTIVE",NA,"19601231"
"9000027","medroxyprogesterone acetate 5 mg oral tablet","ACTIVE",NA,"19611231"
"9001583","acetaminophen 325 mg oral tablet","ACTIVE",NA,"19611231"
"9000028","norethindrone acetate 5 mg oral tablet","ACTIVE",NA,"19611231"
"9000029","hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection","ACTIVE",NA,"19621231"
"9000031","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet","ACTIVE",NA,"19641231"
"9000032","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet","ACTIVE",NA,"19641231"
"9000035","nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","ACTIVE",NA,"19651231"
"9000034","nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","ACTIVE",NA,"19651231"
"9001616","phenobarbital 5 mg per mL oral solution","ACTIVE",NA,"19651231"
"9001611","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection","ACTIVE",NA,"19651231"
"9000033","amitriptyline hydrochloride 10 mg oral tablet","ACTIVE",NA,"19651231"
"9000036","azathioprine 50 mg oral tablet","ACTIVE",NA,"19661231"
"9000040","quinine sulfate 300 mg oral capsule","ACTIVE",NA,"19661231"
"9000039","quinine sulfate 200 mg oral capsule","ACTIVE",NA,"19661231"
"9000037","dexamethasone 0.1 % ophthalmic ointment","ACTIVE",NA,"19661231"
"9000038","hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection","ACTIVE",NA,"19661231"
"9000041","triamcinolone acetonide 50 mg per 5 mL suspension for injection vial","ACTIVE",NA,"19661231"
"9012368","ephedrine sulfate 50 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19661231"
"9001623","acetylsalicylic acid 650 mg gastro-resistant tablet","ACTIVE",NA,"19671231"
"9000042","hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection","ACTIVE",NA,"19671231"
"9000045","phenytoin 30 mg per 5 mL oral suspension","ACTIVE",NA,"19681231"
"9000044","hydrochlorothiazide 50 mg oral tablet","ACTIVE",NA,"19681231"
"9000043","hydrochlorothiazide 25 mg oral tablet","ACTIVE",NA,"19681231"
"9009370","ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection","ACTIVE",NA,"19681231"
"9000046","amitriptyline hydrochloride 50 mg oral tablet","ACTIVE",NA,"19691231"
"9000047","carbamazepine 200 mg oral tablet","ACTIVE",NA,"19691231"
"9001640","acetylsalicylic acid 325 mg oral tablet","ACTIVE",NA,"19691231"
"9000048","clindamycin (clindamycin hydrochloride) 150 mg oral capsule","ACTIVE",NA,"19701231"
"9000051","pentazocine (pentazocine hydrochloride) 50 mg oral tablet","ACTIVE",NA,"19701231"
"9000050","metronidazole 10 % vaginal cream","ACTIVE",NA,"19701231"
"9001653","acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet","ACTIVE",NA,"19701231"
"9002005","ampicillin 250 mg oral capsule","ACTIVE",NA,"19711231"
"9000054","lithium carbonate 300 mg oral capsule","ACTIVE",NA,"19711231"
"9000055","metronidazole 250 mg oral tablet","ACTIVE",NA,"19711231"
"9002007","ampicillin 500 mg oral capsule","ACTIVE",NA,"19711231"
"9000560","cephalexin 250 mg per 5 mL oral suspension","ACTIVE",NA,"19711231"
"9000559","cephalexin 125 mg per 5 mL oral suspension","ACTIVE",NA,"19711231"
"9000056","amitriptyline hydrochloride 25 mg oral tablet","ACTIVE",NA,"19721231"
"9000059","ibuprofen 200 mg oral tablet","ACTIVE",NA,"19721231"
"9000058","clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution","ACTIVE",NA,"19721231"
"9000062","norethindrone 0.35 mg oral tablet","ACTIVE",NA,"19721231"
"9010878","nitroglycerin 0.6 mg sublingual tablet","ACTIVE",NA,"19721231"
"9000063","prednisone 50 mg oral tablet","ACTIVE",NA,"19721231"
"9010874","nitroglycerin 0.3 mg sublingual tablet","ACTIVE",NA,"19721231"
"9000057","cephalexin 500 mg oral tablet","ACTIVE",NA,"19721231"
"9001683","chlorhexidine gluconate 4 % cutaneous solution","ACTIVE",NA,"19721231"
"9000070","oxycodone hydrochloride 20 mg suppository","ACTIVE",NA,"19731231"
"9000069","oxycodone hydrochloride 10 mg suppository","ACTIVE",NA,"19731231"
"9000067","clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial","ACTIVE",NA,"19731231"
"9000068","erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension","ACTIVE",NA,"19731231"
"9000064","clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial","ACTIVE",NA,"19731231"
"9000072","triamcinolone acetonide 40 mg per 1 mL suspension for injection vial","ACTIVE",NA,"19731231"
"9000065","clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial","ACTIVE",NA,"19731231"
"9000071","triamcinolone acetonide 200 mg per 5 mL suspension for injection vial","ACTIVE",NA,"19731231"
"9000066","clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial","ACTIVE",NA,"19731231"
"9009388","ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet","ACTIVE","NA","19741231"
"9000074","colchicine 0.6 mg oral tablet","ACTIVE",NA,"19741231"
"9000080","nitrofurantoin 50 mg oral tablet","ACTIVE",NA,"19741231"
"9000081","prednisolone acetate 0.12 % ophthalmic drops","ACTIVE",NA,"19741231"
"9000078","levothyroxine sodium 150 mcg oral tablet","ACTIVE",NA,"19741231"
"9009390","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet","ACTIVE","NA","19741231"
"9001711","chlorpropamide 250 mg oral tablet","ACTIVE",NA,"19741231"
"9000073","allopurinol 300 mg oral tablet","ACTIVE",NA,"19741231"
"9000079","nitrofurantoin 100 mg oral tablet","ACTIVE",NA,"19741231"
"9000075","diazepam 5 mg oral tablet","ACTIVE",NA,"19741231"
"9000082","prednisolone acetate 1 % ophthalmic drops","ACTIVE",NA,"19741231"
"9009393","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet","ACTIVE","NA","19741231"
"9012369","asparaginase 10000 unit per vial powder for solution for injection","ACTIVE",NA,"19741231"
"9000084","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet","ACTIVE",NA,"19751231"
"9000090","spironolactone 100 mg oral tablet","ACTIVE",NA,"19751231"
"9000085","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet","ACTIVE",NA,"19751231"
"9000089","folic acid 25 mg oral tablet","ACTIVE",NA,"19751231"
"9000087","carbidopa 25 mg and levodopa 250 mg oral tablet","ACTIVE",NA,"19751231"
"9009379","ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet","ACTIVE","NA","19751231"
"9000083","acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet","ACTIVE",NA,"19751231"
"9000086","betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream","ACTIVE",NA,"19751231"
"9001735","docusate sodium 50 mg and sennosides (senna) 8.6 mg oral tablet","ACTIVE",NA,"19751231"
"9009378","ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet","ACTIVE","NA","19751231"
"9001728","acetaminophen 500 mg oral tablet","ACTIVE",NA,"19751231"
"9001745","tolbutamide 500 mg oral tablet","ACTIVE",NA,"19751231"
"9009614","furosemide 20 mg oral tablet","ACTIVE",NA,"19761231"
"9000091","betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment","ACTIVE",NA,"19761231"
"9008378","chlorthalidone 50 mg oral tablet","ACTIVE",NA,"19761231"
"9001764","methyldopa 250 mg oral tablet","ACTIVE",NA,"19761231"
"9009389","ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet","ACTIVE","NA","19761231"
"9009619","furosemide 40 mg oral tablet","ACTIVE",NA,"19761231"
"9000098","clonazepam 2 mg oral tablet","ACTIVE",NA,"19771231"
"9000100","metoprolol tartrate 100 mg oral tablet","ACTIVE",NA,"19771231"
"9000096","cephalexin 250 mg oral tablet","ACTIVE",NA,"19771231"
"9000097","clonazepam 0.5 mg oral tablet","ACTIVE",NA,"19771231"
"9000101","metoprolol tartrate 50 mg oral tablet","ACTIVE",NA,"19771231"
"9001778","chlorpropamide 100 mg oral tablet","ACTIVE",NA,"19771231"
"9000099","dexamethasone 0.1 % ophthalmic drops","ACTIVE",NA,"19771231"
"9000095","betamethasone (betamethasone dipropionate) 0.05 % lotion","ACTIVE",NA,"19771231"
"9000094","acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet","ACTIVE",NA,"19771231"
"9011414","pindolol 10 mg oral tablet","ACTIVE",NA,"19781231"
"9000109","folic acid 5 mg oral tablet","ACTIVE",NA,"19781231"
"9000103","acetaminophen 300 mg and codeine phosphate 60 mg oral tablet","ACTIVE",NA,"19781231"
"9000104","baclofen 10 mg oral tablet","ACTIVE",NA,"19781231"
"9000112","prednisone 1 mg oral tablet","ACTIVE",NA,"19781231"
"9011415","pindolol 15 mg oral tablet","ACTIVE",NA,"19781231"
"9001800","alcohol anhydrous 100 % solution for injection","ACTIVE",NA,"19781231"
"9000107","codeine phosphate 30 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19781231"
"9001799","acetylsalicylic acid 975 mg gastro-resistant tablet","ACTIVE",NA,"19781231"
"9000111","morphine sulfate 15 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19781231"
"9006541","valproic acid (sodium valproate) 250 mg per 5 mL oral solution","ACTIVE",NA,"19781231"
"9000108","diazepam 10 mg oral tablet","ACTIVE",NA,"19781231"
"9011416","pindolol 5 mg oral tablet","ACTIVE",NA,"19781231"
"9000299","morphine sulfate 10 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19781231"
"9006199","codeine phosphate 10 mg per 5 mL oral solution","ACTIVE",NA,"19781231"
"9000105","benztropine mesylate 2 mg oral tablet","ACTIVE",NA,"19781231"
"9001813","methyldopa 500 mg oral tablet","ACTIVE",NA,"19781231"
"9000114","amitriptyline hydrochloride 75 mg oral tablet","ACTIVE",NA,"19791231"
"9007164","amoxicillin 500 mg oral capsule","ACTIVE",NA,"19791231"
"9000137","oxazepam 30 mg oral tablet","ACTIVE",NA,"19791231"
"9001852","metronidazole 500 mg and nystatin 100000 unit pessary","ACTIVE",NA,"19791231"
"9000132","nystatin 100000 unit per g cutaneous cream","ACTIVE",NA,"19791231"
"9001859","phenylephrine hydrochloride 2.5 % ophthalmic drops","ACTIVE",NA,"19791231"
"9000124","calcitriol 0.5 mcg oral capsule","ACTIVE",NA,"19791231"
"9000119","betamethasone (betamethasone valerate) 0.05 % cutaneous cream","ACTIVE",NA,"19791231"
"9000130","lithium carbonate 150 mg oral capsule","ACTIVE",NA,"19791231"
"9000127","cephalexin 500 mg oral capsule","ACTIVE",NA,"19791231"
"9000136","oxazepam 15 mg oral tablet","ACTIVE",NA,"19791231"
"9000128","diazepam 2 mg oral tablet","ACTIVE",NA,"19791231"
"9000131","metronidazole 500 mg oral capsule","ACTIVE",NA,"19791231"
"9000140","sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet","ACTIVE",NA,"19791231"
"9007158","amoxicillin 250 mg oral capsule","ACTIVE",NA,"19791231"
"9007154","amoxicillin 125 mg per 5 mL oral suspension","ACTIVE",NA,"19791231"
"9000123","calcitriol 0.25 mcg oral capsule","ACTIVE",NA,"19791231"
"9000135","oxazepam 10 mg oral tablet","ACTIVE",NA,"19791231"
"9001847","guaifenesin 100 mg per 5 mL syrup","ACTIVE",NA,"19791231"
"9000133","nystatin 100000 unit per g cutaneous ointment","ACTIVE",NA,"19791231"
"9000120","betamethasone (betamethasone valerate) 0.05 % cutaneous ointment","ACTIVE",NA,"19791231"
"9000163","betamethasone (betamethasone valerate) 0.1 % cutaneous cream","ACTIVE",NA,"19791231"
"9000138","sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet","ACTIVE",NA,"19791231"
"9007160","amoxicillin 250 mg per 5 mL oral suspension","ACTIVE",NA,"19791231"
"9000141","timolol (timolol maleate) 0.5 % ophthalmic drops","ACTIVE",NA,"19791231"
"9000143","triamcinolone acetonide 0.1 % cutaneous cream","ACTIVE",NA,"19791231"
"9000121","betamethasone (betamethasone valerate) 0.1 % lotion","ACTIVE",NA,"19791231"
"9000126","cephalexin 250 mg oral capsule","ACTIVE",NA,"19791231"
"9000139","sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet","ACTIVE",NA,"19791231"
"9001863","theophylline 80 mg per 15 mL oral solution","ACTIVE",NA,"19791231"
"9000134","nystatin 25000 unit per g vaginal cream","ACTIVE",NA,"19791231"
"9001866","methyldopa 125 mg oral tablet","ACTIVE",NA,"19800402"
"9001867","benzalkonium chloride 0.1 % cutaneous liquid","ACTIVE",NA,"19801104"
"9000153","oxycodone hydrochloride 10 mg oral tablet","ACTIVE",NA,"19801231"
"9001477","diazepam 10 mg per 2 mL solution for injection ampoule","ACTIVE",NA,"19801231"
"9009394","ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet","ACTIVE","NA","19801231"
"9000149","haloperidol 0.5 mg oral tablet","ACTIVE",NA,"19801231"
"9001892","nitrazepam 10 mg oral tablet","ACTIVE",NA,"19801231"
"9009397","ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet","ACTIVE","NA","19801231"
"9000155","propranolol hydrochloride 40 mg oral tablet","ACTIVE",NA,"19801231"
"9000151","indomethacin 25 mg oral capsule","ACTIVE",NA,"19801231"
"9000144","carbidopa 25 mg and levodopa 100 mg oral tablet","ACTIVE",NA,"19801231"
"9000146","diclofenac sodium 50 mg gastro-resistant tablet","ACTIVE",NA,"19801231"
"9000156","propranolol hydrochloride 80 mg oral tablet","ACTIVE",NA,"19801231"
"9000150","haloperidol 1 mg oral tablet","ACTIVE",NA,"19801231"
"9000152","indomethacin 50 mg oral capsule","ACTIVE",NA,"19801231"
"9001299","epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe","ACTIVE",NA,"19801231"
"9010664","minoxidil 2.5 mg oral tablet","ACTIVE",NA,"19801231"
"9000154","propranolol hydrochloride 10 mg oral tablet","ACTIVE",NA,"19801231"
"9000157","temazepam 15 mg oral capsule","ACTIVE",NA,"19801231"
"9010663","minoxidil 10 mg oral tablet","ACTIVE",NA,"19801231"
"9001893","nitrazepam 5 mg oral tablet","ACTIVE",NA,"19801231"
"9000158","temazepam 30 mg oral capsule","ACTIVE",NA,"19801231"
"9009615","furosemide 20 mg per 2 mL solution for injection ampoule","ACTIVE",NA,"19811231"
"9001907","cromolyn sodium 100 mg oral capsule","ACTIVE",NA,"19811231"
"9000165","bromazepam 6 mg oral tablet","ACTIVE",NA,"19811231"
"9000169","flurazepam hydrochloride 30 mg oral capsule","ACTIVE",NA,"19811231"
"9000172","hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet","ACTIVE",NA,"19811231"
"9000162","alprazolam 0.5 mg oral tablet","ACTIVE",NA,"19811231"
"9000168","flurazepam hydrochloride 15 mg oral capsule","ACTIVE",NA,"19811231"
"9000160","allopurinol 200 mg oral tablet","ACTIVE",NA,"19811231"
"9000159","allopurinol 100 mg oral tablet","ACTIVE",NA,"19811231"
"9001909","guaifenesin 50 mg per 5 mL and oxtriphylline 100 mg per 5 mL oral solution","ACTIVE",NA,"19811231"
"9009621","furosemide 40 mg per 4 mL solution for injection ampoule","ACTIVE",NA,"19811231"
"9000164","bromazepam 3 mg oral tablet","ACTIVE",NA,"19811231"
"9000167","erythromycin (erythromycin stearate) 250 mg oral tablet","ACTIVE",NA,"19811231"
"9001920","tobramycin 0.3 % ophthalmic drops","ACTIVE",NA,"19811231"
