mp_code,mp_formal_name,changes
"00020877","TEVA-AMPICILLIN (ampicillin (ampicillin trihydrate) 250 mg oral capsule) TEVA CANADA LIMITED","ADDED"
"00020885","TEVA-AMPICILLIN (ampicillin (ampicillin trihydrate) 500 mg oral capsule) TEVA CANADA LIMITED","ADDED"
"00293482","ATASOL TAB 325MG (acetaminophen 325 mg oral tablet) CHURCH & DWIGHT CANADA CORP","ADDED"
"00443840","DEPAKENE (valproic acid (sodium valproate) 250 mg oral capsule) BGP PHARMA ULC","ADDED"
"00512524","PROTRIN DF TAB (sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet) PRO DOC LIMITEE","ADDED"
"00614262","NITROJECT INJ 1MG/ML (nitroglycerin 100 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD","mp_formal_name: ""NITROJECT INJ 1MG/ML (nitroglycerin 100 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD"" -> ""NITROJECT INJ 1MG/ML (nitroglycerin 10 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD""
ntp_code: ""9010880"" -> ""9000366""
ntp_formal_name: ""nitroglycerin 100 mg per 10 mL solution for injection vial"" -> ""nitroglycerin 10 mg per 10 mL solution for injection vial"""
"00704423","ANDROCUR DEPOT (cyproterone acetate 100 mg per mL solution for injection) BAYER INC","mp_formal_name: ""ANDROCUR DEPOT (cyproterone acetate 100 mg per mL solution for injection) BAYER INC"" -> ""ANDROCUR DEPOT (cyproterone acetate 300 mg per 3 mL solution for injection ampoule) BAYER INC""
ntp_code: ""9002272"" -> ""9012481""
ntp_formal_name: ""cyproterone acetate 100 mg per mL solution for injection"" -> ""cyproterone acetate 300 mg per 3 mL solution for injection ampoule"""
"00710814","EPINEPHRINE INJ 0.1MG/ML USP (epinephrine 1 mg per 10 mL solution for injection syringe) HOSPIRA HEALTHCARE CORPORATION","mp_formal_name: ""EPINEPHRINE INJ 0.1MG/ML USP (epinephrine 1 mg per 10 mL solution for injection syringe) HOSPIRA HEALTHCARE CORPORATION"" -> ""EPINEPHRINE INJECTION USP (epinephrine 10 mg per 10 mL solution for injection syringe) PFIZER CANADA INC""
ntp_code: ""9000272"" -> ""9012492""
ntp_formal_name: ""epinephrine 1 mg per 10 mL solution for injection syringe"" -> ""epinephrine 10 mg per 10 mL solution for injection syringe"""
"00721891","EPINEPHRINE INJ 1MG/ML USP (epinephrine 1 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION","mp_formal_name: ""EPINEPHRINE INJ 1MG/ML USP (epinephrine 1 mg per 1 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION"" -> ""EPINEPHRINE INJECTION USP (epinephrine 1 mg per 1 mL solution for injection ampoule) PFIZER CANADA INC"""
"00755842","APO-TIMOL TABLETS 5MG (timolol maleate 5 mg oral tablet) APOTEX INC","mp_formal_name: ""APO-TIMOL TABLETS 5MG (timolol maleate 5 mg oral tablet) APOTEX INC"" -> ""TIMOLOL (timolol maleate 5 mg oral tablet) AA PHARMA INC"""
"00755850","APO-TIMOL TABLETS 10MG (timolol maleate 10 mg oral tablet) APOTEX INC","mp_formal_name: ""APO-TIMOL TABLETS 10MG (timolol maleate 10 mg oral tablet) APOTEX INC"" -> ""TIMOLOL (timolol maleate 10 mg oral tablet) AA PHARMA INC"""
"00755869","APO-TIMOL TABLETS 20MG (timolol maleate 20 mg oral tablet) APOTEX INC","mp_formal_name: ""APO-TIMOL TABLETS 20MG (timolol maleate 20 mg oral tablet) APOTEX INC"" -> ""TIMOLOL (timolol maleate 20 mg oral tablet) AA PHARMA INC"""
"00778869","NITROJECT INJ 5MG/ML (nitroglycerin 500 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD","mp_formal_name: ""NITROJECT INJ 5MG/ML (nitroglycerin 500 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD"" -> ""NITROJECT INJ 5MG/ML (nitroglycerin 50 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD""
ntp_code: ""9010882"" -> ""9000302""
ntp_formal_name: ""nitroglycerin 500 mg per 10 mL solution for injection vial"" -> ""nitroglycerin 50 mg per 10 mL solution for injection vial"""
"00860778","NITROGLYCERIN INJECTION USP (nitroglycerin 500 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED","mp_formal_name: ""NITROGLYCERIN INJECTION USP (nitroglycerin 500 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED"" -> ""NITROGLYCERIN INJECTION USP (nitroglycerin 50 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED""
ntp_code: ""9010882"" -> ""9000302""
ntp_formal_name: ""nitroglycerin 500 mg per 10 mL solution for injection vial"" -> ""nitroglycerin 50 mg per 10 mL solution for injection vial"""
"01905864","ACETAMINOPHEN SOLUTION ORAL GTTE 80MG/ML USP (acetaminophen 80 mg per mL NA) LABORATOIRES TRIANON INC","mp_formal_name: ""ACETAMINOPHEN SOLUTION ORAL GTTE 80MG/ML USP (acetaminophen 80 mg per mL NA) LABORATOIRES TRIANON INC"" -> ""ACETAMINOPHEN SOLUTION ORAL GTTE 80MG/ML USP (acetaminophen 80 mg per mL oral drops) LABORATOIRES TRIANON INC""
ntp_code: ""9006324"" -> ""9002337""
ntp_formal_name: ""acetaminophen 80 mg per mL NA"" -> ""acetaminophen 80 mg per mL oral drops"""
"01914030","MESASAL (mesalazine 500 mg gastro-resistant tablet) GLAXOSMITHKLINE INC","ADDED"
"01927698","NOZINAN INJ 25MG/ML (methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per mL solution for injection) SANOFI-AVENTIS CANADA INC","mp_formal_name: ""NOZINAN INJ 25MG/ML (methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per mL solution for injection) SANOFI-AVENTIS CANADA INC"" -> ""NOZINAN INJ 25MG/ML (methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per 1 mL solution for injection ampoule) SANOFI-AVENTIS CANADA INC""
ntp_code: ""9001567"" -> ""9012518""
ntp_formal_name: ""methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per mL solution for injection"" -> ""methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per 1 mL solution for injection ampoule"""
"01958836","ACETAMINOPHEN ORAL SOL FOR CHILDREN USP (acetaminophen 160 mg per 5 mL oral liquid) LABORATOIRES TRIANON INC","mp_formal_name: ""ACETAMINOPHEN ORAL SOL FOR CHILDREN USP (acetaminophen 160 mg per 5 mL oral liquid) LABORATOIRES TRIANON INC"" -> ""ACETAMINOPHEN ORAL SOL FOR CHILDREN USP (acetaminophen 160 mg per 5 mL oral solution) LABORATOIRES TRIANON INC""
ntp_code: ""9002401"" -> ""9002330""
ntp_formal_name: ""acetaminophen 160 mg per 5 mL oral liquid"" -> ""acetaminophen 160 mg per 5 mL oral solution"""
