tm_code,tm_formal_name,changes
NA,"dupilumab","ADDED"
NA,"apixaban","ADDED"
NA,"roflumilast","ADDED"
"8001045","docusate","tm_status_effective_time: ""NA"" -> ""19851231"""
NA,"netupitant and palonosetron","ADDED"
"8000173","fluticasone","tm_status_effective_time: ""19980402"" -> ""19930312"""
NA,"palonosetron","ADDED"
NA,"metformin and rosiglitazone","ADDED"
NA,"sofosbuvir and velpatasvir","ADDED"
NA,"triamcinolone diacetate","ADDED"
"8001068","ampicillin","tm_status_effective_time: ""19841231"" -> ""19711231"""
"8000396","galantamine","tm_status_effective_time: ""20101112"" -> ""20050429"""
NA,"vilazodone","ADDED"
NA,"lifitegrast","ADDED"
"8001044","acetaminophen","tm_status_effective_time: ""NA"" -> ""19611231"""
NA,"migalastat","ADDED"
NA,"vernakalant","ADDED"
"8000183","mesalazine","tm_status_effective_time: ""19931231"" -> ""19921231"""
NA,"sofosbuvir and velpatasvir and voxilaprevir","ADDED"
NA,"sofosbuvir","ADDED"
NA,NA,"ADDED"
NA,"peramivir","ADDED"
