tm_code,tm_formal_name,tm_status,tm_status_effective_time
"8000782","meperidine","ACTIVE","19441231"
"8000001","levothyroxine","ACTIVE","19511230"
"8000003","epinephrine","ACTIVE","19511231"
"8000795","acetylsalicylic acid","ACTIVE","19511231"
"8000004","phenytoin sodium","ACTIVE","19511231"
"8000796","benzalkonium","ACTIVE","19511231"
"8000005","phenytoin (base)","ACTIVE","19521231"
"8000006","testosterone","ACTIVE","19531231"
"8000008","hydrocortisone","ACTIVE","19541231"
"8000010","methylphenidate","ACTIVE","19561231"
"8000009","hydroxyzine","ACTIVE","19561231"
"8000013","warfarin","ACTIVE","19571231"
"8000012","hydroxychloroquine","ACTIVE","19571231"
"8000778","hydrocodone and phenyltoloxamine","ACTIVE","19571231"
"8001091","chlorambucil","ACTIVE","19571231"
"8000799","phenobarbital","ACTIVE","19571231"
"8000800","bisacodyl","ACTIVE","19581231"
"8001143","methotrimeprazine","ACTIVE","19581231"
"8000788","belladonna and ergotamine and phenobarbital","ACTIVE","19590101"
"8000014","prednisone","ACTIVE","19591231"
"8000015","spironolactone","ACTIVE","19591231"
"8000018","medroxyprogesterone","ACTIVE","19601231"
"8000802","hydrochlorothiazide and spironolactone","ACTIVE","19601231"
"8001044","acetaminophen","ACTIVE","19611231"
"8000020","norethindrone","ACTIVE","19611231"
"8000021","conjugated estrogens","ACTIVE","19631231"
"8000023","acetaminophen and caffeine and codeine","ACTIVE","19641231"
"8000026","nortriptyline","ACTIVE","19651231"
"8000794","betamethasone acetate and betamethasone (base)","ACTIVE","19651231"
"8000024","amitriptyline","ACTIVE","19651231"
"8001078","ephedrine","ACTIVE","19661231"
"8000029","quinine sulfate","ACTIVE","19661231"
"8000027","azathioprine","ACTIVE","19661231"
"8000028","dexamethasone (base)","ACTIVE","19661231"
"8000030","triamcinolone acetonide","ACTIVE","19661231"
"8000804","ethacrynic acid","ACTIVE","19681231"
"8000031","hydrochlorothiazide","ACTIVE","19681231"
"8000032","carbamazepine","ACTIVE","19691231"
"8000786","pentazocine","ACTIVE","19701231"
"8000038","metronidazole","ACTIVE","19701231"
"8000037","erythromycin","ACTIVE","19701231"
"8000806","acetylsalicylic acid and caffeine and codeine","ACTIVE","19701231"
"8000036","clindamycin","ACTIVE","19701231"
"8000041","lithium carbonate","ACTIVE","19711231"
"8001068","ampicillin","ACTIVE","19711231"
"8000040","cephalexin","ACTIVE","19711231"
"8000809","chlorhexidine","ACTIVE","19721231"
"8000044","nitroglycerin","ACTIVE","19721231"
"8000043","ibuprofen","ACTIVE","19721231"
"8000045","oxycodone","ACTIVE","19731231"
"8000047","colchicine","ACTIVE","19741231"
"8000048","diazepam","ACTIVE","19741231"
"8001098","asparaginase","ACTIVE","19741231"
"8000051","prednisolone","ACTIVE","19741231"
"8000049","ethinyl estradiol and norethindrone","ACTIVE","19741231"
"8000046","allopurinol","ACTIVE","19741231"
"8000050","nitrofurantoin","ACTIVE","19741231"
"8001047","chlorpropamide","ACTIVE","19741231"
"8000791","betamethasone dipropionate","ACTIVE","19751231"
"8000055","folic acid","ACTIVE","19751231"
"8000054","carbidopa and levodopa","ACTIVE","19751231"
"8001048","tolbutamide","ACTIVE","19751231"
"8000811","docusate and sennosides","ACTIVE","19751231"
"8000813","chlorthalidone","ACTIVE","19761231"
"8001145","methyldopa","ACTIVE","19761231"
"8000057","furosemide","ACTIVE","19761231"
"8000814","metronidazole and nystatin","ACTIVE","19761231"
"8000059","acetaminophen and oxycodone","ACTIVE","19771231"
"8000061","clonazepam","ACTIVE","19771231"
"8000064","penicillin v","ACTIVE","19771231"
"8000063","metoprolol","ACTIVE","19771231"
"8000066","baclofen","ACTIVE","19781231"
