tm_code,tm_formal_name,changes
"8001148","dupilumab","ADDED"
"8001045","docusate","tm_status_effective_time: ""NA"" -> ""19851231"""
"8001159","triamcinolone diacetate","ADDED"
"8000173","fluticasone","tm_status_effective_time: ""19980402"" -> ""19930312"""
"8001155","roflumilast","ADDED"
"8001068","ampicillin","tm_status_effective_time: ""19841231"" -> ""19711231"""
"8001150","metformin and rosiglitazone","ADDED"
"8000396","galantamine","tm_status_effective_time: ""20101112"" -> ""20050429"""
"8001149","lifitegrast","ADDED"
"8001160","vernakalant","ADDED"
"8001161","vilazodone","ADDED"
"8001152","netupitant and palonosetron","ADDED"
"8001044","acetaminophen","tm_status_effective_time: ""NA"" -> ""19611231"""
"8001147","apixaban","ADDED"
"8000183","mesalazine","tm_status_effective_time: ""19931231"" -> ""19921231"""
"8001151","migalastat","ADDED"
"8001153","palonosetron","ADDED"
"8001156","sofosbuvir","ADDED"
"8001157","sofosbuvir and velpatasvir","ADDED"
"8001154","peramivir","ADDED"
"8001158","sofosbuvir and velpatasvir and voxilaprevir","ADDED"
