ntp_code,ntp_formal_name,changes
"9003769","cefuroxime (cefuroxime sodium) 7.5 g per vial powder for solution for injection","ADDED"
"9000480","morphine sulfate 30 mg prolonged-release oral tablet","ADDED"
"9000558","cefprozil 500 mg oral tablet","ntp_status_effective_time: ""19951231"" -> ""20070312"""
"9000211","morphine sulfate 20 mg per mL oral drops","ADDED"
"9012549","vilazodone hydrochloride 10 mg oral tablet","ADDED"
"9012445","letermovir 480 mg oral tablet","ADDED"
"9002809","fluconazole 150 mg oral capsule","ADDED"
"9000894","ranitidine (ranitidine hydrochloride) 50 mg per 2 mL solution for injection vial","ADDED"
"9009397","ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet","ntp_status_effective_time: ""19801231"" -> ""19960916"""
"9000231","morphine sulfate 20 mg suppository","ADDED"
"9000995","zopiclone 3.75 mg oral tablet","ntp_status_effective_time: ""20020729"" -> ""20170101"""
"9000559","cephalexin 125 mg per 5 mL oral suspension","ntp_status_effective_time: ""19711231"" -> ""19821231"""
"9000168","flurazepam hydrochloride 15 mg oral capsule","ntp_status_effective_time: ""19811231"" -> ""19821231"""
"9011504","prazosin (prazosin hydrochloride) 1 mg oral tablet","ntp_status_effective_time: ""19831231"" -> ""19901231"""
"9009622","furosemide 40 mg per 4 mL solution for injection syringe","DELETED"
"9006482","clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet","ntp_type: ""comb"" -> ""Comb"""
"9003032","methotrimeprazine (methotrimeprazine maleate) 25 mg oral tablet","ADDED"
"9006593","fluconazole 200 mg per 100 mL solution for injection bag","ADDED"
"9003768","cefuroxime (cefuroxime sodium) 750 mg per vial powder for solution for injection","ADDED"
"9006223","acetaminophen 500 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet","DELETED"
"9012355","verapamil hydrochloride 180 mg prolonged-release oral capsule","DELETED"
"9008377","chlorthalidone 100 mg oral tablet","DELETED"
"9002060","acetaminophen 500 mg and caffeine 65 mg oral tablet","ADDED"
"9000570","diltiazem hydrochloride 180 mg prolonged-release oral capsule","ntp_status_effective_time: ""19951231"" -> ""19970609"""
"9000250","glyburide 5 mg oral tablet","ntp_status_effective_time: ""19861231"" -> ""19911231"""
"9005556","bisacodyl 5 mg suppository","ADDED"
"9001463","morphine sulfate 10 mg oral capsule","ADDED"
"9012506","letermovir 240 mg per 12 mL solution for injection vial","ADDED"
"9012519","migalastat (migalastat hydrochloride) 123 mg oral capsule","ADDED"
"9000571","diltiazem hydrochloride 240 mg prolonged-release oral capsule","ntp_status_effective_time: ""19951231"" -> ""19970609"""
"9006211","morphine sulfate 250 mg per 5 mL solution for injection vial","ADDED"
"9000230","morphine sulfate 10 mg suppository","ADDED"
"9000478","morphine sulfate 200 mg prolonged-release oral tablet","ADDED"
"9010880","nitroglycerin 100 mg per 10 mL solution for injection vial","ntp_status: ""INACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""20170804"" -> ""20180403"""
"9000726","hydroxyzine hydrochloride 500 mg per 10 mL solution for injection vial","DELETED"
"9001466","morphine sulfate 5 mg oral capsule","ADDED"
"9001950","oxtriphylline 300 mg oral tablet","DELETED"
"9000516","digoxin 0.05 mg per 1 mL solution for injection ampoule","DELETED"
"9004980","apixaban 2.5 mg oral tablet","ADDED"
"9005205","azilsartan medoxomil (azilsartan medoxomil potassium) 80 mg and chlorthalidone 12.5 mg oral tablet","DELETED"
"9004156","acetaminophen 325 mg and phenylephrine hydrochloride 5 mg oral tablet","ADDED"
"9000212","morphine sulfate 5 mg per mL syrup","ADDED"
"9000033","amitriptyline hydrochloride 10 mg oral tablet","ntp_status_effective_time: ""19651231"" -> ""19751231"""
"9010882","nitroglycerin 500 mg per 10 mL solution for injection vial","ntp_status: ""ACTIVE"" -> ""DEPREC""
ntp_status_effective_time: ""19881231"" -> ""20180403"""
"9012546","umeclidinium (umeclidinium bromide) 62.5 mcg per actuation and vilanterol (vilanterol trifenatate) 25 mcg per actuation inhalation powder","ADDED"
"9004883","acetylsalicylic acid 500 mg and caffeine 32 mg oral tablet","ADDED"
"9006594","fluconazole 400 mg per 200 mL solution for injection bag","ADDED"
"9001156","digoxin 0.125 mg oral tablet","ntp_status_effective_time: ""20060622"" -> ""20091223"""
"9012507","letermovir 480 mg per 24 mL solution for injection vial","ADDED"
"9000945","clobetasol propionate 0.05 % cutaneous solution","ntp_status_effective_time: ""19980618"" -> ""20010625"""
"9000220","carbamazepine 200 mg chewable tablet","ntp_status_effective_time: ""19851231"" -> ""20020419"""
"9000720","diltiazem hydrochloride 25 mg per 5 mL solution for injection vial","ntp_status_effective_time: ""19970410"" -> ""20020109"""
"9000308","timolol (timolol maleate) 0.25 % ophthalmic drops","ntp_status_effective_time: ""19881231"" -> ""19951231"""
"9012526","nusinersen (nusinersen sodium) 12 mg per 5 mL solution for injection vial","ADDED"
"9002024","hydrochlorothiazide 15 mg and methyldopa 250 mg oral tablet","DELETED"
"9000350","conjugated estrogens 2.5 mg oral tablet","DELETED"
"9000347","clonidine hydrochloride 0.2 mg oral tablet","ntp_status_effective_time: ""19901231"" -> ""19931231"""
