tm_code,tm_formal_name,changes
"8000841","cyproterone","ADDED"
"8001069","oxtriphylline","DELETED"
"8001138","durvalumab","ADDED"
"8000843","acetaminophen and phenylephrine","ADDED"
"8000836","prazosin","tm_status_effective_time: ""19831231"" -> ""19901231"""
"8000071","morphine","ADDED"
"8000115","glyburide","tm_status_effective_time: ""19861231"" -> ""19911231"""
"8001155","roflumilast","ADDED"
"8000127","fentanyl","tm_status_effective_time: ""19891231"" -> ""20000210"""
"8000793","triamcinolone hexacetonide","DELETED"
"8001143","methotrimeprazine","ADDED"
"8001141","avelumab","ADDED"
"8000084","haloperidol","tm_status_effective_time: ""19801231"" -> ""19841231"""
"8001149","lifitegrast","ADDED"
"8001160","vernakalant","ADDED"
"8000800","bisacodyl","ADDED"
"8000221","valproic acid","tm_status_effective_time: ""19951231"" -> ""19961213"""
"8001116","granisetron","ADDED"
"8001147","apixaban","ADDED"
"8001135","ocrelizumab","ADDED"
"8000814","metronidazole and nystatin","ADDED"
"8001151","migalastat","ADDED"
"8000037","erythromycin","tm_status_effective_time: ""19701231"" -> ""19731231"""
"8000086","propranolol","tm_status_effective_time: ""19801231"" -> ""19811231"""
"8001090","umeclidinium and vilanterol","ADDED"
"8001156","sofosbuvir","ADDED"
"8001157","sofosbuvir and velpatasvir","ADDED"
"8000091","flurazepam","tm_status_effective_time: ""19811231"" -> ""19821231"""
"8000924","benzoyl peroxide and clindamycin","ADDED"
"8001142","guselkumab","ADDED"
"8001158","sofosbuvir and velpatasvir and voxilaprevir","ADDED"
"8001089","umeclidinium","ADDED"
"8000866","mupirocin","ADDED"
"8001148","dupilumab","ADDED"
"8000021","conjugated estrogens","tm_status_effective_time: ""19631231"" -> ""19941231"""
"8001140","letermovir","ADDED"
"8000870","acetylsalicylic acid and caffeine","ADDED"
"8001057","cefadroxil","ADDED"
"8001139","olaratumab","ADDED"
"8000837","acetaminophen and caffeine","ADDED"
"8001137","insulin degludec","ADDED"
"8000828","acetaminophen and codeine and doxylamine","ADDED"
"8000926","brompheniramine and codeine and guaifenesin and phenylephrine","ADDED"
"8001132","nusinersen","ADDED"
"8001042","hydrochlorothiazide and methyldopa","DELETED"
"8000925","brompheniramine and codeine and phenylephrine","ADDED"
"8001161","vilazodone","ADDED"
"8001152","netupitant and palonosetron","ADDED"
"8001094","theophylline","tm_status_effective_time: ""19791231"" -> ""19851231"""
"8000956","acetaminophen and doxylamine and phenylephrine","ADDED"
"8001033","doxylamine","DELETED"
"8000315","bimatoprost","tm_status_effective_time: ""20020524"" -> ""20090616"""
"8000064","penicillin v","tm_status_effective_time: ""19771231"" -> ""19851231"""
"8000850","fluconazole","ADDED"
"8000135","clonidine","tm_status_effective_time: ""19901231"" -> ""19931231"""
"8001105","zolmitriptan","ADDED"
"8000799","phenobarbital","ADDED"
"8000130","metoclopramide","tm_status_effective_time: ""19891231"" -> ""19951231"""
"8000046","allopurinol","tm_status_effective_time: ""19741231"" -> ""19811231"""
"8001076","cefuroxime","ADDED"
"8001154","peramivir","ADDED"
"8001001","metformin and saxagliptin","ADDED"
"8001118","dexmedetomidine","ADDED"
"8000024","amitriptyline","tm_status_effective_time: ""19651231"" -> ""19751231"""
