tm_code,tm_formal_name,ntp_code,ntp_formal_name,mp_code,mp_formal_name
,abacavir,,abacavir (abacavir sulfate) 20 mg per mL oral solution,2240358,ZIAGEN (abacavir (abacavir sulfate) 20 mg per mL oral solution) VIIV HEALTHCARE ULC
,abacavir,,abacavir (abacavir sulfate) 300 mg oral tablet,2240357,ZIAGEN (abacavir (abacavir sulfate) 300 mg oral tablet) VIIV HEALTHCARE ULC
,abacavir,,abacavir (abacavir sulfate) 300 mg oral tablet,2396769,APO-ABACAVIR (abacavir (abacavir sulfate) 300 mg oral tablet) APOTEX INC
,abacavir and dolutegravir and lamivudine,,abacavir (abacavir sulfate) 600 mg and dolutegravir (dolutegravir sodium) 50 mg and lamivudine 300 mg oral tablet,2430932,TRIUMEQ (abacavir (abacavir sulfate) 600 mg and dolutegravir (dolutegravir sodium) 50 mg and lamivudine 300 mg oral tablet) VIIV HEALTHCARE ULC
,abacavir and lamivudine,,abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet,2399539,APO-ABACAVIR-LAMIVUDINE (abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet) APOTEX INC
,abacavir and lamivudine,,abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet,2269341,KIVEXA (abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet) VIIV HEALTHCARE ULC
,abacavir and lamivudine,,abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet,2416662,TEVA-ABACAVIR/LAMIVUDINE (abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet) TEVA CANADA LIMITED
,abacavir and lamivudine,,abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet,2450682,MYLAN-ABACAVIR/LAMIVUDINE (abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet) MYLAN PHARMACEUTICALS ULC
,abacavir and lamivudine,,abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet,2454513,AURO-ABACAVIR/LAMIVUDINE (abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet) AURO PHARMA INC
,abacavir and lamivudine,,abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet,2458381,PMS-ABACAVIR-LAMIVUDINE (abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet) PHARMASCIENCE INC
,abacavir and lamivudine and zidovudine,,abacavir (abacavir sulfate) 300 mg and lamivudine 150 mg and zidovudine 300 mg oral tablet,2244757,TRIZIVIR (abacavir (abacavir sulfate) 300 mg and lamivudine 150 mg and zidovudine 300 mg oral tablet) VIIV HEALTHCARE ULC
