ntp_code,ntp_formal_name,changes,
NA,abacavir (abacavir sulfate) 20 mg per mL oral solution,ADDED,
NA,abacavir (abacavir sulfate) 300 mg and lamivudine 150 mg and zidovudine 300 mg oral tablet,ADDED,
NA,abacavir (abacavir sulfate) 300 mg oral tablet,ADDED,
NA,abacavir (abacavir sulfate) 600 mg and dolutegravir (dolutegravir sodium) 50 mg and lamivudine 300 mg oral tablet,ADDED,
NA,abacavir (abacavir sulfate) 600 mg and lamivudine 300 mg oral tablet,ADDED,
9002400,acetaminophen 120 mg suppository,"ntp_status_effective_time: ""19921231"" -> ""19980105""",
9002235,acetaminophen 16 mg per mL oral solution,DELETED,
9002401,acetaminophen 160 mg per 5 mL oral liquid,DELETED,
9002330,acetaminophen 160 mg per 5 mL oral solution,"ntp_status_effective_time: ""19911231"" -> ""19901231""",
NA,acetaminophen 160 mg per mL oral solution,ADDED,DPD data error
9002510,acetaminophen 160 mg suppository,"ntp_status_effective_time: ""19931231"" -> ""19980105""",
9004205,acetaminophen 250 mg and guaifenesin 100 mg and phenylephrine hydrochloride 5 mg oral tablet,DELETED,
9002236,acetaminophen 32 mg per mL oral solution,DELETED,
9002404,acetaminophen 325 mg suppository,"ntp_status_effective_time: ""19921231"" -> ""19980105""",
9006223,acetaminophen 500 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet,DELETED,
9000397,acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet,DELETED,
9005112,acetaminophen 500 mg and diphenhydramine hydrochloride 25 mg oral tablet,ADDED,
NA,acetaminophen 500 mg per pck and diphenhydramine hydrochloride 25 mg per pck and phenylephrine hydrochloride 10 mg per pck oral powder,ADDED,
9005624,acetaminophen 650 mg and diphenhydramine hydrochloride 25 mg and phenylephrine hydrochloride 10 mg oral powder,ADDED,
9004573,acetaminophen 650 mg per 15 mL oral liquid,DELETED,
9005747,acetaminophen 650 mg per pck and diphenhydramine hydrochloride 25 mg per pck and phenylephrine hydrochloride 10 mg per pck oral powder,ADDED,
9002407,acetaminophen 650 mg suppository,"ntp_status_effective_time: ""19921231"" -> ""19980105""",
9002408,acetaminophen 80 mg per 1 mL oral drops,ADDED,
9012468,"acetaminophen 80 mg per 1 mL oral drops, suspension",DELETED,
9002335,acetaminophen 80 mg per 5 mL oral liquid,DELETED,
9004235,acetaminophen 80 mg per 5 mL oral solution,DELETED,
9002338,acetaminophen 80 mg per mL oral liquid,DELETED,
9002237,acetaminophen 80 mg per mL oral solution,DELETED,
9003359,acetaminophen 80 mg per mL oral suspension,DELETED,
9002513,acetylsalicylic acid 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet,DELETED,
9002514,acetylsalicylic acid 325 mg and caffeine 33 mg oral tablet,DELETED,
9003324,acetylsalicylic acid 375 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet,DELETED,
9000777,acyclovir (acyclovir sodium) 500 mg per vial powder for solution for injection,DELETED,
9000502,acyclovir 800 mg oral tablet,"ntp_status_effective_time: ""19941231"" -> ""19970822""",
9004157,adefovir dipivoxil 10 mg oral tablet,ADDED,
9004443,alcohol anhydrous 70 % and benzalkonium chloride 0.15 % cutaneous gel,DELETED,
9004482,alcohol anhydrous 70 % and benzalkonium chloride 0.15 % cutaneous liquid,DELETED,
9004479,alcohol anhydrous 70 % and chlorhexidine gluconate 4 % cutaneous spray,DELETED,
9004499,alcohol anhydrous 70 % per mL and benzalkonium chloride 0.15 % per mL cutaneous spray,DELETED,
9004486,alcohol anhydrous 70 % per mL and benzalkonium chloride 0.15 % per mL wipe,DELETED,
9000073,allopurinol 300 mg oral tablet,"ntp_status_effective_time: ""19741231"" -> ""19811231""",
9003847,almotriptan (almotriptan malate) 6.25 mg oral tablet,"ntp_status_effective_time: ""20031208"" -> ""20130722""",
NA,amikacin (amikacin sulfate) 500 mg per 2 mL solution for injection vial,ADDED,
9000033,amitriptyline hydrochloride 10 mg oral tablet,"ntp_status_effective_time: ""19651231"" -> ""19751231""",
9000056,amitriptyline hydrochloride 25 mg oral tablet,"ntp_status_effective_time: ""19721231"" -> ""19751231""",
9000046,amitriptyline hydrochloride 50 mg oral tablet,"ntp_status_effective_time: ""19691231"" -> ""19751231""",
9000114,amitriptyline hydrochloride 75 mg oral tablet,"ntp_status_effective_time: ""19791231"" -> ""19871231""",
9003279,ampicillin (ampicillin sodium) 1 g per vial powder for solution for injection,"ntp_status_effective_time: ""19980814"" -> ""19921231""",
9002413,ampicillin (ampicillin sodium) 1000 mg per vial powder for solution for injection,DELETED,
9003272,ampicillin (ampicillin sodium) 2 g per vial powder for solution for injection,"ntp_status_effective_time: ""19980727"" -> ""19921231""",
9002414,ampicillin (ampicillin sodium) 2000 mg per vial powder for solution for injection,DELETED,
9002004,ampicillin 125 mg per 5 mL oral liquid,DELETED,
9002006,ampicillin 250 mg per 5 mL oral liquid,DELETED,
9004633,anidulafungin 100 mg per vial powder for solution for injection,ADDED,
9003857,atazanavir (atazanavir sulfate) 150 mg oral capsule,ADDED,
