mp_code,mp_formal_name,ntp_code,ntp_formal_name,tm_code,tm_formal_name
"02245689","LANTUS (insulin glargine 100 unit per mL solution for injection 10 mL vial) SANOFI-AVENTIS CANADA INC","9000994","insulin glargine 100 unit per mL solution for injection 10 mL vial","8000317","insulin glargine"
"02251930","LANTUS (insulin glargine 100 unit per mL solution for injection 3 mL cartridge) SANOFI-AVENTIS CANADA INC","9001143","insulin glargine 100 unit per mL solution for injection 3 mL cartridge","8000317","insulin glargine"
"02444844","BASAGLAR (insulin glargine 100 unit per mL solution for injection 3 mL cartridge) ELI LILLY CANADA INC","9001143","insulin glargine 100 unit per mL solution for injection 3 mL cartridge","8000317","insulin glargine"
"02294338","LANTUS (insulin glargine 100 unit per mL solution for injection 3 mL pen) SANOFI-AVENTIS CANADA INC","9001210","insulin glargine 100 unit per mL solution for injection 3 mL pen","8000317","insulin glargine"
"02444852","BASAGLAR KWIKPEN - 60 UNITS PER INJECTION DELIVERY (insulin glargine 100 unit per mL solution for injection 3 mL pen) ELI LILLY CANADA INC","9001210","insulin glargine 100 unit per mL solution for injection 3 mL pen","8000317","insulin glargine"
"77700094","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) TEVA CANADA LIMITED","9000909","amiodarone hydrochloride 150 mg per 3 mL solution for injection vial","8000269","amiodarone"
"77700080","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 150 mg per 3 mL solution for injection vial) SANDOZ CANADA INCORPORATED","9000909","amiodarone hydrochloride 150 mg per 3 mL solution for injection vial","8000269","amiodarone"
"02374684","AMIODARONE SYRINGE (amiodarone hydrochloride 150 mg per 3 mL solution for injection syringe) SANDOZ CANADA INCORPORATED","9001448","amiodarone hydrochloride 150 mg per 3 mL solution for injection syringe","8000269","amiodarone"
"77700081","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 450 mg per 9 mL solution for injection vial) SANDOZ CANADA INCORPORATED","9000910","amiodarone hydrochloride 450 mg per 9 mL solution for injection vial","8000269","amiodarone"
"77700095","AMIODARONE FOR INJECTION 50MG/ML (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) TEVA CANADA LIMITED","9000911","amiodarone hydrochloride 900 mg per 18 mL solution for injection vial","8000269","amiodarone"
"77700082","AMIODARONE HYDROCHLORIDE FOR INJECTION (amiodarone hydrochloride 900 mg per 18 mL solution for injection vial) SANDOZ CANADA INCORPORATED","9000911","amiodarone hydrochloride 900 mg per 18 mL solution for injection vial","8000269","amiodarone"
