ntp_code,ntp_formal_name,ntp_en_description,ntp_fr_description,ntp_status,ntp_status_effective_time,ntp_type
"9000001","meperidine hydrochloride 50 mg oral tablet","NA","NA","Active","19441231","NA"
"9001495","propylthiouracil 100 mg oral tablet","NA","NA","Active","19451231","NA"
"9000002","levothyroxine sodium 50 mcg oral tablet","NA","NA","Active","19511230","NA"
"9000004","epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray","NA","NA","Active","19511231","NA"
"9000006","phenytoin sodium 100 mg oral capsule","NA","NA","Active","19511231","NA"
"9001524","propylthiouracil 50 mg oral tablet","NA","NA","Active","19511231","NA"
"9001529","thiamazole 5 mg oral tablet","NA","NA","Active","19511231","NA"
"9001534","tropicamide 0.5 % ophthalmic drops","NA","NA","Active","19511231","NA"
"9001511","dimenhydrinate 100 mg suppository","NA","NA","Active","19511231","NA"
"9001498","acetylsalicylic acid 325 mg gastro-resistant tablet","NA","NA","Active","19511231","NA"
"9000003","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","NA","NA","Active","19511231","NA"
"9000005","epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule","NA","NA","Active","19511231","NA"
"9001512","dimenhydrinate 15 mg per 5 mL syrup","NA","NA","Active","19511231","NA"
"9000007","phenytoin sodium 30 mg oral capsule","NA","NA","Active","19511231","NA"
"9001500","bacitracin 50000 unit per 10 mL powder for solution for injection","NA","NA","Active","19511231","NA"
"9000008","phenytoin 50 mg oral tablet","NA","NA","Active","19521231","NA"
"9000010","testosterone cypionate 1000 mg per 10 mL solution for injection vial","NA","NA","Active","19531231","NA"
"9012705","dimenhydrinate 50 mg per 1 mL solution for injection vial","NA","NA","Active","19531231","NA"
"9000009","phenytoin 125 mg per 5 mL oral suspension","NA","NA","Active","19531231","NA"
"9000011","hydrocortisone 10 mg oral tablet","NA","NA","Active","19541231","NA"
"9000012","hydrocortisone 20 mg oral tablet","NA","NA","Active","19541231","NA"
"9000013","testosterone enanthate 1000 mg per 5 mL solution for injection ampoule","NA","NA","Active","19551231","NA"
"9000015","methylphenidate hydrochloride 10 mg oral tablet","NA","NA","Active","19561231","NA"
"9000014","hydroxyzine hydrochloride 10 mg per 5 mL syrup","NA","NA","Active","19561231","NA"
"9000018","hydroxychloroquine sulfate 200 mg oral tablet","NA","NA","Active","19571231","NA"
"9000021","warfarin sodium 5 mg oral tablet","NA","NA","Active","19571231","NA"
"9000020","warfarin sodium 1 mg oral tablet","NA","NA","Active","19571231","NA"
"9000019","warfarin sodium 10 mg oral tablet","NA","NA","Active","19571231","NA"
"9001559","phenobarbital 60 mg oral tablet","NA","NA","Active","19571231","NA"
"9012462","chlorambucil 2 mg oral tablet","NA","NA","Active","19571231","NA"
"9001556","phenobarbital 100 mg oral tablet","NA","NA","Active","19571231","NA"
"9001561","spiramycin 750000 unit oral capsule","NA","NA","Active","19571231","NA"
"9001558","phenobarbital 30 mg oral tablet","NA","NA","Active","19571231","NA"
"9001560","spiramycin 1500000 unit oral capsule","NA","NA","Active","19571231","NA"
"9001557","phenobarbital 15 mg oral tablet","NA","NA","Active","19571231","NA"
"9000016","hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet","NA","NA","Active","19571231","NA"
"9001552","acenocoumarol 4 mg oral tablet","NA","NA","Active","19571231","NA"
"9000017","hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension","NA","NA","Active","19571231","NA"
"9000023","methylphenidate hydrochloride 20 mg oral tablet","NA","NA","Active","19581231","NA"
"9001564","bisacodyl 5 mg gastro-resistant tablet","NA","NA","Active","19581231","NA"
"9012518","methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per 1 mL solution for injection ampoule","NA","NA","Active","19581231","NA"
"9001563","bisacodyl 10 mg suppository","NA","NA","Active","19581231","NA"
"9012632","hydrocortisone (hydrocortisone sodium succinate) 100 mg powder for solution for injection with diluent solution per vial","NA","NA","Active","19581231","NA"
"9001571","pilocarpine hydrochloride 40 mg per mL ophthalmic drops","NA","NA","Active","19591231","NA"
"9000025","spironolactone 25 mg oral tablet","NA","NA","Active","19591231","NA"
"9001572","trimeprazine (trimeprazine tartrate) 2.5 mg oral tablet","NA","NA","Active","19591231","NA"
"9000024","prednisone 5 mg oral tablet","NA","NA","Active","19591231","NA"
"968c730542ed9f7ae1303ce84af9411e","pilocarpine hydrochloride 10 mg per mL ophthalmic drops","NA","NA","Active","19591231","NA"
"9001570","pilocarpine hydrochloride 20 mg per mL ophthalmic drops","NA","NA","Active","19591231","NA"
"9001573","trimeprazine (trimeprazine tartrate) 5 mg oral tablet","NA","NA","Active","19591231","NA"
"9001569","chloramphenicol (chloramphenicol sodium succinate) 1 g per vial powder for solution for injection","NA","NA","Active","19591231","NA"
"43e45861b7f2a9057712e00220991383","methylprednisolone acetate 40 mg per 1 mL suspension for injection vial","NA","NA","Active","19601231","NA"
"9001576","ethosuximide 250 mg oral capsule","NA","NA","Active","19601231","NA"
"9000026","medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial","NA","NA","Active","19601231","NA"
"9001578","methylprednisolone 4 mg oral tablet","NA","NA","Active","19601231","NA"
"9009869","hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet","NA","NA","Active","19601231","NA"
"9001584","chlordiazepoxide hydrochloride 5 mg and clidinium bromide 2.5 mg oral capsule","NA","NA","Active","19611231","NA"
"9000028","norethindrone acetate 5 mg oral tablet","NA","NA","Active","19611231","NA"
"9001583","acetaminophen 325 mg oral tablet","NA","NA","Active","19611231","NA"
"9000027","medroxyprogesterone acetate 5 mg oral tablet","NA","NA","Active","19611231","NA"
"e48c3cdc22d398fc16cd49a00c584e08","hydrocortisone (hydrocortisone sodium succinate) 250 mg powder for solution for injection with diluent solution per vial","NA","NA","Active","19621231","NA"
"9001587","acenocoumarol 1 mg oral tablet","NA","NA","Active","19621231","NA"
"9001605","ethosuximide 250 mg per 5 mL syrup","NA","NA","Active","19641231","NA"
"9000032","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet","NA","NA","Active","19641231","NA"
"9000031","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet","NA","NA","Active","19641231","NA"
"7b206a01958c0cf3c6b8e18d993c8e88","melphalan 2 mg oral tablet","NA","NA","Active","19641231","NA"
"ef8a42d4dbfe040044537eec994f6d5d","lincomycin (lincomycin hydrochloride) 300 mg per mL solution for injection","NA","NA","Active","19641231","NA"
"9000034","nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","NA","NA","Active","19651231","NA"
"9001611","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection","NA","NA","Active","19651231","NA"
"9000033","amitriptyline hydrochloride 10 mg oral tablet","NA","NA","Active","19651231","NA"
"9001616","phenobarbital 5 mg per mL oral solution","NA","NA","Active","19651231","NA"
"9000035","nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","NA","NA","Active","19651231","NA"
"9858d52a40b0f31a36dfbfe78b1f9275","hydrocortisone (hydrocortisone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial","NA","NA","Active","19661231","NA"
"9001621","mefenamic acid 250 mg oral capsule","NA","NA","Active","19661231","NA"
"9000039","quinine sulfate 200 mg oral capsule","NA","NA","Active","19661231","NA"
"9000037","dexamethasone 0.1 % ophthalmic ointment","NA","NA","Active","19661231","NA"
"9000040","quinine sulfate 300 mg oral capsule","NA","NA","Active","19661231","NA"
"9000041","triamcinolone acetonide 50 mg per 5 mL suspension for injection vial","NA","NA","Active","19661231","NA"
"9000036","azathioprine 50 mg oral tablet","NA","NA","Active","19661231","NA"
"9012368","ephedrine sulfate 50 mg per 1 mL solution for injection ampoule","NA","NA","Active","19661231","NA"
"9001623","acetylsalicylic acid 650 mg gastro-resistant tablet","NA","NA","Active","19671231","NA"
"9001627","chlorpromazine (chlorpromazine hydrochloride) 50 mg oral tablet","NA","NA","Active","19671231","NA"
"9012631","hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution per vial","NA","NA","Active","19671231","NA"
"9001624","chlorpheniramine maleate 4 mg oral tablet","NA","NA","Active","19671231","NA"
"9001625","chlorpromazine (chlorpromazine hydrochloride) 100 mg oral tablet","NA","NA","Active","19671231","NA"
"9001626","chlorpromazine (chlorpromazine hydrochloride) 25 mg oral tablet","NA","NA","Active","19671231","NA"
"9001628","dimenhydrinate 50 mg oral tablet","NA","NA","Active","19671231","NA"
"9001632","chloroquine diphosphate 250 mg oral tablet","NA","NA","Active","19681231","NA"
"9000045","phenytoin 30 mg per 5 mL oral suspension","NA","NA","Active","19681231","NA"
"9009370","ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection","NA","NA","Active","19681231","NA"
"9000044","hydrochlorothiazide 50 mg oral tablet","NA","NA","Active","19681231","NA"
"9000043","hydrochlorothiazide 25 mg oral tablet","NA","NA","Active","19681231","NA"
"9001639","methylprednisolone 16 mg oral tablet","NA","NA","Active","19681231","NA"
"89f80cad331a3025d9cc632ffe0a148a","methylprednisolone acetate 80 mg per 1 mL suspension for injection vial","NA","NA","Active","19691231","NA"
"9001650","tropicamide 1 % ophthalmic drops","NA","NA","Active","19691231","NA"
"9001640","acetylsalicylic acid 325 mg oral tablet","NA","NA","Active","19691231","NA"
"9000046","amitriptyline hydrochloride 50 mg oral tablet","NA","NA","Active","19691231","NA"
"9001647","periciazine 10 mg oral capsule","NA","NA","Active","19691231","NA"
"9000047","carbamazepine 200 mg oral tablet","NA","NA","Active","19691231","NA"
"9001644","hypromellose 0.5 % ophthalmic drops","NA","NA","Active","19691231","NA"
"9001659","doxepin (doxepin hydrochloride) 50 mg oral capsule","NA","NA","Active","19701231","NA"
"9001654","betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous cream","NA","NA","Active","19701231","NA"
"9000050","metronidazole 10 % vaginal cream","NA","NA","Active","19701231","NA"
"9001653","acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet","NA","NA","Active","19701231","NA"
"9001657","doxepin (doxepin hydrochloride) 10 mg oral capsule","NA","NA","Active","19701231","NA"
"9001663","methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial NA","NA","NA","Active","19701231","NA"
"9000048","clindamycin (clindamycin hydrochloride) 150 mg oral capsule","NA","NA","Active","19701231","NA"
"9001658","doxepin (doxepin hydrochloride) 25 mg oral capsule","NA","NA","Active","19701231","NA"
"9000051","pentazocine (pentazocine hydrochloride) 50 mg oral tablet","NA","NA","Active","19701231","NA"
"9001660","hypromellose 1 % ophthalmic drops","NA","NA","Active","19701231","NA"
"9000560","cephalexin 250 mg per 5 mL oral suspension","NA","NA","Active","19711231","NA"
"9000054","lithium carbonate 300 mg oral capsule","NA","NA","Active","19711231","NA"
"1cd4220bfc15502d9b4bde97cd6632f3","proxymetacaine hydrochloride 0.5 % ophthalmic drops","NA","NA","Active","19711231","NA"
"9002007","ampicillin 500 mg oral capsule","NA","NA","Active","19711231","NA"
"9001676","methylprednisolone (methylprednisolone sodium succinate) 1 g per vial NA","NA","NA","Active","19711231","NA"
"9000559","cephalexin 125 mg per 5 mL oral suspension","NA","NA","Active","19711231","NA"
"9000055","metronidazole 250 mg oral tablet","NA","NA","Active","19711231","NA"
"9002005","ampicillin 250 mg oral capsule","NA","NA","Active","19711231","NA"
"9001686","ethambutol hydrochloride 100 mg oral tablet","NA","NA","Active","19721231","NA"
"9000063","prednisone 50 mg oral tablet","NA","NA","Active","19721231","NA"
"9010878","nitroglycerin 0.6 mg sublingual tablet","NA","NA","Active","19721231","NA"
"9001687","ethambutol hydrochloride 400 mg oral tablet","NA","NA","Active","19721231","NA"
"9000062","norethindrone 0.35 mg oral tablet","NA","NA","Active","19721231","NA"
"9000056","amitriptyline hydrochloride 25 mg oral tablet","NA","NA","Active","19721231","NA"
"9010874","nitroglycerin 0.3 mg sublingual tablet","NA","NA","Active","19721231","NA"
"9001688","fluorometholone 0.1 % ophthalmic drops","NA","NA","Active","19721231","NA"
"9000058","clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution","NA","NA","Active","19721231","NA"
"9001681","betamethasone (betamethasone valerate) 1 mg per g and gentamicin (gentamicin sulfate) 1 mg per g cutaneous ointment","NA","NA","Active","19721231","NA"
"9000059","ibuprofen 200 mg oral tablet","NA","NA","Active","19721231","NA"
"9000057","cephalexin 500 mg oral tablet","NA","NA","Active","19721231","NA"
"9012704","dimenhydrinate 50 mg per 1 mL solution for injection ampoule","NA","NA","Active","19731231","NA"
"9000065","clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial","NA","NA","Active","19731231","NA"
"9000071","triamcinolone acetonide 200 mg per 5 mL suspension for injection vial","NA","NA","Active","19731231","NA"
"9000070","oxycodone hydrochloride 20 mg suppository","NA","NA","Active","19731231","NA"
"9000067","clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial","NA","NA","Active","19731231","NA"
"9001700","cortisone acetate 25 mg oral tablet","NA","NA","Active","19731231","NA"
"9012703","dimenhydrinate 250 mg per 5 mL solution for injection vial","NA","NA","Active","19731231","NA"
"9012701","dimenhydrinate 10 mg per 1 mL solution for injection ampoule","NA","NA","Active","19731231","NA"
"9012702","dimenhydrinate 10 mg per 1 mL solution for injection vial","NA","NA","Active","19731231","NA"
"9000064","clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial","NA","NA","Active","19731231","NA"
"9006264","clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 60 mL vial","NA","NA","Active","19731231","NA"
"9000069","oxycodone hydrochloride 10 mg suppository","NA","NA","Active","19731231","NA"
"9000072","triamcinolone acetonide 40 mg per 1 mL suspension for injection vial","NA","NA","Active","19731231","NA"
"9001698","clomipramine hydrochloride 25 mg oral tablet","NA","NA","Active","19731231","NA"
"9000082","prednisolone acetate 1 % ophthalmic drops","NA","NA","Active","19741231","NA"
"9001711","chlorpropamide 250 mg oral tablet","NA","NA","Active","19741231","NA"
"9001712","colistin (colistimethate sodium) 150 mg per vial powder for solution for injection","NA","NA","Active","19741231","NA"
"9000081","prednisolone acetate 0.12 % ophthalmic drops","NA","NA","Active","19741231","NA"
"9009388","ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet","NA","NA","Active","19741231","NA"
"9000079","nitrofurantoin 100 mg oral tablet","NA","NA","Active","19741231","NA"
"9001718","metolazone 2.5 mg oral tablet","NA","NA","Active","19741231","NA"
"9000073","allopurinol 300 mg oral tablet","NA","NA","Active","19741231","NA"
