ntp_code,ntp_formal_name,ntp_status,ntp_type,ntp_status_effective_time,tm_is_publishable
"9004832","enalapril maleate 10 mg and hydrochlorothiazide 25 mg oral tablet","Active",NA,"20110224","f"
"9004832","enalapril maleate 10 mg and hydrochlorothiazide 25 mg oral tablet","Active","NA","19901231","f"
"9000464","enalapril maleate 10 mg oral tablet","Active","NA","19871231","f"
"9000464","enalapril maleate 10 mg oral tablet","Active",NA,"19931231","f"
"9000466","enalapril maleate 2.5 mg oral tablet","Active","NA","20071017","f"
"9000466","enalapril maleate 2.5 mg oral tablet","Active",NA,"19931231","f"
"9000465","enalapril maleate 20 mg oral tablet","Active","NA","19871231","f"
"9000465","enalapril maleate 20 mg oral tablet","Active",NA,"19931231","f"
"9000467","enalapril maleate 5 mg oral tablet","Active",NA,"19931231","f"
"9000467","enalapril maleate 5 mg oral tablet","Active","NA","19871231","f"
