mp_code,mp_formal_name,changes
"00009881","PAPAVERINE HYDROCHLORIDE INJECTION USP (papaverine hydrochloride 65 mg per 2 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ntp_code: ""f4f3a7f4ac46f0bad9d62df28e799c64"" -> ""9013494""
tm_code: ""61d00b2d469e5bc6eff454ae7d691f76"" -> ""8002052"""
"00012750","MATULANE (procarbazine (procarbazine hydrochloride) 50 mg oral capsule) LEADIANT BIOSCIENCES, INC","tm_code: ""bb702b37ac3b28af13ba2c958c419dfa"" -> ""8002080"""
"00012882","FLUOROURACIL INJECTION (fluorouracil 50 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","DELETED"
"00013617","OVOL DROPS 40MG (simethicone 40 mg per mL oral drops) CHURCH & DWIGHT CANADA CORP","ADDED"
"00038016","MANNITOL INJECTION USP (mannitol 200 mg per mL solution for injection) ICU MEDICAL CANADA INC","ADDED"
"00038024","MANNITOL INJECTION USP (mannitol 12.5 g per 50 mL solution for injection) PFIZER CANADA ULC","ADDED"
"00038083","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 75 mg per mL solution for injection) PFIZER CANADA ULC","ADDED"
"00039373","UROLOGIC G FOR IRRIGATION (citric acid 32.4 mg per mL and magnesium oxide 3.8 mg per mL and sodium carbonate (anhydrous) 4.3 mg per mL irrigation solution) ICU MEDICAL CANADA INC","ADDED"
"00042676","MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg per mL and polymyxin b sulfate 6000 unit per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC""
ntp_code: ""9001594"" -> ""7f8f625c99bca836c46713f157b4501d""
ntp_formal_name: ""dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops"" -> ""dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg per mL and polymyxin b sulfate 6000 unit per mL ophthalmic drops"""
"00050466","METHYLENE BLEU LIQ 1% (methylene blue 1 % oral liquid) LABORATOIRE ATLAS INC","ADDED"
"00050474","METHYLENE BLEU LIQ 2% (methylene blue 2 % oral liquid) LABORATOIRE ATLAS INC","ADDED"
"00050520","MINERALE LEGERE HUILE (mineral oil 100 % cutaneous liquid) LABORATOIRE ATLAS INC","ADDED"
"00050857","GENTIANE VIOLET LIQ TOP (gentian violet 1 % cutaneous liquid) LABORATOIRE ATLAS INC","ADDED"
"00060410","OSMITROL 10% INJ USP (mannitol 10 g per 100 mL solution for injection) BAXTER CORPORATION","ADDED"
"00060437","OSMITROL 20% INJ USP (mannitol 20 g per 100 mL solution for injection) BAXTER CORPORATION","ADDED"
"00107875","FLEET ENEMA MINERAL OIL (mineral oil 100 % rectal liquid) C B FLEET COMPANY INC","ADDED"
"00116815","DIOVOL PLUS SUSPENSION (aluminum hydroxide (dried aluminum hydroxide gel) 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL oral suspension) CHURCH & DWIGHT CANADA CORP","ADDED"
"00116882","DIOVOL PLUS TABLETS (aluminum hydroxide-magnesium carbonate-co dried gel 300 mg and magnesium hydroxide 100 mg and simethicone 25 mg oral tablet) CHURCH & DWIGHT CANADA CORP","ADDED"
"00195057","NEO-MEDROL ACNE LOTION (aluminum chlorohydrate 100 mg per mL and methylprednisolone acetate 2.5 mg per mL and neomycin sulfate 2.5 mg per mL and sulfur 50 mg per mL lotion) PFIZER CANADA ULC","ADDED"
"00202045","MAGNOLAX (magnesium hydroxide 60 mg per mL and mineral oil 0.25 mL per mL oral emulsion) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00210889","REFRESH LACRI-LUBE (mineral oil 42.5 % and white petrolatum 57.3 % ophthalmic ointment) ALLERGAN INC","ADDED"
"00221570","CERUMOL (chlorobutanol 5 % per 11 mL and dichlorobenzene 2 % per 11 mL and oil of turpentine 10 % per 11 mL and peanut oil 57 % per 11 mL otic drops) THORNTON & ROSS LTD","ADDED"
"00224391","KETALAR (ketamine (ketamine hydrochloride) 200 mg per 20 mL solution for injection vial) ERFA CANADA 2012 INC","ntp_code: ""14d40d8c905e3cde0f5269cfa435da6b"" -> ""9013445""
tm_code: ""6f5fa36f1bb43b6c19a7f15cc04ff0c4"" -> ""8002028"""
"00224405","KETALAR (ketamine (ketamine hydrochloride) 500 mg per 10 mL solution for injection vial) ERFA CANADA 2012 INC","ntp_code: ""c34e718d56134b1290aeb182a7a70640"" -> ""9013446""
tm_code: ""6f5fa36f1bb43b6c19a7f15cc04ff0c4"" -> ""8002028"""
"00261971","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 42 mg per mL solution for injection) PFIZER CANADA ULC","ADDED"
"00261998","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 84 mg per mL solution for injection) PFIZER CANADA ULC","ADDED"
"00263818","COTAZYM (amylase 40000 unit and lipase 10000 unit and protease 35000 unit oral capsule) MERCK CANADA INC","ADDED"
"00266493","TARDAN SHP (coal tar 5 % and salicylic acid 2 % and triclosan 0.3 % shampoo) ODAN LABORATORIES LTD","ADDED"
"00292990","OVOL FOR GAS 80 MG TABLET (simethicone 80 mg oral tablet) CHURCH & DWIGHT CANADA CORP","ADDED"
"00299561","CREO-RECTAL ADULTE (camphor 5 mg and diphenylpyraline hydrochloride 1.5 mg and guaiacol carbonate 600 mg suppository) SANDOZ CANADA INCORPORATED","ADDED"
"00299596","CREO-RECTAL ENFANTS/CHILDREN (camphor 2 mg and diphenylpyraline hydrochloride 0.5 mg and guaiacol carbonate 200 mg suppository) SANDOZ CANADA INCORPORATED","ADDED"
"00307246","BLEPHAMIDE OPH ONT (prednisolone acetate 0.2 % and sulfacetamide sodium 10 % ophthalmic ointment) ALLERGAN INC","tm_code: ""8000810"" -> ""4b730ac8c99cf0ee074537d7a0d37e92""
tm_formal_name: ""prednisolone and sulfacetamide sodium"" -> ""prednisolone and sulfacetamide"""
"00319716","DEMO-CINEOL ADULTES/ADULTS (camphor 40 mg and eucalyptol 370 mg and guaiacol 180 mg and guaiacol carbonate 200 mg suppository) SANDOZ CANADA INCORPORATED","ADDED"
"00319724","DEMO-CINEOL ENFANTS/CHILDREN (camphor 20 mg and eucalyptol 185 mg and guaiacol 90 mg and guaiacol carbonate 100 mg suppository) SANDOZ CANADA INCORPORATED","ADDED"
"00344508","TARGEL (coal tar 10 % cutaneous gel) ODAN LABORATORIES LTD","ADDED"
"00358177","MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per g ophthalmic ointment) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per g ophthalmic ointment) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg per g and polymyxin b sulfate 6000 unit per g ophthalmic ointment) NOVARTIS PHARMACEUTICALS CANADA INC""
ntp_code: ""9001656"" -> ""0e5c0e0ab1dd219d7bc3fbb399ea5045""
ntp_formal_name: ""dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per g ophthalmic ointment"" -> ""dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg per g and polymyxin b sulfate 6000 unit per g ophthalmic ointment"""
"00358495","ODANS LIQUOR CARBONIS DETERGENS (coal tar 20 % cutaneous liquid) ODAN LABORATORIES LTD","ADDED"
"00362158","APO DIAZEPAM TAB 5MG (diazepam 5 mg oral tablet) APOTEX INC","mp_formal_name: ""APO DIAZEPAM TAB 5MG (diazepam 5 mg oral tablet) APOTEX INC"" -> ""APO-DIAZEPAM (diazepam 5 mg oral tablet) APOTEX INC"""
"00373435","DETTOL (chloroxylenol 4.8 % cutaneous solution) RECKITT BENCKISER (CANADA) INC","ntp_code: ""604c9213cd9366abbbfb83b23b5632d5"" -> ""9013425"""
"00392618","MAGNESIUM SULFATE INJ 20% USP (magnesium sulfate 2000 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ntp_code: ""86c504385866a5b026d61e59ddf66b7f"" -> ""9013455"""
"00393711","ISOCAINE HCL INJ 2% (corbadrine 0.05 mg per mL and mepivacaine hydrochloride 20 mg per mL solution for injection 1.8 mL cartridge) NOVOCOL PHARMACEUTICAL OF CANADA INC","ntp_code: ""eb88c38dc296d811591844d26d0f18a9"" -> ""9013430"""
"00405329","APO DIAZEPAM TAB 2MG (diazepam 2 mg oral tablet) APOTEX INC","mp_formal_name: ""APO DIAZEPAM TAB 2MG (diazepam 2 mg oral tablet) APOTEX INC"" -> ""APO-DIAZEPAM (diazepam 2 mg oral tablet) APOTEX INC"""
"00405337","APO DIAZEPAM TAB 10MG (diazepam 10 mg oral tablet) APOTEX INC","mp_formal_name: ""APO DIAZEPAM TAB 10MG (diazepam 10 mg oral tablet) APOTEX INC"" -> ""APO-DIAZEPAM (diazepam 10 mg oral tablet) APOTEX INC"""
"00436895","BALMINIL DM (dextromethorphan hydrobromide 3 mg per mL syrup) TEVA CANADA LIMITED","mp_formal_name: ""BALMINIL DM (dextromethorphan hydrobromide 3 mg per mL syrup) TEVA CANADA LIMITED"" -> ""BALMINIL DM (dextromethorphan hydrobromide 15 mg per 5 mL syrup) TEVA CANADA LIMITED""
ntp_code: ""9001833"" -> ""9001832""
ntp_formal_name: ""dextromethorphan hydrobromide 3 mg per mL syrup"" -> ""dextromethorphan hydrobromide 15 mg per 5 mL syrup"""
"00438898","FORMULE C34 (piperazine 100 mg per mL oral liquid) HERBAGES NATURBEC LTÉE.","tm_code: ""186848cd35b57ba3df57e89f4cc16ca0"" -> ""8002068"""
"00479896","XYLONOR GEL (cetrimonium bromide 150 mg per 100 g and lidocaine 5 g per 100 g cutaneous gel) SEPTODONT","ADDED"
"00485802","MINERAL OIL (mineral oil 100 % oral liquid) TEVA CANADA LIMITED","ADDED"
"00493392","RIMSO-50 (dimethyl sulfoxide 500 mg per g intravesical solution) MYLAN PHARMACEUTICALS ULC","ADDED"
"00498807","SORBITOL MANNITOL IRRIGATION (mannitol 5.4 mg per mL and sorbitol 27 mg per mL irrigation solution) ICU MEDICAL CANADA INC","ADDED"
"00502790","COTAZYM ECS 8 (amylase 42000 unit and lipase 10800 unit and protease 45000 unit gastro-resistant capsule) MERCK CANADA INC","ADDED"
"00507415","DAN-GARD (pyrithione zinc 2 % shampoo) VALEO PHARMA INC","tm_code: ""647dcc565c500520bdb4688b72edeb64"" -> ""8002085"""
"00510335","TARGEL SA (coal tar 10 % and salicylic acid 3 % cutaneous liquid) ODAN LABORATORIES LTD","ADDED"
"00514012","VOLTAREN TAB 50MG (diclofenac sodium 50 mg gastro-resistant tablet) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN TAB 50MG (diclofenac sodium 50 mg gastro-resistant tablet) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN (diclofenac sodium 50 mg gastro-resistant tablet) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00521515","VITAMIN B12 (vitamin B12 1 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","DELETED"
"00524484","VASELINE BABY PETROLEUM JELLY (white petrolatum 99.96 % cutaneous ointment) UNILEVER CANADA","DELETED"
"00545279","FRIAR'S BALSAM BENZOIN TINCTURE (aloe 2 g per 100 mL and benzoin 10 g per 100 mL and myroxylon balsamum 4 g per 100 mL and storax 8 g per 100 mL inhalation solution) TEVA CANADA LIMITED","tm_code: ""4e0bec19c1aa36640e0bd7ab98de68fc"" -> ""8002007"""
"00551805","SECARIS (macrogol 15 % and propylene glycol 20 % nasal gel) PENDOPHARM DIVISION OF PHARMASCIENCE INC","ADDED"
"00569046","TRACE ELEMENTS INJECTION USP (chromic chloride 30 mcg per 5 mL and cupric chloride 2.1 mg per 5 mL and manganese chloride 1.85 mg per 5 mL and zinc chloride 8.35 mg per 5 mL solution for injection vial) PFIZER CANADA ULC","ntp_code: ""272069c65183b1df9ae2c9f020154c50"" -> ""9013426"""
"00578479","FLURAZEPAM 15 (flurazepam hydrochloride 15 mg oral capsule) PRO DOC LIMITEE","ADDED"
"00578487","FLURAZEPAM 30 (flurazepam hydrochloride 30 mg oral capsule) PRO DOC LIMITEE","ADDED"
"00579408","TEARS PLUS 1.4% (polyvinyl alcohol 1.4 % ophthalmic drops) ALLERGAN INC","tm_code: ""9f225385ea8672956ec4f267fb98be39"" -> ""8002073"""
"00590827","VOLTAREN SR TAB 100MG (diclofenac sodium 100 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN SR TAB 100MG (diclofenac sodium 100 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN SR (diclofenac sodium 100 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00607789","RATIO-HEMCORT-HC (hydrocortisone acetate 5 mg per g and zinc sulfate 5 mg per g rectal ointment) TEVA CANADA LIMITED","mp_formal_name: ""RATIO-HEMCORT-HC (hydrocortisone acetate 5 mg per g and zinc sulfate 5 mg per g rectal ointment) TEVA CANADA LIMITED"" -> ""RATIO-HEMCORT-HC (hydrocortisone acetate 0.5 % and zinc sulfate 0.5 % rectal ointment) TEVA CANADA LIMITED""
ntp_code: ""9002026"" -> ""9001911""
ntp_formal_name: ""hydrocortisone acetate 5 mg per g and zinc sulfate 5 mg per g rectal ointment"" -> ""hydrocortisone acetate 0.5 % and zinc sulfate 0.5 % rectal ointment"""
"00608734","LANSOYL GEL 78% (mineral oil 78 % oral gel) AURIUM PHARMA INC","ADDED"
"00623709","STOMAAX PLUS (aluminum hydroxide 200 mg per 5 mL and dimethicone 25 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL oral suspension) LABORATOIRE ATLAS INC","ADDED"
"00632724","VOLTAREN SUP 50MG (diclofenac sodium 50 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN SUP 50MG (diclofenac sodium 50 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN (diclofenac sodium 50 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00632732","VOLTAREN SUP 100MG (diclofenac sodium 100 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN SUP 100MG (diclofenac sodium 100 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN (diclofenac sodium 100 mg suppository) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00637661","BETAGAN 0.5% OPHTHALMIC SOL (levobunolol hydrochloride 5 mg per mL ophthalmic drops) ALLERGAN INC","mp_formal_name: ""BETAGAN 0.5% OPHTHALMIC SOL (levobunolol hydrochloride 5 mg per mL ophthalmic drops) ALLERGAN INC"" -> ""BETAGAN 0.5% OPHTHALMIC SOL (levobunolol hydrochloride 0.5 % ophthalmic drops) ALLERGAN INC""
ntp_code: ""9002050"" -> ""9002836""
ntp_formal_name: ""levobunolol hydrochloride 5 mg per mL ophthalmic drops"" -> ""levobunolol hydrochloride 0.5 % ophthalmic drops"""
"00654531","TRYPTAN TAB 1000MG (tryptophan 1 g oral tablet) VALEANT CANADA LP/VALEANT CANADA S.E.C.","ADDED"
"00657298","VASERETIC (enalapril sodium 8 mg and hydrochlorothiazide 25 mg oral tablet) MERCK CANADA INC","mp_formal_name: ""VASERETIC (enalapril sodium 8 mg and hydrochlorothiazide 25 mg oral tablet) MERCK CANADA INC"" -> ""VASERETIC (enalapril maleate 10 mg and hydrochlorothiazide 25 mg oral tablet) MERCK CANADA INC""
ntp_code: ""9002301"" -> ""9004832""
ntp_formal_name: ""enalapril sodium 8 mg and hydrochlorothiazide 25 mg oral tablet"" -> ""enalapril maleate 10 mg and hydrochlorothiazide 25 mg oral tablet"""
"00666114","SEBCUR-T (coal tar 10 % and salicylic acid 4 % shampoo) DERMTEK PHARMA INC","ADDED"
"00670901","VASOTEC (enalapril sodium 8 mg oral tablet) MERCK CANADA INC","mp_formal_name: ""VASOTEC (enalapril sodium 8 mg oral tablet) MERCK CANADA INC"" -> ""VASOTEC (enalapril maleate 10 mg oral tablet) MERCK CANADA INC""
ntp_code: ""9000271"" -> ""9000464""
ntp_formal_name: ""enalapril sodium 8 mg oral tablet"" -> ""enalapril maleate 10 mg oral tablet"""
"00670928","VASOTEC (enalapril sodium 16 mg oral tablet) MERCK CANADA INC","mp_formal_name: ""VASOTEC (enalapril sodium 16 mg oral tablet) MERCK CANADA INC"" -> ""VASOTEC (enalapril maleate 20 mg oral tablet) MERCK CANADA INC""
ntp_code: ""9000269"" -> ""9000465""
ntp_formal_name: ""enalapril sodium 16 mg oral tablet"" -> ""enalapril maleate 20 mg oral tablet"""
"00674354","COLLYRE BLEU LAITER (methylene blue 0.2 mg per mL and naphazoline nitrate 0.5 mg per mL ophthalmic drops) BIOCODEX SA","ADDED"
"00691623","BICARBONATE CONCENTRATE D17000 (sodium bicarbonate 81.3 g per l solution for haemodialysis) BAXTER CORPORATION","ADDED"
"00704172","HUILE MINERALE LOURDE LIQ 100% USP (mineral oil 100 % oral liquid) LABORATOIRE ATLAS INC","ADDED"
"00708879","VASOTEC (enalapril sodium 4 mg oral tablet) MERCK CANADA INC","mp_formal_name: ""VASOTEC (enalapril sodium 4 mg oral tablet) MERCK CANADA INC"" -> ""VASOTEC (enalapril maleate 5 mg oral tablet) MERCK CANADA INC""
ntp_code: ""9000270"" -> ""9000467""
ntp_formal_name: ""enalapril sodium 4 mg oral tablet"" -> ""enalapril maleate 5 mg oral tablet"""
"00711306","PHOSPHATE DE POTASSIUM MONOBASIC INJ 176MG/ML (potassium phosphate monobasic 176 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","ADDED"
"00718149","TRYPTAN CAP 500MG (tryptophan 500 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.","ADDED"
"00740861","DRIXORAL DECONGESTANT NASAL SPRAY (oxymetazoline hydrochloride 0.05 % nasal spray) BAYER INC","tm_code: ""dfe6c1ec84ce1a1157e9fa618a3b1b03"" -> ""7c0121d2d43488d192f1cefc7dfe512a""
tm_formal_name: ""oxymetazoline hydrochloride"" -> ""oxymetazoline"""
"00743445","TEARS NATURALE II (dextran 70 0.1 % and hypromellose 0.3 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00774995","800 SODIUM BICARBONATE POWDER (sodium bicarbonate 650 g per 8 l powder for concentrate for solution for haemodialysis) BAXTER CORPORATION","ADDED"
"00782459","VOLTAREN SR 75 TAB (diclofenac sodium 75 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","mp_formal_name: ""VOLTAREN SR 75 TAB (diclofenac sodium 75 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"" -> ""VOLTAREN SR (diclofenac sodium 75 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC"""
"00783668","GLYCEROLYTE 57 SOLUTION (glycerin 57 g per 100 mL and potassium chloride 30 mg per 100 mL and sodium lactate 1.6 g per 100 mL and sodium phosphate dibasic 124.2 mg per 100 mL and sodium phosphate monobasic 51.7 mg per 100 mL anticoagulant and preservative solution for blood) FRESENIUS KABI AG","ADDED"
"00786047","JAA PYRAL 35 TABLET 35MG (pyrantel (pyrantel pamoate) 35 mg oral tablet) JAAPHARM CANADA INC.","tm_code: ""e75b16dbfc7919fe19396a251340f900"" -> ""8002084"""
