rc_formal_name,formal_name,mp_code
"ONCASPAR (pegaspargase 3750 unit per 5 mL solution for injection vial) SERVIER CANADA INC","ONCASPAR (pegaspargase 3750 unit per 5 mL solution for injection vial) SHIRE PHARMA CANADA ULC","02461900"
"ACT OLANZAPINE ODT (olanzapine 15 mg orodispersible tablet) TEVA CANADA LIMITED","ACT OLANZAPINE ODT (olanzapine 15 mg orodispersible tablet) ACTAVIS PHARMA COMPANY","02327589"
"RIVA-ZOPICLONE (zopiclone 7.5 mg oral tablet) LABORATOIRE RIVA INC","RIVA ZOPICLONE (zopiclone 7.5 mg oral tablet) LABORATOIRE RIVA INC","02278049"
"DIAZEPAM (diazepam 10 mg oral tablet) AA PHARMA INC","APO-DIAZEPAM (diazepam 10 mg oral tablet) APOTEX INC","00405337"
"DIAZEPAM (diazepam 2 mg oral tablet) AA PHARMA INC","APO-DIAZEPAM (diazepam 2 mg oral tablet) APOTEX INC","00405329"
"COUGH PLUS COLD RELIEF SYRUP (dextromethorphan hydrobromide 15 mg per 5 mL and guaifenesin 100 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL syrup) CELLCHEM PHARMACEUTICALS INC.","COUGH PLUS COLD RELIEF SYRUP (dextromethorphan hydrobromide 15 mg per 5 mL and guaifenesin 100 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL syrup) PHARMETICS (2011) INC","02263114"
"EXTRA STRENGTH COUGH PLUS COLD RELIEF SYRUP (dextromethorphan hydrobromide 15 mg per 5 mL and guaifenesin 200 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL syrup) CELLCHEM PHARMACEUTICALS INC.","EXTRA STRENGTH COUGH PLUS COLD RELIEF SYRUP (dextromethorphan hydrobromide 15 mg per 5 mL and guaifenesin 200 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL syrup) PHARMETICS (2011) INC","02263122"
"THYROGEN (thyrotropin alfa 0.9 mg per mL powder for solution for injection) SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC","THYROGEN (thyrotropin alfa 0.9 mg per vial powder for solution for injection) SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC","02246016"
"VANCOCIN (vancomycin (vancomycin hydrochloride) 250 mg oral capsule) SEARCHLIGHT PHARMA INC","VANCOCIN (vancomycin (vancomycin hydrochloride) 250 mg oral capsule) MERUS LABS INTERNATIONAL INC","00788716"
"VANCOCIN (vancomycin (vancomycin hydrochloride) 125 mg oral capsule) SEARCHLIGHT PHARMA INC","VANCOCIN (vancomycin (vancomycin hydrochloride) 125 mg oral capsule) MERUS LABS INTERNATIONAL INC","00800430"
