mp_code,mp_formal_name,ntp_code,ntp_formal_name,tm_code,tm_formal_name
"02471051","TARO-DIPYRIDAMOLE/ ASA (acetylsalicylic acid 25 mg and dipyridamole 200 mg modified-release oral capsule) TARO PHARMACEUTICALS INC","9012774","acetylsalicylic acid 25 mg and dipyridamole 200 mg modified-release oral capsule","8000916","acetylsalicylic acid and dipyridamole"
"02215187","CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL (alprostadil 20 mcg per vial powder for solution for injection) PFIZER CANADA ULC","9013032","alprostadil 20 mcg per vial powder for solution for injection","8001431","alprostadil"
"02477963","AG-AMITRIPTYLINE (amitriptyline hydrochloride 10 mg oral tablet) ANGITA PHARMA INC.","9000033","amitriptyline hydrochloride 10 mg oral tablet","8000024","amitriptyline"
"02477971","AG-AMITRIPTYLINE (amitriptyline hydrochloride 25 mg oral tablet) ANGITA PHARMA INC.","9000056","amitriptyline hydrochloride 25 mg oral tablet","8000024","amitriptyline"
"02477998","AG-AMITRIPTYLINE (amitriptyline hydrochloride 50 mg oral tablet) ANGITA PHARMA INC.","9000046","amitriptyline hydrochloride 50 mg oral tablet","8000024","amitriptyline"
"02476479","NRA-AMLODIPINE (amlodipine (amlodipine besylate) 10 mg oral tablet) NORA PHARMA INC","9000398","amlodipine (amlodipine besylate) 10 mg oral tablet","8000153","amlodipine"
"02476452","NRA-AMLODIPINE (amlodipine (amlodipine besylate) 2.5 mg oral tablet) NORA PHARMA INC","9001277","amlodipine (amlodipine besylate) 2.5 mg oral tablet","8000153","amlodipine"
"02476460","NRA-AMLODIPINE (amlodipine (amlodipine besylate) 5 mg oral tablet) NORA PHARMA INC","9000399","amlodipine (amlodipine besylate) 5 mg oral tablet","8000153","amlodipine"
"02474921","PROBUPHINE (buprenorphine hydrochloride 80 mg implant) KNIGHT THERAPEUTICS INC.","392ffefd2e0a68158a0b5158924b4fd5","buprenorphine hydrochloride 80 mg implant","8000775","buprenorphine"
"02467976","DEXMEDETOMIDINE HYDROCHLORIDE FOR INJECTION (dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 2 mL solution for injection vial) MDA INC.","9012485","dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 2 mL solution for injection vial","8001118","dexmedetomidine"
"02413469","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet) PHARMASCIENCE INC","9000462","diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet","8000180","diclofenac and misoprostol"
"02413477","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet) PHARMASCIENCE INC","9000668","diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet","8000180","diclofenac and misoprostol"
"00400750","SINEQUAN (doxepin (doxepin hydrochloride) 75 mg oral capsule) AA PHARMA INC","9002459","doxepin (doxepin hydrochloride) 75 mg oral capsule","8001263","doxepin"
"02480131","COVERGIRL TRUBLEND BASE BUSINESS SKIN PRIMER BASE POUR LA PEAU (ensulizole 3 % cutaneous emulsion) HFC PRESTIGE INTERNATIONAL CANADA INC","9005130","ensulizole 3 % cutaneous emulsion","8001643","ensulizole"
"02476878","NRA-ESCITALOPRAM (escitalopram (escitalopram oxalate) 20 mg oral tablet) NORA PHARMA INC","9001103","escitalopram (escitalopram oxalate) 20 mg oral tablet","8000346","escitalopram"
"02481669","NRA-EZETIMIBE (ezetimibe 10 mg oral tablet) NORA PHARMA INC","9001031","ezetimibe 10 mg oral tablet","8000326","ezetimibe"
"02482533","GILENYA (fingolimod (fingolimod hydrochloride) 0.25 mg oral capsule) NOVARTIS PHARMACEUTICALS CANADA INC","a09b1911ac4003180a73bdead9cd85cc","fingolimod (fingolimod hydrochloride) 0.25 mg oral capsule","8001775","fingolimod"
"02479486","SANDOZ FLUOXETINE (fluoxetine (fluoxetine hydrochloride) 10 mg oral capsule) SANDOZ CANADA INCORPORATED","9000469","fluoxetine (fluoxetine hydrochloride) 10 mg oral capsule","8000128","fluoxetine"
"02479494","SANDOZ FLUOXETINE (fluoxetine (fluoxetine hydrochloride) 20 mg oral capsule) SANDOZ CANADA INCORPORATED","9000325","fluoxetine (fluoxetine hydrochloride) 20 mg oral capsule","8000128","fluoxetine"
"02460130","TEVA-FULVESTRANT INJECTION (fulvestrant 250 mg per 5 mL solution for injection syringe) TEVA CANADA LIMITED","9013139","fulvestrant 250 mg per 5 mL solution for injection syringe","8001783","fulvestrant"
"02483831","ORKAMBI (ivacaftor 125 mg per sachet and lumacaftor 100 mg per sachet granules for oral suspension) VERTEX PHARMACEUTICALS (CANADA) INCORPORATED","6c7ab5075a073ead632e9c4e6215ca08","ivacaftor 125 mg per sachet and lumacaftor 100 mg per sachet granules for oral suspension","8001664","ivacaftor and lumacaftor"
"02483858","ORKAMBI (ivacaftor 188 mg per sachet and lumacaftor 150 mg per sachet granules for oral suspension) VERTEX PHARMACEUTICALS (CANADA) INCORPORATED","8eb9b6fb9861eb8b033ce2253a3fb555","ivacaftor 188 mg per sachet and lumacaftor 150 mg per sachet granules for oral suspension","8001664","ivacaftor and lumacaftor"
"02481324","AG-METOPROLOL-L (metoprolol tartrate 100 mg oral tablet) ANGITA PHARMA INC.","9000100","metoprolol tartrate 100 mg oral tablet","8000063","metoprolol"
"02481308","AG-METOPROLOL-L (metoprolol tartrate 25 mg oral tablet) ANGITA PHARMA INC.","9001001","metoprolol tartrate 25 mg oral tablet","8000063","metoprolol"
"02481316","AG-METOPROLOL-L (metoprolol tartrate 50 mg oral tablet) ANGITA PHARMA INC.","9000101","metoprolol tartrate 50 mg oral tablet","8000063","metoprolol"
"728066906d31ffabb19459192ced36b4","MILRINONE LACTATE INJECTION (milrinone (milrinone lactate) 10 mg per 10 mL solution for injection vial) AURO PHARMA INC","9013234","milrinone (milrinone lactate) 10 mg per 10 mL solution for injection vial","8001859","milrinone"
"61bdfff47088c49fa7629633e8197fae","MILRINONE LACTATE INJECTION (milrinone (milrinone lactate) 20 mg per 20 mL solution for injection vial) AURO PHARMA INC","9013235","milrinone (milrinone lactate) 20 mg per 20 mL solution for injection vial","8001859","milrinone"
"02478889","SANDOZ MORPHINE SR (morphine sulfate 100 mg prolonged-release oral tablet) SANDOZ CANADA INCORPORATED","9000475","morphine sulfate 100 mg prolonged-release oral tablet","8000071","morphine"
"02478897","SANDOZ MORPHINE SR (morphine sulfate 200 mg prolonged-release oral tablet) SANDOZ CANADA INCORPORATED","9000478","morphine sulfate 200 mg prolonged-release oral tablet","8000071","morphine"
"02481588","AG-PANTOPRAZOLE SODIUM (pantoprazole (pantoprazole sodium sesquihydrate) 40 mg gastro-resistant tablet) ANGITA PHARMA INC.","9000706","pantoprazole (pantoprazole sodium) 40 mg gastro-resistant tablet","8000236","pantoprazole"
"02479753","NRA-PAROXETINE (paroxetine (paroxetine hydrochloride hemihydrate) 10 mg oral tablet) NORA PHARMA INC","9000697","paroxetine (paroxetine hydrochloride) 10 mg oral tablet","8000185","paroxetine"
"02479761","NRA-PAROXETINE (paroxetine (paroxetine hydrochloride hemihydrate) 20 mg oral tablet) NORA PHARMA INC","9000487","paroxetine (paroxetine hydrochloride) 20 mg oral tablet","8000185","paroxetine"
"02479788","NRA-PAROXETINE (paroxetine (paroxetine hydrochloride hemihydrate) 30 mg oral tablet) NORA PHARMA INC","9000488","paroxetine (paroxetine hydrochloride) 30 mg oral tablet","8000185","paroxetine"
"02481677","AG-PERINDOPRIL (perindopril erbumine 2 mg oral tablet) ANGITA PHARMA INC.","9000539","perindopril erbumine 2 mg oral tablet","8000206","perindopril"
"02481685","AG-PERINDOPRIL (perindopril erbumine 4 mg oral tablet) ANGITA PHARMA INC.","9000540","perindopril erbumine 4 mg oral tablet","8000206","perindopril"
"02481693","AG-PERINDOPRIL (perindopril erbumine 8 mg oral tablet) ANGITA PHARMA INC.","9001051","perindopril erbumine 8 mg oral tablet","8000206","perindopril"
"02243325","APO-PROPAFENONE (propafenone hydrochloride 300 mg oral tablet) APOTEX INC","9002155","propafenone hydrochloride 300 mg oral tablet","8001417","propafenone"
"02469774","ROCURONIUM BROMIDE INJECTION (rocuronium bromide 50 mg per 5 mL solution for injection vial) MDA INC.","9013325","rocuronium bromide 50 mg per 5 mL solution for injection vial","8001924","rocuronium"
"02477041","AG-ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 10 mg oral tablet) ANGITA PHARMA INC.","9001015","rosuvastatin (rosuvastatin calcium) 10 mg oral tablet","8000322","rosuvastatin"
"02477068","AG-ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 20 mg oral tablet) ANGITA PHARMA INC.","9001016","rosuvastatin (rosuvastatin calcium) 20 mg oral tablet","8000322","rosuvastatin"
"02477076","AG-ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 40 mg oral tablet) ANGITA PHARMA INC.","9001017","rosuvastatin (rosuvastatin calcium) 40 mg oral tablet","8000322","rosuvastatin"
"02477033","AG-ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 5 mg oral tablet) ANGITA PHARMA INC.","9001109","rosuvastatin (rosuvastatin calcium) 5 mg oral tablet","8000322","rosuvastatin"
"02480417","AG-SILDENAFIL (sildenafil (sildenafil citrate) 100 mg oral tablet) ANGITA PHARMA INC.","9000836","sildenafil (sildenafil citrate) 100 mg oral tablet","8000268","sildenafil"
"02476819","NRA-SILDENAFIL (sildenafil (sildenafil citrate) 100 mg oral tablet) NORA PHARMA INC","9000836","sildenafil (sildenafil citrate) 100 mg oral tablet","8000268","sildenafil"
"02480395","AG-SILDENAFIL (sildenafil (sildenafil citrate) 25 mg oral tablet) ANGITA PHARMA INC.","9000837","sildenafil (sildenafil citrate) 25 mg oral tablet","8000268","sildenafil"
"02480409","AG-SILDENAFIL (sildenafil (sildenafil citrate) 50 mg oral tablet) ANGITA PHARMA INC.","9000838","sildenafil (sildenafil citrate) 50 mg oral tablet","8000268","sildenafil"
"02473968","ODAN-SODIUM POLYSTYRENE SULFONATE (sodium polystyrene sulfonate 250 mg per mL oral/rectal suspension) ODAN LABORATORIES LTD","ddbde693b2e648da4b360637cfb9167a","sodium polystyrene sulfonate 250 mg per mL oral/rectal suspension","8001941","sodium polystyrene sulfonate"
"02464225","MYLAN-VARDENAFIL (vardenafil (vardenafil hydrochloride trihydrate) 10 mg oral tablet) MYLAN PHARMACEUTICALS ULC","9003884","vardenafil (vardenafil hydrochloride) 10 mg oral tablet","8001543","vardenafil"
"02464233","MYLAN-VARDENAFIL (vardenafil (vardenafil hydrochloride trihydrate) 20 mg oral tablet) MYLAN PHARMACEUTICALS ULC","9003885","vardenafil (vardenafil hydrochloride) 20 mg oral tablet","8001543","vardenafil"
"02464209","MYLAN-VARDENAFIL (vardenafil (vardenafil hydrochloride trihydrate) 5 mg oral tablet) MYLAN PHARMACEUTICALS ULC","9003886","vardenafil (vardenafil hydrochloride) 5 mg oral tablet","8001543","vardenafil"
"02475820","AG-ZOPICLONE (zopiclone 3.75 mg oral tablet) ANGITA PHARMA INC.","9000995","zopiclone 3.75 mg oral tablet","8000143","zopiclone"
