mp_code,mp_formal_name,ntp_code,ntp_formal_name,tm_code,tm_formal_name
"02469928","ACETAMINOPHEN EXTRA STRENGTH LIQUID GELS (acetaminophen 500 mg oral capsule) LABORATOIRES TRIANON INC","9012407","acetaminophen 500 mg oral capsule","8001044","acetaminophen"
"02477130","APO-ACYCLOVIR OINTMENT (acyclovir 5 % cutaneous ointment) APOTEX INC","9000174","acyclovir 5 % cutaneous ointment","8000095","acyclovir"
"02215187","CAVERJECT STERILE POWDER - PWS 23.2MCG/VIAL (alprostadil 20 mcg per vial powder for solution for injection) PFIZER CANADA ULC","9013032","alprostadil 20 mcg per vial powder for solution for injection","8001431","alprostadil"
"02481073","AMIKACIN SULFATE INJECTION USP (amikacin (amikacin sulfate) 500 mg per 2 mL solution for injection vial) MARCAN PHARMACEUTICALS INC","9012566","amikacin (amikacin sulfate) 500 mg per 2 mL solution for injection vial","8001169","amikacin"
"02482576","SANDOZ AMOXI-CLAV TABLET (amoxicillin (amoxicillin trihydrate) 500 mg and clavulanic acid (potassium clavulanate) 125 mg oral tablet) SANDOZ CANADA INCORPORATED","9000402","amoxicillin 500 mg and clavulanic acid (potassium clavulanate) 125 mg oral tablet","8000154","amoxicillin and clavulanic acid"
"02482584","SANDOZ AMOXI-CLAV TABLET (amoxicillin (amoxicillin trihydrate) 875 mg and clavulanic acid (potassium clavulanate) 125 mg oral tablet) SANDOZ CANADA INCORPORATED","9000823","amoxicillin 875 mg and clavulanic acid (potassium clavulanate) 125 mg oral tablet","8000154","amoxicillin and clavulanic acid"
"02476940","ATORVASTATIN (atorvastatin (atorvastatin calcium) 10 mg oral tablet) ALTAMED PHARMA","9000703","atorvastatin (atorvastatin calcium) 10 mg oral tablet","8000235","atorvastatin"
"02476959","ATORVASTATIN (atorvastatin (atorvastatin calcium) 20 mg oral tablet) ALTAMED PHARMA","9000704","atorvastatin (atorvastatin calcium) 20 mg oral tablet","8000235","atorvastatin"
"02476967","ATORVASTATIN (atorvastatin (atorvastatin calcium) 40 mg oral tablet) ALTAMED PHARMA","9000705","atorvastatin (atorvastatin calcium) 40 mg oral tablet","8000235","atorvastatin"
"02465620","MINT-BISOPROLOL (bisoprolol fumarate 10 mg oral tablet) MINT PHARMACEUTICALS INC","9001020","bisoprolol fumarate 10 mg oral tablet","8000325","bisoprolol"
"02465612","MINT-BISOPROLOL (bisoprolol fumarate 5 mg oral tablet) MINT PHARMACEUTICALS INC","9001021","bisoprolol fumarate 5 mg oral tablet","8000325","bisoprolol"
"02456176","BORTEZOMIB (bortezomib (bortezomib mannitol boronic ester) 3.5 mg per vial powder for solution for injection) APOTEX INC","9004006","bortezomib (bortezomib mannitol boronic ester) 3.5 mg per vial powder for solution for injection","8001593","bortezomib"
"02481987","M-CINACALCET (cinacalcet (cinacalcet hydrochloride) 30 mg oral tablet) MANTRA PHARMA INC","9003934","cinacalcet (cinacalcet hydrochloride) 30 mg oral tablet","8001616","cinacalcet"
"02481995","M-CINACALCET (cinacalcet (cinacalcet hydrochloride) 60 mg oral tablet) MANTRA PHARMA INC","9003935","cinacalcet (cinacalcet hydrochloride) 60 mg oral tablet","8001616","cinacalcet"
"02482002","M-CINACALCET (cinacalcet (cinacalcet hydrochloride) 90 mg oral tablet) MANTRA PHARMA INC","9003936","cinacalcet (cinacalcet hydrochloride) 90 mg oral tablet","8001616","cinacalcet"
"02413469","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet) PHARMASCIENCE INC","9000462","diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet","8000180","diclofenac and misoprostol"
"02413477","PMS-DICLOFENAC-MISOPROSTOL (diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet) PHARMASCIENCE INC","9000668","diclofenac sodium 75 mg and misoprostol 200 mcg oral tablet","8000180","diclofenac and misoprostol"
"02484226","COLACE CLEAR (docusate sodium 100 mg oral capsule) BOYD PHARMACEUTICALS INC.","9002047","docusate sodium 100 mg oral capsule","8001045","docusate"
"02482126","NRA-DULOXETINE (duloxetine (duloxetine hydrochloride) 30 mg gastro-resistant capsule) NORA PHARMA INC","9001234","duloxetine (duloxetine hydrochloride) 30 mg gastro-resistant capsule","8000375","duloxetine"
"02473216","M-DULOXETINE (duloxetine (duloxetine hydrochloride) 60 mg gastro-resistant capsule) MANTRA PHARMA INC","9001235","duloxetine (duloxetine hydrochloride) 60 mg gastro-resistant capsule","8000375","duloxetine"
"02482134","NRA-DULOXETINE (duloxetine (duloxetine hydrochloride) 60 mg gastro-resistant capsule) NORA PHARMA INC","9001235","duloxetine (duloxetine hydrochloride) 60 mg gastro-resistant capsule","8000375","duloxetine"
"02474808","JAMP ENALAPRIL (enalapril maleate 10 mg oral tablet) JAMP PHARMA CORPORATION","9000464","enalapril maleate 10 mg oral tablet","8000118","enalapril"
"02444771","MAR-ENALAPRIL (enalapril maleate 10 mg oral tablet) MARCAN PHARMACEUTICALS INC","9000464","enalapril maleate 10 mg oral tablet","8000118","enalapril"
"02474786","JAMP ENALAPRIL (enalapril maleate 2.5 mg oral tablet) JAMP PHARMA CORPORATION","9000466","enalapril maleate 2.5 mg oral tablet","8000118","enalapril"
"02459450","MAR-ENALAPRIL (enalapril maleate 2.5 mg oral tablet) MARCAN PHARMACEUTICALS INC","9000466","enalapril maleate 2.5 mg oral tablet","8000118","enalapril"
"02474816","JAMP ENALAPRIL (enalapril maleate 20 mg oral tablet) JAMP PHARMA CORPORATION","9000465","enalapril maleate 20 mg oral tablet","8000118","enalapril"
"02444798","MAR-ENALAPRIL (enalapril maleate 20 mg oral tablet) MARCAN PHARMACEUTICALS INC","9000465","enalapril maleate 20 mg oral tablet","8000118","enalapril"
"02474794","JAMP ENALAPRIL (enalapril maleate 5 mg oral tablet) JAMP PHARMA CORPORATION","9000467","enalapril maleate 5 mg oral tablet","8000118","enalapril"
"02459469","MAR-ENALAPRIL (enalapril maleate 5 mg oral tablet) MARCAN PHARMACEUTICALS INC","9000467","enalapril maleate 5 mg oral tablet","8000118","enalapril"
"02480131","COVERGIRL TRUBLEND BASE BUSINESS SKIN PRIMER BASE POUR LA PEAU (ensulizole 3 % cutaneous emulsion) HFC PRESTIGE INTERNATIONAL CANADA INC","9005130","ensulizole 3 % cutaneous emulsion","8001643","ensulizole"
"00727520","HEPARIN LEO 100UNIT/ML (heparin sodium 1000 unit per 10 mL irrigation solution vial) LEO PHARMA INC","9013297","heparin sodium 1000 unit per 10 mL irrigation solution vial","8001274","heparin"
"02472120","JAMP-MOXIFLOXACIN (moxifloxacin (moxifloxacin hydrochloride) 0.5 % ophthalmic drops) JAMP PHARMA CORPORATION","9001078","moxifloxacin (moxifloxacin hydrochloride) 0.5 % ophthalmic drops","8000291","moxifloxacin"
"02469812","GLN-OLMESARTAN (olmesartan medoxomil 20 mg oral tablet) GLENMARK PHARMACEUTICALS CANADA INC.","9001265","olmesartan medoxomil 20 mg oral tablet","8000383","olmesartan"
"02469820","GLN-OLMESARTAN (olmesartan medoxomil 40 mg oral tablet) GLENMARK PHARMACEUTICALS CANADA INC.","9001266","olmesartan medoxomil 40 mg oral tablet","8000383","olmesartan"
"02469138","PANTOPRAZOLE (pantoprazole (pantoprazole sodium sesquihydrate) 40 mg gastro-resistant tablet) ALTAMED PHARMA","9000706","pantoprazole (pantoprazole sodium) 40 mg gastro-resistant tablet","8000236","pantoprazole"
"02477823","PAROXETINE (paroxetine (paroxetine hydrochloride hemihydrate) 10 mg oral tablet) ALTAMED PHARMA","9000697","paroxetine (paroxetine hydrochloride) 10 mg oral tablet","8000185","paroxetine"
"02477831","PAROXETINE (paroxetine (paroxetine hydrochloride hemihydrate) 20 mg oral tablet) ALTAMED PHARMA","9000487","paroxetine (paroxetine hydrochloride) 20 mg oral tablet","8000185","paroxetine"
"02477858","PAROXETINE (paroxetine (paroxetine hydrochloride hemihydrate) 30 mg oral tablet) ALTAMED PHARMA","9000488","paroxetine (paroxetine hydrochloride) 30 mg oral tablet","8000185","paroxetine"
"02474565","LAPELGA (pegfilgrastim 6 mg per 0.6 mL solution for injection syringe) APOTEX INC","9013502","pegfilgrastim 6 mg per 0.6 mL solution for injection syringe","8002057","pegfilgrastim"
"02476762","MINT-PERINDOPRIL (perindopril erbumine 2 mg oral tablet) MINT PHARMACEUTICALS INC","9000539","perindopril erbumine 2 mg oral tablet","8000206","perindopril"
"02481634","PERINDOPRIL ERBUMINE (perindopril erbumine 2 mg oral tablet) SANIS HEALTH INC","9000539","perindopril erbumine 2 mg oral tablet","8000206","perindopril"
"02481642","PERINDOPRIL ERBUMINE (perindopril erbumine 4 mg oral tablet) SANIS HEALTH INC","9000540","perindopril erbumine 4 mg oral tablet","8000206","perindopril"
"02481650","PERINDOPRIL ERBUMINE (perindopril erbumine 8 mg oral tablet) SANIS HEALTH INC","9001051","perindopril erbumine 8 mg oral tablet","8000206","perindopril"
"02476274","M-PRAVASTATIN (pravastatin sodium 10 mg oral tablet) MANTRA PHARMA INC","9000932","pravastatin sodium 10 mg oral tablet","8000141","pravastatin"
