mp_code,mp_formal_name,changes
"00001694","XYLOCAINE JELLY 2% SINGLE USE TUBE (lidocaine hydrochloride 20 mg per mL cutaneous gel) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001791","XYLOCAINE 1% W EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.2 mg per 20 mL and lidocaine hydrochloride 200 mg per 20 mL solution for injection vial) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001805","XYLOCAINE 1% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001937","XYLOCARD (lidocaine hydrochloride 100 mg per 5 mL solution for injection ampoule) ASPEN PHARMACARE CANADA INC.","ADDED"
"00001961","XYLOCAINE OINTMENT 5% (lidocaine 5 % cutaneous ointment) ASPEN PHARMACARE CANADA INC.","ADDED"
"00004715","ALKERAN (melphalan 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.","ADDED"
"00015741","TAPAZOLE 5MG TABLET (thiamazole 5 mg oral tablet) PALADIN LABS INC","ADDED"
"00022381","CORTROSYN INJ 0.25MG (tetracosactide 0.25 mg per vial powder for solution for injection) AMPHASTAR PHARMACEUTICALS, INC.","ADDED"
"00029149","FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) BRISTOL-MYERS SQUIBB CANADA","ADDED"
"00030708","BACITRACIN USP (bacitracin 50000 unit per vial powder for solution for injection) PFIZER CANADA ULC","ADDED"
"00035076","ALCAINE (proxymetacaine hydrochloride 0.5 % ophthalmic drops) ALCON CANADA INC","ADDED"
"00037869","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (potassium chloride 149 mg per mL solution for injection) PFIZER CANADA ULC","ADDED"
"00038016","MANNITOL INJECTION USP (mannitol 200 mg per mL solution for injection 500 mL bag) ICU MEDICAL CANADA INC","ADDED"
"00038024","MANNITOL INJECTION USP (mannitol 12.5 g per 50 mL solution for injection 50 mL vial) PFIZER CANADA ULC","ADDED"
"00038083","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 75 mg per mL solution for injection) PFIZER CANADA ULC","ADDED"
"00038121","EPHEDRINE SULFATE INJECTION USP (ephedrine sulfate 50 mg per 1 mL solution for injection ampoule) PFIZER CANADA ULC","DELETED"
"00038202","BACTERIOSTATIC WATER FOR INJECTION USP (water 30 mL per 30 mL solution for injection) PFIZER CANADA ULC","ADDED"
"00038229","STERILE WATER FOR IRRIGATION USP (water 100 % irrigation solution) ICU MEDICAL CANADA INC","ADDED"
"00038245","STERILE WATER FOR INJECTION USP (water 100 % solution for injection) ICU MEDICAL CANADA INC","ADDED"
"00042676","MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg per mL and polymyxin B (polymyxin B sulfate) 6000 unit per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ADDED"
"00050520","MINERALE LEGERE HUILE (mineral oil heavy 100 % cutaneous liquid) LABORATOIRE ATLAS INC","ADDED"
"00060410","OSMITROL 10% INJ USP (mannitol 10 g per 100 mL solution for injection 1000 mL bag) BAXTER CORPORATION","ADDED"
"00060437","OSMITROL 20% INJ USP (mannitol 20 g per 100 mL solution for injection 500 mL bag) BAXTER CORPORATION","ADDED"
"00107875","FLEET ENEMA MINERAL OIL (mineral oil heavy 100 % rectal liquid) C B FLEET COMPANY INC","ADDED"
"00116815","DIOVOL PLUS SUSPENSION (aluminum hydroxide (dried aluminum hydroxide gel) 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL oral suspension) CHURCH & DWIGHT CANADA CORP","ADDED"
