tm_code,tm_formal_name,changes
"d8613f3c2785f3c5f55a686e53fb703f","C1 esterase inhibitor human","ADDED"
"8001866","petrolatum","ADDED"
"8002130","iodine and sodium iodide","ADDED"
"8002172","antihemophilic factor (recombinant)","ADDED"
"8002173","antihemophilic factor (recombinant) porcine sequence","ADDED"
"8002101","cetrimide and lidocaine","ADDED"
"8002079","primaquine","ADDED"
"8002194","fibrinogen (human)","ADDED"
"8001727","chromic chloride and cupric chloride and manganese chloride and zinc chloride","ADDED"
"8002183","coagulation factor ix (human)","ADDED"
"8001898","chromic chloride and copper sulfate and manganese sulfate and selenium and zinc sulfate","ADDED"
"8001878","sodium iodide","ADDED"
"8001305","thiamazole","ADDED"
"8001439","bacitracin","ADDED"
"2819c89f8c676f32e34e207965ab1639","dexamethasone (base) and neomycin and polymyxin B","ADDED"
"8000946","alcohol anhydrous and benzalkonium","ADDED"
"d3ef922672052d05ab0cc1f6d9c99257","gramicidin and polymyxin B","ADDED"
"8002171","antihemophilic factor (recombinant BDD) FC fusion protein","ADDED"
"8000137","dexamethasone sodium phosphate","ADDED"
"8002059","peginterferon beta-1a","ADDED"
"8001497","melphalan","ADDED"
"8001812","interferon alfa-2b","ADDED"
"8002169","anti-inhibitor coagulant complex","ADDED"
"8696bb34d83959744a54de2801fe1636","phospholipid and surfactant-associated proteins sp-b and sp-c","ADDED"
"8001814","interferon beta-1a","ADDED"
"8001957","tetracosactide","ADDED"
"ffacc607036be2aeecac6f9cedb82319","gramicidin and lidocaine and polymyxin B","ADDED"
"8001322","acetaminophen and chlorpheniramine and dextromethorphan and pseudoephedrine","ADDED"
"8001579","benzethonium","ADDED"
"8001004","benzoyl peroxide and salicylic acid","ADDED"
"5cfd1d31986909ce88c0b42475e20afc","simoctocog alfa","ADDED"
"8001837","lidocaine","ADDED"
"8001869","potassium acetate","ADDED"
"b32f6777a1c33756c4599d21fdffaae1","alfa 1-proteinase inhibitor human","ADDED"
"8001601","bupivacaine and epinephrine","ADDED"
"8002160","sodium acetate","ADDED"
"8001748","dimethicone and menthol","DELETED"
"8001615","chloroxylenol","ADDED"
"8002068","piperazine","ADDED"
"8001888","articaine and epinephrine","ADDED"
"8002174","antithrombin iii (human)","ADDED"
"8002139","mannitol and sorbitol","ADDED"
"8001726","chromic chloride and copper sulfate and manganese sulfate and zinc sulfate","ADDED"
"8002072","polyethylene glycol 3350","ADDED"
"8001476","follitropin beta","ADDED"
"8001523","sacubitril and valsartan","ADDED"
"8001331","acetaminophen and dextromethorphan and doxylamine and pseudoephedrine","ADDED"
"97fbfe8bb152e10078b2278fc786f5ad","abobotulinumtoxinA","ADDED"
"8001710","calcium chloride","ADDED"
"8000829","benzoyl peroxide","ADDED"
"8002185","coagulation factor ix (recombinant), pegylated","ADDED"
"4015abd529903d9d15cfa0fbb689311d","lidocaine and polymyxin B","ADDED"
"8001897","chromic chloride and copper sulfate and iodine (sodium iodide) and manganese sulfate and selenium and zinc sulfate","ADDED"
"8000940","alcohol anhydrous and butanediol and propyl alcohol and propylene glycol","ADDED"
"8001871","potassium citrate","ADDED"
"8001332","acetaminophen and dextromethorphan and guaifenesin and phenylephrine","ADDED"
"8001976","triclosan","ADDED"
"8001334","acetaminophen and dextromethorphan and phenylephrine","ADDED"
"8002162","sodium phosphate dibasic and sodium phosphate monobasic","ADDED"
"8001883","acetaminophen and pheniramine and phenylephrine","ADDED"
"8001696","antipyrine and sodium salicylate","ADDED"
"8000962","acetaminophen and menthol","ADDED"
"8000912","alcohol anhydrous and chlorhexidine","ADDED"
"8002195","fibrinogen (human) and thrombin (human)","ADDED"
"8001797","hydrocortisone and pramoxine","ADDED"
"8001258","delavirdine","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19980724"" -> ""20181101"""
"e71137709486351a8f9673352d349140","bacitracin and polymyxin B","ADDED"
"8001328","acetaminophen and dextromethorphan and doxylamine","ADDED"
"0333f74e91911be6e9c69f540ee19cf0","onabotulinumtoxinA","ADDED"
"8002154","potassium phosphate dibasic and potassium phosphate monobasic","ADDED"
"8001763","epinephrine and prilocaine","ADDED"
"8001733","copper sulfate","ADDED"
"8001711","calcium gluconate and calcium saccharate","ADDED"
"8001561","alteplase","ADDED"
"8001078","ephedrine","tm_status_effective_time: ""19661231"" -> ""19901231"""
"8001809","imiquimod","ADDED"
"6ce4f3d26e53b868f4703da94150063f","bacitracin and gramicidin and lidocaine and polymyxin B","ADDED"
"8002047","paclitaxel","ADDED"
"8001330","acetaminophen and dextromethorphan and doxylamine and phenylephrine","ADDED"
"8000217","methotrexate","ADDED"
"8001826","lanreotide","ADDED"
"8001335","acetaminophen and dextromethorphan and pseudoephedrine","ADDED"
"8001098","asparaginase","ADDED"
"8002091","aluminum hydroxide and magnesium hydroxide and simethicone","ADDED"
"8001167","acetaminophen and diphenhydramine and phenylephrine","ADDED"
"8001926","romiplostim","ADDED"
"8002214","alpha 1-proteinase inhibitor human","DELETED"
"8002138","mannitol","ADDED"
"8001870","potassium chloride","ADDED"
"8000863","chlorhexidine and isopropyl alcohol","ADDED"
"8001849","mepivacaine","ADDED"
"8002092","aluminum hydroxide-magnesium carbonate-co dried gel and magnesium hydroxide and simethicone","ADDED"
"8002136","macrogol and propylene glycol","ADDED"
"8002088","acetic acid and sodium acetate","ADDED"
"8001757","doxorubicin","ADDED"
"8002199","irinotecan (liposomal)","ADDED"
"8002184","coagulation factor ix (recombinant)","ADDED"
"8002058","peginterferon alfa-2a","ADDED"
"8002102","cetrimonium","ADDED"
"8002193","factor xiii","ADDED"
"8001274","heparin","tm_status_effective_time: ""19871231"" -> ""19841231"""
"8001723","chorionic gonadotropin","ADDED"
"8001762","epinephrine and lidocaine","ADDED"
"8001943","somatropin","ADDED"
"194820718133fcf47f5e378e81e8d3e2","bacitracin and lidocaine and polymyxin B","ADDED"
"8001844","magnesium chloride","ADDED"
"8001689","water","ADDED"
"8001266","etanercept","ADDED"
"9dc0aa6f85ac87f0ddc5e96a6b9cc158","bacitracin and gramicidin and polymyxin B","ADDED"
"8002118","dimethyl sulfoxide","ADDED"
"8002204","mineral oil heavy","ADDED"
