"extract","drug_code","pharm_form_code","pharmaceutical_form","status"
"active",3156,134,"SOLUTION","ADDED"
"active",37038,134,"SOLUTION","ADDED"
"active",60096,134,"SOLUTION","ADDED"
"active",73230,134,"SOLUTION","ADDED"
"active",89812,109,"TABLET (DELAYED-RELEASE)","ADDED"
"active",89813,109,"TABLET (DELAYED-RELEASE)","ADDED"
"inactive",16774,134,"SOLUTION","ADDED"
"dormant",62254,134,"SOLUTION","ADDED"
"approved",97737,5,"CAPSULE","ADDED"
"approved",97736,5,"CAPSULE","ADDED"
"approved",97735,5,"CAPSULE","ADDED"
"approved",97734,5,"CAPSULE","ADDED"
"approved",96603,5,"CAPSULE","ADDED"
"approved",97789,56,"POWDER FOR SOLUTION","ADDED"
"approved",97749,56,"POWDER FOR SOLUTION","ADDED"
"approved",97743,56,"POWDER FOR SOLUTION","ADDED"
"approved",97739,56,"POWDER FOR SOLUTION","ADDED"
"approved",97715,56,"POWDER FOR SOLUTION","ADDED"
"approved",97714,56,"POWDER FOR SOLUTION","ADDED"
"approved",97713,56,"POWDER FOR SOLUTION","ADDED"
"approved",97799,85,"TABLET","ADDED"
"approved",97798,85,"TABLET","ADDED"
"approved",97797,85,"TABLET","ADDED"
"approved",97796,85,"TABLET","ADDED"
"approved",97788,85,"TABLET","ADDED"
"approved",97780,85,"TABLET","ADDED"
"approved",97779,85,"TABLET","ADDED"
"approved",97778,85,"TABLET","ADDED"
"approved",97777,85,"TABLET","ADDED"
"approved",97776,85,"TABLET","ADDED"
"approved",97775,85,"TABLET","ADDED"
"approved",97710,82,"SYRUP","ADDED"
"approved",97744,85,"TABLET","ADDED"
"approved",97712,85,"TABLET","ADDED"
"approved",97711,85,"TABLET","ADDED"
"approved",97774,98,"SPRAY","ADDED"
"approved",97773,98,"SPRAY","ADDED"
"approved",97803,105,"WIPE","ADDED"
"approved",97771,105,"WIPE","ADDED"
"approved",97770,105,"WIPE","ADDED"
"approved",97769,105,"WIPE","ADDED"
"approved",97817,134,"SOLUTION","ADDED"
"approved",97802,134,"SOLUTION","ADDED"
"approved",97774,134,"SOLUTION","ADDED"
"approved",97773,134,"SOLUTION","ADDED"
"approved",97764,134,"SOLUTION","ADDED"
"approved",97763,134,"SOLUTION","ADDED"
"approved",97762,134,"SOLUTION","ADDED"
"approved",97755,134,"SOLUTION","ADDED"
"approved",97754,134,"SOLUTION","ADDED"
"approved",97753,134,"SOLUTION","ADDED"
"approved",97748,134,"SOLUTION","ADDED"
"approved",97746,134,"SOLUTION","ADDED"
"approved",97745,134,"SOLUTION","ADDED"
"approved",97738,134,"SOLUTION","ADDED"
"approved",97722,134,"SOLUTION","ADDED"
"approved",97721,134,"SOLUTION","ADDED"
"approved",97720,134,"SOLUTION","ADDED"
"approved",96915,134,"SOLUTION","ADDED"
"approved",96914,134,"SOLUTION","ADDED"
"approved",97784,132,"TABLET (ORALLY DISINTEGRATING)","ADDED"
"approved",97783,132,"TABLET (ORALLY DISINTEGRATING)","ADDED"
"approved",97782,132,"TABLET (ORALLY DISINTEGRATING)","ADDED"
"approved",97781,132,"TABLET (ORALLY DISINTEGRATING)","ADDED"
"approved",97751,132,"TABLET (ORALLY DISINTEGRATING)","ADDED"
"approved",97750,132,"TABLET (ORALLY DISINTEGRATING)","ADDED"
"active",16774,34,"LIQUID","DELETED"
"active",3156,82,"SYRUP","DELETED"
"active",37038,82,"SYRUP","DELETED"
"active",60096,82,"SYRUP","DELETED"
"active",73230,34,"LIQUID","DELETED"
"active",89812,85,"TABLET","DELETED"
"active",89813,85,"TABLET","DELETED"
"dormant",62254,82,"SYRUP","DELETED"
