"extract","drug_code","route_of_administration_code","route_of_administration","status"
"active",13767,"94","DISINFECTANT (Institutional/Industrial)","ADDED"
"active",19449,"3","BUCCAL","ADDED"
"approved",97803,"2","DISINFECTANT (Barn)","ADDED"
"approved",97802,"2","DISINFECTANT (Barn)","ADDED"
"approved",97774,"2","DISINFECTANT (Barn)","ADDED"
"approved",97773,"2","DISINFECTANT (Barn)","ADDED"
"approved",97720,"2","DISINFECTANT (Barn)","ADDED"
"approved",97803,"8","DISINFECTANT (Food Premises)","ADDED"
"approved",97802,"8","DISINFECTANT (Food Premises)","ADDED"
"approved",97774,"8","DISINFECTANT (Food Premises)","ADDED"
"approved",97773,"8","DISINFECTANT (Food Premises)","ADDED"
"approved",97771,"8","DISINFECTANT (Food Premises)","ADDED"
"approved",97770,"8","DISINFECTANT (Food Premises)","ADDED"
"approved",97769,"8","DISINFECTANT (Food Premises)","ADDED"
"approved",97720,"8","DISINFECTANT (Food Premises)","ADDED"
"approved",97789,"6","DIALYSIS","ADDED"
"approved",97803,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED"
"approved",97802,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED"
"approved",97774,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED"
"approved",97773,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED"
"approved",97720,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED"
"approved",97817,"49","INTRAVENOUS","ADDED"
"approved",97755,"49","INTRAVENOUS","ADDED"
"approved",97754,"49","INTRAVENOUS","ADDED"
"approved",97753,"49","INTRAVENOUS","ADDED"
"approved",97738,"49","INTRAVENOUS","ADDED"
"approved",97722,"49","INTRAVENOUS","ADDED"
"approved",97721,"49","INTRAVENOUS","ADDED"
"approved",97714,"49","INTRAVENOUS","ADDED"
"approved",97713,"49","INTRAVENOUS","ADDED"
"approved",96915,"49","INTRAVENOUS","ADDED"
"approved",96914,"49","INTRAVENOUS","ADDED"
"approved",96603,"56","ORAL","ADDED"
"approved",97764,"65","SUBCUTANEOUS","ADDED"
"approved",97763,"65","SUBCUTANEOUS","ADDED"
"approved",97762,"65","SUBCUTANEOUS","ADDED"
"approved",97748,"65","SUBCUTANEOUS","ADDED"
"approved",97746,"65","SUBCUTANEOUS","ADDED"
"approved",97745,"65","SUBCUTANEOUS","ADDED"
"approved",97738,"65","SUBCUTANEOUS","ADDED"
"approved",97799,"56","ORAL","ADDED"
"approved",97798,"56","ORAL","ADDED"
"approved",97797,"56","ORAL","ADDED"
"approved",97796,"56","ORAL","ADDED"
"approved",97788,"56","ORAL","ADDED"
"approved",97784,"56","ORAL","ADDED"
"approved",97783,"56","ORAL","ADDED"
"approved",97782,"56","ORAL","ADDED"
"approved",97781,"56","ORAL","ADDED"
"approved",97780,"56","ORAL","ADDED"
"approved",97779,"56","ORAL","ADDED"
"approved",97778,"56","ORAL","ADDED"
"approved",97777,"56","ORAL","ADDED"
"approved",97776,"56","ORAL","ADDED"
"approved",97775,"56","ORAL","ADDED"
"approved",97751,"56","ORAL","ADDED"
"approved",97750,"56","ORAL","ADDED"
"approved",97749,"56","ORAL","ADDED"
"approved",97744,"56","ORAL","ADDED"
"approved",97743,"56","ORAL","ADDED"
"approved",97739,"56","ORAL","ADDED"
"approved",97737,"56","ORAL","ADDED"
"approved",97736,"56","ORAL","ADDED"
"approved",97735,"56","ORAL","ADDED"
"approved",97734,"56","ORAL","ADDED"
"approved",97715,"56","ORAL","ADDED"
"approved",97712,"56","ORAL","ADDED"
"approved",97711,"56","ORAL","ADDED"
"approved",97710,"56","ORAL","ADDED"
"approved",97803,"93","DISINFECTANT (Domestic)","ADDED"
"approved",97802,"93","DISINFECTANT (Domestic)","ADDED"
"approved",97774,"93","DISINFECTANT (Domestic)","ADDED"
"approved",97773,"93","DISINFECTANT (Domestic)","ADDED"
"approved",97771,"93","DISINFECTANT (Domestic)","ADDED"
"approved",97770,"93","DISINFECTANT (Domestic)","ADDED"
"approved",97769,"93","DISINFECTANT (Domestic)","ADDED"
"approved",97803,"94","DISINFECTANT (Institutional/Industrial)","ADDED"
"approved",97802,"94","DISINFECTANT (Institutional/Industrial)","ADDED"
"approved",97774,"94","DISINFECTANT (Institutional/Industrial)","ADDED"
"approved",97773,"94","DISINFECTANT (Institutional/Industrial)","ADDED"
"approved",97771,"94","DISINFECTANT (Institutional/Industrial)","ADDED"
"approved",97770,"94","DISINFECTANT (Institutional/Industrial)","ADDED"
"approved",97769,"94","DISINFECTANT (Institutional/Industrial)","ADDED"
"active",13767,"30","DISINFECTANT (Medical Instruments)","DELETED"
"active",19449,"56","ORAL","DELETED"
