"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status","drug_identification_number"
"active",57,298,"MINERAL OIL LIGHT","100","%","ADDED","00050520"
"active",57,7140,"MINERAL OIL","100","%","DELETED","00050520"
"active",14042,298,"MINERAL OIL LIGHT","100","%","ADDED","01935321"
"active",14042,7140,"MINERAL OIL","100","%","DELETED","01935321"
"active",18936,4808,"CALCIUM GLUCONATE","100","MG","ADDED","02141019"
"active",18936,4808,"CALCIUM GLUCONATE","94","MG","DELETED","02141019"
"active",18936,18176,"CALCIUM SACCHARATE","4.5","MG","DELETED","02141019"
"inactive",90049,932,"RAMIPRIL","10","MG","ADDED","02415895"
"active",90049,932,"RAMIPRIL","10.0","MG","DELETED","02415895"
"inactive",90050,10234,"HYDROCHLOROTHIAZIDE","25","MG","ADDED","02415909"
"inactive",90050,932,"RAMIPRIL","10","MG","ADDED","02415909"
"active",90050,10234,"HYDROCHLOROTHIAZIDE","25.0","MG","DELETED","02415909"
"active",90050,932,"RAMIPRIL","10.0","MG","DELETED","02415909"
"approved",94530,11857,"EFAVIRENZ","600","MG","ADDED","02458233"
"approved",95699,11344,"AMLODIPINE (AMLODIPINE BESYLATE)","2.5","MG","ADDED","02468565"
"approved",95699,16100,"PERINDOPRIL ARGININE","3.5","MG","ADDED","02468565"
"approved",95700,11344,"AMLODIPINE (AMLODIPINE BESYLATE)","5","MG","ADDED","02468573"
"approved",95700,16100,"PERINDOPRIL ARGININE","7","MG","ADDED","02468573"
"approved",95701,11344,"AMLODIPINE (AMLODIPINE BESYLATE)","10","MG","ADDED","02468581"
"approved",95701,16100,"PERINDOPRIL ARGININE","14","MG","ADDED","02468581"
"approved",96453,11905,"TRASTUZUMAB","150","MG","ADDED","02474425"
"approved",96454,11905,"TRASTUZUMAB","440","MG","ADDED","02474433"
"approved",96454,8826,"WATER","20","ML","ADDED","02474433"
"active",97664,197,"BENZALKONIUM CHLORIDE","0.12","%","ADDED","02486431"
"approved",97716,12251,"TENOFOVIR DISOPROXIL FUMARATE","300","MG","ADDED","02487012"
"approved",97716,16516,"EMTRICITABINE","200","MG","ADDED","02487012"
"approved",97811,20435,"ARIPIPRAZOLE","2","MG","ADDED","02488000"
"approved",97812,20435,"ARIPIPRAZOLE","5","MG","ADDED","02488019"
"approved",97813,20435,"ARIPIPRAZOLE","10","MG","ADDED","02488027"
