"drug_code","status_current","history_date_current","status_previous","history_date_previous","drug_identification_number"
10533,"MARKETED",2019-05-24,"MARKETED",2014-12-19,"00782696"
13440,"MARKETED",2019-05-22,"MARKETED",2009-08-06,"02003317"
14031,"MARKETED",2019-04-30,"MARKETED",1993-12-31,"00692700"
14032,"MARKETED",2019-04-30,"MARKETED",1993-12-31,"00692697"
14033,"MARKETED",2019-04-30,"MARKETED",1993-12-31,"00692689"
14322,"MARKETED",2019-05-23,"MARKETED",1993-12-31,"00728276"
14334,"MARKETED",2019-05-23,"MARKETED",1993-12-31,"00728284"
14552,"MARKETED",2019-01-17,"MARKETED",2018-03-29,"01997580"
15173,"MARKETED",2018-11-21,"MARKETED",2018-10-17,"02063662"
19257,"MARKETED",2019-05-07,"MARKETED",2013-01-04,"02156091"
20308,"MARKETED",2019-03-14,"MARKETED",2019-01-15,"02152584"
20309,"MARKETED",2019-04-05,"MARKETED",2019-01-15,"02152592"
44252,"MARKETED",2018-12-12,"MARKETED",2018-11-28,"02181479"
44263,"MARKETED",2019-05-10,"MARKETED",2017-08-25,"02182963"
4941,"MARKETED",2019-05-27,"MARKETED",2005-02-17,"00548375"
5157,"MARKETED",2019-03-27,"MARKETED",2018-05-30,"00568635"
62905,"MARKETED",2019-05-01,"MARKETED",2003-07-23,"02239432"
69200,"MARKETED",2019-05-30,"MARKETED",2013-08-28,"02245185"
73681,"MARKETED",2019-05-31,"MARKETED",2012-05-31,"02251914"
73990,"MARKETED",2018-11-15,"MARKETED",2018-03-19,"02254735"
74143,"MARKETED",2019-05-27,"MARKETED",2004-09-22,"02256193"
75089,"MARKETED",2019-05-07,"MARKETED",2009-04-29,"02265427"
79491,"MARKETED",2019-05-14,"MARKETED",2017-06-14,"02309300"
79749,"MARKETED",2019-01-31,"MARKETED",2018-10-22,"02311968"
79750,"MARKETED",2019-03-20,"MARKETED",2018-10-22,"02311976"
79751,"MARKETED",2019-01-31,"MARKETED",2018-10-22,"02311984"
79752,"MARKETED",2019-02-13,"MARKETED",2018-10-22,"02311992"
79753,"MARKETED",2018-12-11,"MARKETED",2018-10-22,"02312018"
79778,"MARKETED",2019-05-27,"MARKETED",2008-09-12,"02312263"
80287,"MARKETED",2019-03-13,"MARKETED",2018-11-28,"02317346"
80288,"MARKETED",2019-03-20,"MARKETED",2018-11-28,"02317354"
80289,"MARKETED",2019-03-20,"MARKETED",2018-11-28,"02317362"
80290,"MARKETED",2019-03-20,"MARKETED",2018-11-28,"02317370"
80332,"MARKETED",2019-03-13,"MARKETED",2018-11-29,"02317796"
80333,"MARKETED",2019-03-13,"MARKETED",2018-11-29,"02317818"
80682,"MARKETED",2019-05-22,"MARKETED",2011-08-08,"02321432"
80778,"MARKETED",2018-01-19,"DORMANT",2018-08-01,"02322323"
81738,"MARKETED",2019-05-10,"MARKETED",2017-07-20,"02331683"
81739,"MARKETED",2019-05-10,"MARKETED",2017-07-20,"02331691"
81740,"MARKETED",2019-05-10,"MARKETED",2017-07-20,"02331705"
83209,"MARKETED",2019-05-07,"MARKETED",2017-01-20,"02346672"
84673,"MARKETED",2018-08-31,"MARKETED",2018-03-12,"02361663"
