tm_code,tm_formal_name,changes
"3d7afd460ad2133ff2de9a115edcac2c","dinutuximab","ADDED"
"8001866","petrolatum","ADDED"
"6573a8f6c9e3b9911ba6a233f0868950","isavuconazole","ADDED"
"8001411","penicillin g","DELETED"
"8002130","iodine and sodium iodide","ADDED"
"8002172","antihemophilic factor (recombinant)","ADDED"
"8002173","antihemophilic factor (recombinant) porcine sequence","ADDED"
"8002101","cetrimide and lidocaine","ADDED"
"8002079","primaquine","ADDED"
"8002194","fibrinogen (human)","ADDED"
"063c97e7cc492c3f30b1687c603d070b","aluminum magnesium hydroxide carbonate and magnesium hydroxide and simethicone","ADDED"
"8001727","chromic chloride and cupric chloride and manganese chloride and zinc chloride","ADDED"
"8002183","coagulation factor ix (human)","ADDED"
"8001898","chromic chloride and copper sulfate and manganese sulfate and selenium and zinc sulfate","ADDED"
"8a54e61dbf94182dde517af06439e276","risankizumab","ADDED"
"8001878","sodium iodide","ADDED"
"8000946","alcohol anhydrous and benzalkonium","ADDED"
"8002171","antihemophilic factor (recombinant BDD) FC fusion protein","ADDED"
"8000137","dexamethasone sodium phosphate","ADDED"
"8002059","peginterferon beta-1a","ADDED"
"d0ca5514f5edb6921319da20a89b3bb1","burosumab","ADDED"
"77b00f1ffd2207b1035fb2af41b066ec","suvorexant","ADDED"
"8002169","anti-inhibitor coagulant complex","ADDED"
"8001957","tetracosactide","ADDED"
"8001579","benzethonium","ADDED"
"8001004","benzoyl peroxide and salicylic acid","ADDED"
"8001837","lidocaine","ADDED"
"8001601","bupivacaine and epinephrine","ADDED"
"8002160","sodium acetate","ADDED"
"0b0f6fcbfbbcde8ea9edc31ea0d12928","pralatrexate","ADDED"
"8001615","chloroxylenol","ADDED"
"8002068","piperazine","ADDED"
"8001888","articaine and epinephrine","ADDED"
"8002174","antithrombin iii (human)","ADDED"
"8001726","chromic chloride and copper sulfate and manganese sulfate and zinc sulfate","ADDED"
"8002072","polyethylene glycol 3350","ADDED"
"8001476","follitropin beta","ADDED"
"8001710","calcium chloride","ADDED"
"8000829","benzoyl peroxide","ADDED"
"8002185","coagulation factor ix (recombinant), pegylated","ADDED"
"8001897","chromic chloride and copper sulfate and iodine (sodium iodide) and manganese sulfate and selenium and zinc sulfate","ADDED"
"8001978","trimebutine","tm_status_effective_time: ""19911231"" -> ""20021021"""
"8000940","alcohol anhydrous and butanediol and propyl alcohol and propylene glycol","ADDED"
"8001871","potassium citrate","ADDED"
"8001976","triclosan","ADDED"
"963cef2a815ebca06ff97fa08f370553","enasidenib","ADDED"
"8001696","antipyrine and sodium salicylate","ADDED"
"8000912","alcohol anhydrous and chlorhexidine","ADDED"
"8002195","fibrinogen (human) and thrombin (human)","ADDED"
"8001797","hydrocortisone and pramoxine","ADDED"
"5e0211958fb1e687d6179e737c912c19","penicillin G","ADDED"
"1bbc61b4816b94a214e4678e6ecc1167","cemiplimab","ADDED"
"8002154","potassium phosphate dibasic and potassium phosphate monobasic","ADDED"
"8001763","epinephrine and prilocaine","ADDED"
"8001733","copper sulfate","ADDED"
"8001809","imiquimod","ADDED"
"8002047","paclitaxel","ADDED"
"8001826","lanreotide","ADDED"
"8001098","asparaginase","ADDED"
"8002091","aluminum hydroxide and magnesium hydroxide and simethicone","ADDED"
"1664cfd0fc07b552f253f4faad53de00","dacomitinib","ADDED"
"8001870","potassium chloride","ADDED"
"8000863","chlorhexidine and isopropyl alcohol","ADDED"
"8001849","mepivacaine","ADDED"
"d9bea729b27876296297c07ea75c8b9a","penicillin V","ADDED"
"8001042","hydrochlorothiazide and methyldopa","tm_status_effective_time: ""20170804"" -> ""20190504"""
"8002088","acetic acid and sodium acetate","ADDED"
"8001757","doxorubicin","ADDED"
"8002199","irinotecan (liposomal)","ADDED"
"8002184","coagulation factor ix (recombinant)","ADDED"
"8002058","peginterferon alfa-2a","ADDED"
"8002102","cetrimonium","ADDED"
"8002193","factor xiii","ADDED"
"8002146","mineral oil light","tm_status_effective_time: ""20010727"" -> ""19511231"""
"8001274","heparin","tm_status_effective_time: ""19871231"" -> ""19841231"""
"c020634b6376c31da64d748b77fe99b4","cerliponase alfa","ADDED"
"8001762","epinephrine and lidocaine","ADDED"
"8001844","magnesium chloride","ADDED"
"8001689","water","ADDED"
"8000064","penicillin v","DELETED"
"8002118","dimethyl sulfoxide","ADDED"
"8002204","mineral oil heavy","ADDED"
"8001515","proxymetacaine","ADDED"
"4bc4545dc4b61a79576e164faba24301","lorlatinib","ADDED"
"8002215","amphotericin B","ADDED"
"8002245","onabotulinumtoxinA","ADDED"
"cba6c01a8af6a467963c0c48ce88a039","inotersen","ADDED"
"8002182","coagulation factor ii (human) and coagulation factor ix (human) and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s","ADDED"
"8000796","benzalkonium","ADDED"
"8001720","chlorhexidine and lidocaine","ADDED"
"8001221","penicillin g benzathine","DELETED"
"8001688","teriparatide","ADDED"
"eaf4f576a558840367bf3cdf3965dcfe","latanoprostene bunod","ADDED"
"8002198","irinotecan (conventional)","ADDED"
"6d1c17e0c3ff325c5bb5853010c42d0a","penicillin G benzathine","ADDED"
"8000855","benzalkonium and coal tar and salicylic acid","DELETED"
"8002170","antihemophilic factor (human) and von willebrand factor (human)","ADDED"
"8002161","sodium bicarbonate","ADDED"
