"extract","drug_code","route_of_administration_code","route_of_administration","status","drug_identification_number"
"active",13373,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02004496"
"active",96702,"56","ORAL","ADDED","02476088"
"approved",98000,"2","DISINFECTANT (Barn)","ADDED","02489929"
"approved",97982,"2","DISINFECTANT (Barn)","ADDED","02489740"
"approved",98000,"8","DISINFECTANT (Food Premises)","ADDED","02489929"
"approved",97982,"8","DISINFECTANT (Food Premises)","ADDED","02489740"
"approved",98000,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02489929"
"approved",97994,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02489872"
"approved",97982,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02489740"
"approved",97920,"22","INTRAMUSCULAR","ADDED","02489147"
"approved",97696,"22","INTRAMUSCULAR","ADDED","02486792"
"approved",97957,"29","INHALATION","ADDED","02489562"
"approved",97968,"49","INTRAVENOUS","ADDED","02489600"
"approved",97953,"49","INTRAVENOUS","ADDED","02489449"
"approved",97952,"49","INTRAVENOUS","ADDED","02489430"
"approved",97932,"49","INTRAVENOUS","ADDED","02489244"
"approved",97920,"49","INTRAVENOUS","ADDED","02489147"
"approved",97965,"55","OPHTHALMIC","ADDED","02489570"
"approved",97945,"55","OPHTHALMIC","ADDED","02489368"
"approved",97934,"55","OPHTHALMIC","ADDED","02489260"
"approved",97976,"56","ORAL","ADDED","02489694"
"approved",97975,"56","ORAL","ADDED","02489686"
"approved",97974,"56","ORAL","ADDED","02489678"
"approved",97960,"56","ORAL","ADDED","02489511"
"approved",97959,"56","ORAL","ADDED","02489503"
"approved",97958,"56","ORAL","ADDED","02489481"
"approved",97956,"56","ORAL","ADDED","02489473"
"approved",97954,"56","ORAL","ADDED","02489457"
"approved",97950,"56","ORAL","ADDED","02489414"
"approved",97949,"56","ORAL","ADDED","02489406"
"approved",97944,"56","ORAL","ADDED","02489333"
"approved",97943,"56","ORAL","ADDED","02489325"
"approved",97942,"56","ORAL","ADDED","02489341"
"approved",97947,"56","ORAL","ADDED","02489384"
"approved",97946,"56","ORAL","ADDED","02489376"
"approved",97939,"56","ORAL","ADDED","02489317"
"approved",97938,"56","ORAL","ADDED","02489309"
"approved",97937,"56","ORAL","ADDED","02489295"
"approved",97936,"56","ORAL","ADDED","02489287"
"approved",97929,"56","ORAL","ADDED","02489201"
"approved",97928,"56","ORAL","ADDED","02489198"
"approved",97927,"56","ORAL","ADDED","02489171"
"approved",97926,"56","ORAL","ADDED","02489163"
"approved",97919,"56","ORAL","ADDED","02489139"
"approved",97918,"56","ORAL","ADDED","02489120"
"approved",97970,"70","TOPICAL","ADDED","02489619"
"approved",97964,"70","TOPICAL","ADDED","02489554"
"approved",96980,"70","TOPICAL","ADDED","02479095"
"approved",96978,"70","TOPICAL","ADDED","02479079"
"approved",96977,"70","TOPICAL","ADDED","02479060"
"approved",96976,"70","TOPICAL","ADDED","02479052"
"approved",96975,"70","TOPICAL","ADDED","02479044"
"approved",96974,"70","TOPICAL","ADDED","02479036"
"approved",98000,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02489929"
"approved",97994,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02489872"
"approved",97982,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02489740"
"approved",98000,"93","DISINFECTANT (Domestic)","ADDED","02489929"
