"drug_code","status_current","history_date_current","status_previous","history_date_previous","drug_identification_number"
10567,"MARKETED",2019-07-04,"MARKETED",2005-03-17,"00869961"
11135,"MARKETED",2019-07-04,"MARKETED",2005-04-29,"00869953"
11466,"MARKETED",2019-06-07,"MARKETED",2019-02-12,"01912046"
12449,"MARKETED",2019-07-15,"MARKETED",2007-01-12,"01944762"
12645,"MARKETED",2019-07-02,"MARKETED",2015-10-21,"00884154"
12648,"MARKETED",2019-04-08,"APPROVED",2019-04-08,"01901915"
12649,"MARKETED",2019-04-08,"APPROVED",2019-04-08,"01901958"
1275,"MARKETED",2019-07-02,"MARKETED",2012-11-22,"00029246"
13373,"MARKETED",2019-07-04,"MARKETED",2019-06-27,"02004496"
13834,"MARKETED",2019-07-29,"MARKETED",1993-12-31,"01911481"
13835,"MARKETED",2019-07-29,"MARKETED",1993-12-31,"01911473"
14033,"MARKETED",2019-07-22,"MARKETED",2019-04-30,"00692689"
1471,"MARKETED",2019-07-10,"MARKETED",2005-05-10,"00247960"
1472,"MARKETED",2019-07-10,"MARKETED",2005-07-04,"00247979"
17789,"MARKETED",2019-07-25,"MARKETED",2011-09-08,"02141442"
18012,"MARKETED",2019-07-02,"MARKETED",2015-10-21,"01901982"
19060,"MARKETED",2019-07-03,"MARKETED",2012-08-28,"02172380"
2657,"MARKETED",2019-06-13,"MARKETED",2019-01-10,"00362158"
2863,"MARKETED",2019-07-02,"MARKETED",2004-11-25,"00343617"
2866,"MARKETED",2019-07-02,"MARKETED",2004-11-29,"00393444"
3678,"MARKETED",2019-06-07,"MARKETED",2019-01-18,"00445274"
44259,"MARKETED",2019-03-18,"MARKETED",2019-03-06,"02182920"
60208,"MARKETED",2019-04-01,"MARKETED",2017-08-10,"02236916"
63101,"MARKETED",2019-07-19,"MARKETED",2006-06-14,"02239630"
6763,"MARKETED",2019-07-04,"MARKETED",2013-02-01,"00653233"
68933,"MARKETED",2019-05-31,"MARKETED",2018-12-28,"02244935"
69723,"MARKETED",2019-07-03,"MARKETED",2019-01-02,"02245623"
69851,"MARKETED",2019-06-12,"MARKETED",2018-02-14,"02245744"
72042,"MARKETED",2018-09-05,"DORMANT",2018-08-02,"02247750"
72370,"MARKETED",2019-07-17,"MARKETED",2019-03-13,"02248050"
72371,"MARKETED",2019-07-17,"MARKETED",2019-03-13,"02248051"
73926,"MARKETED",2018-09-20,"APPROVED",2004-05-25,"02254360"
74794,"MARKETED",2019-07-04,"APPROVED",2004-12-08,"02262568"
75087,"MARKETED",2019-07-04,"MARKETED",2013-12-12,"02265400"
75088,"MARKETED",2019-07-15,"MARKETED",2009-03-26,"02265419"
75807,"MARKETED",2018-10-01,"APPROVED",2005-10-18,"02272555"
77872,"MARKETED",2019-07-05,"MARKETED",2008-06-04,"02293358"
77873,"MARKETED",2019-07-05,"MARKETED",2008-06-04,"02293366"
78573,"MARKETED",2019-06-28,"MARKETED",2019-06-21,"02300435"
79563,"MARKETED",2019-07-01,"APPROVED",2008-05-01,"02309947"
79657,"MARKETED",2019-07-12,"MARKETED",2008-07-04,"02310953"
80244,"MARKETED",2019-07-17,"MARKETED",2011-01-05,"02316943"
80245,"MARKETED",2019-07-17,"MARKETED",2011-01-05,"02316951"
80246,"MARKETED",2019-07-17,"MARKETED",2011-01-05,"02316978"
85000,"MARKETED",2019-07-22,"MARKETED",2011-05-12,"02365154"
85046,"MARKETED",2019-07-02,"MARKETED",2013-09-19,"02365561"
85056,"MARKETED",2018-10-16,"DORMANT",2017-07-17,"02365685"
