"drug_code","extract_current","extract_previous","company_name_current","company_name_previous","drug_identification_number"
12689,"active","active","BOEHRINGER INGELHEIM ANIMAL HEALTH CANADA INC.","MERIAL CANADA INC","01909983"
12690,"active","active","BOEHRINGER INGELHEIM ANIMAL HEALTH CANADA INC.","MERIAL CANADA INC","01909991"
74016,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02255014"
78573,"active","active","TELIGENT OU","ALVEDA PHARMACEUTICALS INC","02300435"
91076,"active","active","APOTEX INC","AA PHARMA INC","02426153"
94374,"active","approved","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02456753"
94375,"active","approved","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02456761"
96848,"active","approved","PRECISION CHEMICAL TECHNOLOGIES INC.","PRECISION CHEMICAL MANUFACTURING LIMITED.","02477467"
17734,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02026546"
78595,"dormant","dormant","TELIGENT OU","ALVEDA PHARMACEUTICALS INC","02300648"
79641,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02310783"
80752,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02322099"
90551,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02420929"
10025,"active","active","EURO-PHARM INTERNATIONAL CANADA INC","SANDOZ CANADA INCORPORATED","00701785"
12688,"active","active","BOEHRINGER INGELHEIM ANIMAL HEALTH CANADA INC.","MERIAL CANADA INC","01909975"
74017,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02255022"
92233,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02437961"
92371,"active","active","RECORDATI RARE DISEASES","ORPHAN EUROPE SARL","02439360"
96847,"active","approved","PRECISION CHEMICAL TECHNOLOGIES INC.","PRECISION CHEMICAL MANUFACTURING LIMITED.","02477459"
16628,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02026260"
16630,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023857"
16649,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023784"
16650,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023792"
18099,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02026457"
