ntp_code,ntp_formal_name,changes
"185666f8cde4da50977944e72fdab037","lenvatinib (lenvatinib mesylate) 12 mg oral capsule","ADDED"
"212ecf1e150459a059f0e68d1cdf8e13","eftrenonacog alfa 500 unit per vial powder for solution for injection with diluent solution syringe","ADDED"
"2d59dab0c903503cd622fd37a12d7e00","eftrenonacog alfa 2000 unit per vial powder for solution for injection with diluent solution syringe","ADDED"
"4d1d7b5dfb2e136a408b2f0874c94a5f","coagulation factor VIII human 810-1200 unit per vial and von Willebrand factor human 1440-3360 unit per vial powder for solution for injection with diluent solution","ADDED"
"535048d53852f233de6972c2d806497b","sodium zirconium cyclosilicate 10 g per sachet oral suspension","ADDED"
"58b4243365bfbc9050e94d676af15f5d","desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet","ADDED"
"59aa3d7cf0f6ab9d81289ab518dd30e8","hypromellose 3 mg per mL ophthalmic drops","ADDED"
"630f11395b8fb47baf3c2ef0ae1fecdc","leuprolide acetate 3.75 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe","ADDED"
"6be648740c482209b6fceac1c9d6167e","hydromorphone hydrochloride 20 mg per 50 mL solution for injection bag","ADDED"
"6c8ba82f9e74f7e69929c4e5f8d96ead","hydromorphone hydrochloride 40 mg per 100 mL solution for injection bag","ADDED"
"711ab64edd121e9f88891dc5dedbba23","coagulation factor VIII human 200-300 unit per vial and von Willebrand factor human 360-840 unit per vial powder for solution for injection with diluent solution","ADDED"
"7623999628085b636bc1cb77229c173e","dinoprostone 0.3 mg per hour vaginal delivery system","ADDED"
"777fdf4abe32c6c56e3861f0d2eb5b8f","sodium zirconium cyclosilicate 5 g per sachet oral suspension","ADDED"
"89da367a2950a2c1959f4364c4b058ad","atezolizumab 840 mg per 14 mL solution for injection vial","ADDED"
"9000100","metoprolol tartrate 100 mg oral tablet","ntp_status_effective_time: ""19771231"" -> ""19841231"""
"9000658","fenofibrate 100 mg oral capsule","ntp_status_effective_time: ""20180803"" -> ""20191015"""
"9000871","risperidone 0.25 mg oral tablet","ntp_status_effective_time: ""19990917"" -> ""20060705"""
"9001463","morphine sulfate 10 mg oral capsule","DELETED"
"9001464","morphine sulfate 20 mg oral capsule","DELETED"
"9001465","morphine sulfate 30 mg oral capsule","DELETED"
"9001466","morphine sulfate 5 mg oral capsule","DELETED"
"9001494","primaquine phosphate 26.3 mg oral tablet","CHANGED"
"9001515","lidocaine hydrochloride 20 mg per mL cutaneous gel","CHANGED"
"9001522","petrolatum 100 % cutaneous ointment","CHANGED"
"9001523","potassium chloride 149 mg per mL solution for injection","CHANGED"
"9001536","white petrolatum 100 % cutaneous ointment","ntp_status_effective_time: ""19511231"" -> ""20090501"""
"9001709","triclosan 0.5 % cutaneous liquid","CHANGED"
"9001725","sodium bicarbonate 84 mg per mL solution for injection","CHANGED"
"9001819","potassium chloride 20 meq per 10 mL solution for injection","CHANGED"
"9001826","antipyrine 10 mg per mL and sodium salicylate 56 mg per mL oral liquid","CHANGED"
"9001860","piperazine 100 mg per mL oral liquid","CHANGED"
"9001867","benzalkonium chloride 0.1 % cutaneous liquid","CHANGED"
"9002030","potassium phosphate dibasic 236 mg per mL and potassium phosphate monobasic 224 mg per mL solution for injection","CHANGED"
"9002058","triclosan 0.3 % lotion","CHANGED"
"9002087","sodium bicarbonate 81.3 g per l solution for haemodialysis","CHANGED"
"9002093","triclosan 0.3 % cutaneous gel","CHANGED"
"9002113","sodium bicarbonate 42 mg per mL solution for injection","ADDED"
"9002156","sodium bicarbonate 650 g per 8 l powder for concentrate for solution for haemodialysis","CHANGED"
"9002180","chloroxylenol 0.6 % cutaneous liquid","CHANGED"
"9002213","petrolatum 100 % cutaneous cream","CHANGED"
"9002321","potassium chloride 251.6 g per l solution for haemodialysis","CHANGED"
"9002392","triclosan 0.3 % cutaneous liquid","CHANGED"
"9002649","chromium (chromic chloride) 10 mcg per mL and copper (copper sulfate) 1 mg per mL and iodine (sodium iodide) 75 mcg per mL and manganese (manganese sulfate) 0.5 mg per mL and selenium (selenious acid) 60 mcg per mL and zinc (zinc sulfate) 5 mg per mL solution for injection","CHANGED"
"9002652","chromium (chromic chloride) 4 mcg per mL and copper (copper sulfate) 0.4 mg per mL and iodine (sodium iodide) 60 mcg per mL and manganese (manganese sulfate) 0.1 mg per mL and selenium (selenious acid) 20 mcg per mL and zinc (zinc sulfate) 3 mg per mL solution for injection","CHANGED"
"9002717","sulfacetamide sodium 10 % ophthalmic drops","ADDED"
"9002743","bacillus calmette-guerin (bcg) strain tice 800000000 unit per vial powder for solution for injection","ADDED"
"9002883","triclosan 0.1 % lotion","CHANGED"
"9002902","sodium acetate 328 mg per mL solution for injection","CHANGED"
"9003031","magnesium chloride 20.5 g per 4.5 l powder for concentrate for solution for haemodialysis","CHANGED"
"9003037","triclosan 0.32 % cutaneous liquid","CHANGED"
"9003097","doxorubicin hydrochloride 150 mg per vial powder for solution for injection","CHANGED"
"9003108","dinoprostone 10 mg per insert vaginal delivery system","DELETED"
"9003109","topotecan (topotecan hydrochloride) 4 mg per vial powder for solution for injection","ntp_status_effective_time: ""19970618"" -> ""20151117"""
"9003126","doxorubicin hydrochloride 50 mg per vial powder for solution for injection","CHANGED"
"9003170","hypromellose 3 mg per g ophthalmic drops","DELETED"
"9003231","doxorubicin hydrochloride 10 mg per vial powder for solution for injection","CHANGED"
"9003260","triclosan 0.3 % cutaneous spray","CHANGED"
"9003280","chloroxylenol 0.52 % cutaneous liquid","CHANGED"
"9003314","benzalkonium chloride 2.5 % cutaneous liquid","CHANGED"
"9003378","benzalkonium chloride 0.13 % cutaneous liquid","CHANGED"
"9003394","triclosan 0.2 % cutaneous liquid","CHANGED"
"9003411","trastuzumab 440 mg per vial powder for solution for injection","ADDED"
"9003425","triclosan 0.5 % cutaneous spray","CHANGED"
"9003489","petrolatum 1000 g per kg cutaneous paste","CHANGED"
"9003497","triclosan 0.19 % cutaneous liquid","CHANGED"
"9003506","potassium chloride 14.9 mg per mL solution for injection","CHANGED"
"9003507","potassium chloride 29.8 mg per mL solution for injection","CHANGED"
"9003511","chloroxylenol 0.3 % cutaneous liquid","CHANGED"
"9003513","triclosan 0.1 % cutaneous liquid","CHANGED"
"9003565","chloroxylenol 1 % cutaneous liquid","CHANGED"
"9003605","chloroxylenol 0.5 % cutaneous solution","CHANGED"
"9003657","follitropin beta 833 unit per mL solution for injection","CHANGED"
"9003706","oxcarbazepine 150 mg oral tablet","ntp_status_effective_time: ""20020401"" -> ""20060801"""
"9003766","benzethonium chloride 0.1 % cutaneous liquid","CHANGED"
"9003810","alcohol anhydrous 61 % and chlorhexidine gluconate 1 % lotion","CHANGED"
"9003863","alcohol anhydrous 54.1 % and butanediol 5.7 % and propyl alcohol 10 % and propylene glycol 5.9 % cutaneous solution","CHANGED"
"9003875","benzethonium chloride 0.2 % cutaneous liquid","CHANGED"
"9003880","benzalkonium chloride 0.3 % cutaneous liquid","CHANGED"
"9003966","benzethonium chloride 0.2 % cutaneous solution","CHANGED"
"9003977","alcohol anhydrous 65.87 % and benzalkonium chloride 0.1 % cutaneous spray","CHANGED"
"9004052","triclosan 0.55 % cutaneous liquid","CHANGED"
"9004056","sodium bicarbonate 80.7 g per l solution for haemodialysis","CHANGED"
"9004071","chloroxylenol 0.3 % lotion","CHANGED"
"9004093","triclosan 0.3 % cutaneous solution","CHANGED"
"9004094","benzalkonium chloride 0.15 % cutaneous liquid","CHANGED"
"9004163","benzalkonium chloride 0.12 % wipe","CHANGED"
"9004208","paclitaxel 100 mg per vial powder for suspension for injection","CHANGED"
"9004328","triclosan 0.4 % cutaneous liquid","CHANGED"
"9004334","benzalkonium chloride 0.13 % cutaneous solution","CHANGED"
"9004407","benzethonium chloride 0.3 % wipe","CHANGED"
"9004469","benzalkonium chloride 0.1 % cutaneous solution","CHANGED"
"9004599","chloroxylenol 0.6 % cutaneous solution","CHANGED"
"9004608","sodium bicarbonate 650 g powder for concentrate for solution for haemodialysis","CHANGED"
"9004611","sodium bicarbonate 650 g per cartridge powder for concentrate for solution for haemodialysis","CHANGED"
"9004627","triclosan 0.1 % cutaneous solution","CHANGED"
"9004649","benzalkonium chloride 0.125 % cutaneous solution","CHANGED"
"9004671","benzalkonium chloride 0.13 % wipe","CHANGED"
"9004683","triclosan 0.2 % lotion","CHANGED"
"9004738","petrolatum 98.79 % cutaneous ointment","CHANGED"
"9004912","benzalkonium chloride 0.133 % wipe","CHANGED"
"9005000","acetic acid 6.82 g per l and sodium acetate 27.22 g per l solution for haemodialysis","CHANGED"
"9005024","benzalkonium chloride 0.13 % cutaneous spray","CHANGED"
"9005208","calcium chloride 7.45 g per vial powder for concentrate for solution for haemodialysis","CHANGED"
"9005343","sodium bicarbonate 720 g per cartridge powder for concentrate for solution for haemodialysis","CHANGED"
"9005356","sodium bicarbonate 1250 g per cartridge powder for concentrate for solution for haemodialysis","CHANGED"
"9005462","petrolatum 95.7 % cutaneous ointment","CHANGED"
"9005584","entecavir 1 mg oral tablet","ADDED"
"9005659","benzoyl peroxide 2.5 % kit","CHANGED"
"9005757","chloroxylenol 3 % cutaneous liquid","CHANGED"
"9005759","chloroxylenol 1.75 % cutaneous solution","CHANGED"
"9005762","benzoyl peroxide 5 % kit","CHANGED"
"9005767","daclatasvir (daclatasvir dihydrochloride) 30 mg oral tablet","DELETED"
"9005800","benzalkonium chloride 0.13 % lotion","CHANGED"
"9006026","sodium bicarbonate 900 g per cartridge powder for concentrate for solution for haemodialysis","CHANGED"
"9006123","petrolatum 60.1 % cutaneous ointment","CHANGED"
"9006134","chloroxylenol 1 % cutaneous solution","CHANGED"
"9006409","benzoyl peroxide 5 % and salicylic acid 2 % NA","CHANGED"
"9008749","desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet","DELETED"
"9012369","asparaginase 10000 unit per vial powder for solution for injection","CHANGED"
"9012599","alcohol anhydrous 70 % and chlorhexidine gluconate 0.5 % cutaneous solution","CHANGED"
"9012669","irinotecan hydrochloride 100 mg per 5 mL solution for injection vial","CHANGED"
"9012670","irinotecan hydrochloride 300 mg per 15 mL solution for injection vial","CHANGED"
"9012671","irinotecan hydrochloride 40 mg per 2 mL solution for injection vial","CHANGED"
"9012672","irinotecan hydrochloride 500 mg per 25 mL solution for injection vial","CHANGED"
"9012856","proxymetacaine hydrochloride 0.5 % ophthalmic drops","CHANGED"
"9012906","benzethonium chloride 0.2 % cutaneous cream","CHANGED"
"9013032","alprostadil 20 mcg per vial powder for solution for injection","CHANGED"
"9013048","chromium (chromic chloride) 100 mcg per 10 mL and copper (copper sulfate) 10 mg per 10 mL and manganese (manganese sulfate) 5 mg per 10 mL and zinc (zinc sulfate) 50 mg per 10 mL solution for injection vial","CHANGED"
"9013049","chromium (chromic chloride) 20 mcg per 5 mL and copper (copper sulfate) 2 mg per 5 mL and manganese (manganese sulfate) 0.5 mg per 5 mL and zinc (zinc sulfate) 5 mg per 5 mL solution for injection vial","CHANGED"
"9013059","copper (copper sulfate) 4 mg per 10 mL solution for injection vial","CHANGED"
"9013084","doxorubicin hydrochloride 10 mg per 5 mL solution for injection vial","CHANGED"
"9013085","doxorubicin hydrochloride 2 mg per mL solution for injection 100 mL vial","CHANGED"
"9013086","doxorubicin hydrochloride 20 mg per 10 mL solution for injection vial","CHANGED"
"9013087","doxorubicin hydrochloride 20 mg per 10 mL suspension for injection vial","CHANGED"
"9013088","doxorubicin hydrochloride 50 mg per 25 mL solution for injection vial","CHANGED"
"9013135","follitropin beta 100 unit per 0.5 mL solution for injection vial","CHANGED"
"9013136","follitropin beta 50 unit per 0.5 mL solution for injection vial","CHANGED"
"9013171","iodide (sodium iodide) 1000 mcg per 10 mL solution for injection vial","CHANGED"
"9013239","petrolatum 46.5 % cutaneous ointment","CHANGED"
"9013271","calcium chloride 14.9 g per bottle powder for concentrate for solution for haemodialysis","CHANGED"
"9013272","calcium chloride 7.45 g per bottle powder for concentrate for solution for haemodialysis","CHANGED"
"9013423","chlorhexidine gluconate 0.05 % and lidocaine hydrochloride 2 % cutaneous gel 11 mL syringe","CHANGED"
"9013424","chlorhexidine gluconate 0.05 % and lidocaine hydrochloride 2 % cutaneous gel 6 mL syringe","CHANGED"
"9013425","chloroxylenol 4.8 % cutaneous solution","CHANGED"
"9013426","chromic chloride 30 mcg per 5 mL and cupric chloride 2.1 mg per 5 mL and manganese chloride 1.85 mg per 5 mL and zinc chloride 8.35 mg per 5 mL solution for injection vial","CHANGED"
"9013427","chromium (chromic chloride) 100 mcg per 10 mL and copper (copper sulfate) 10 mg per 10 mL and manganese (manganese sulfate) 5 mg per 10 mL and selenium (selenious acid) 600 mcg per 10 mL and zinc (zinc sulfate) 50 mg per 10 mL solution for injection vial","CHANGED"
"9013602","pyrithione zinc 0.95 % shampoo","CHANGED"
"9013614","sodium bicarbonate 6 kg per container powder for concentrate for solution for haemodialysis","CHANGED"
"9013615","sodium bicarbonate 650 g per sachet powder for concentrate for solution for haemodialysis","CHANGED"
"9013643","anti-inhibitor coagulant complex 1300 unit per vial NA","CHANGED"
"9013644","anti-inhibitor coagulant complex 3250 unit per vial NA","CHANGED"
"9013759","amphotericin B 100 mg per 20 mL suspension for injection vial","CHANGED"
"9013760","amphotericin B 50 mg per vial powder for solution for injection","CHANGED"
"9013821","irinotecan hydrochloride liposomal (irinotecan sucrose octasulfate) 43 mg per 10 mL suspension for injection vial","CHANGED"
"9013891","onabotulinumtoxinA 100 unit per vial powder for solution for injection","CHANGED"
"9013892","paclitaxel 100 mg per 16.7 mL solution for injection vial","CHANGED"
"9013927","phosphorus (potassium phosphate dibasic and potassium phosphate monobasic) 30 mmol per 10 mL and potassium (potassium phosphate dibasic and potassium phosphate monobasic) 44 mmol per 10 mL solution for injection vial","CHANGED"
"9013933","potassium (potassium chloride) 10 mmol per 100 mL solution for injection bag","CHANGED"
"9013936","sodium (sodium acetate) 4 mmol per mL solution for injection 50 mL vial","CHANGED"
"9013937","sodium bicarbonate 45 mmol per 50 mL solution for injection syringe","CHANGED"
"9013938","sodium bicarbonate 5 mmol per 10 mL solution for injection syringe","CHANGED"
"9013943","benzalkonium chloride 0.13 % NA","CHANGED"
"9013986","polyethylene glycol 3350 17 g powder for oral solution","CHANGED"
"9014085","chloroxylenol 0.5 % NA","CHANGED"
"9014087","coagulation factor IX human 1000 unit per vial and coagulation factor ii (human) 1520 unit per vial and coagulation factor vii (human) 960 unit per vial and coagulation factor x (human) 1200 unit per vial and protein c 1240 unit per vial and protein s 1280 unit per vial NA","CHANGED"
"9014088","coagulation factor IX human 1240 unit and coagulation factor ii (human) 1600 unit and coagulation factor vii (human) 1000 unit and coagulation factor x (human) 2040 unit and protein c 1640 unit and protein s 1360 unit powder for solution for injection","CHANGED"
"9014090","coagulation factor IX human 500 unit per vial and coagulation factor ii (human) 760 unit per vial and coagulation factor vii (human) 480 unit per vial and coagulation factor x (human) 600 unit per vial and protein c 620 unit per vial and protein s 640 unit per vial NA","CHANGED"
"9014091","coagulation factor IX human 620 unit and coagulation factor ii (human) 800 unit and coagulation factor vii (human) 500 unit and coagulation factor x (human) 1020 unit and protein c 820 unit and protein s 680 unit powder for solution for injection","CHANGED"
"9014112","fibrinogen human 90 mg per mL and thrombin human 1200 unit per mL NA","CHANGED"
"9014139","potassium chloride 200 meq per 100 mL solution for injection","CHANGED"
"9014153","interferon beta-1a (peginterferon beta-1a) 125 mcg per 0.5 mL solution for injection syringe","CHANGED"
"96342f21e33d96a25381fb13e105b66a","acalabrutinib 100 mg oral capsule","ADDED"
"a30912446cf55205ebf8e5d0f354fcf9","coagulation factor VIII human 400-600 unit per vial and von Willebrand factor human 720-1680 unit per vial powder for solution for injection with diluent solution","ADDED"
"a5fe3e3da04f67757f3b9e869820647f","eftrenonacog alfa 3000 unit per vial powder for solution for injection with diluent solution syringe","ADDED"
"a91bc1723826b5d0fb90bf7818febc32","leuprolide acetate 22.5 mg per vial powder for prolonged-release suspension for injection with diluent solution syringe","ADDED"
"b32d60ee49bc48b2686174b679a8d904","eftrenonacog alfa 1000 unit per vial powder for solution for injection with diluent solution syringe","ADDED"
"ba2c2f6b8fbfc6ada0411ba788a75c42","lenvatinib (lenvatinib mesylate) 4 mg oral capsule","ADDED"
"bef2ed9994c71709ffc8bdd86456a750","galcanezumab 120 mg per mL solution for injection","ADDED"
"c6c1ea8c4eb0ea36f03b2f54acfa7d61","methotrexate (methotrexate sodium) 12.5 mg per 0.25 mL solution for injection syringe","ADDED"
"c7e00c584ca96576221a62ec0894508f","methotrexate (methotrexate sodium) 10 mg per 0.2 mL solution for injection syringe","ADDED"
"d4fdc5d85f53c8716a0282b2e28eb3fa","heparin sodium 1000 unit per 10 mL NA vial","ADDED"
"feed94cf1b8a2706f642ed0a6bb5327c","interferon beta-1a (peginterferon beta-1a) 63 mcg per 0.5 mL solution for injection syringe with interferon beta-1a (peginterferon beta-1a) 94 mcg per 0.5 mL solution for injection syringe","ADDED"
"ff849440d22be9823488bf2c9c7aee34","dimethyl sulfoxide 50 % intravesical solution 50 mL vial","ADDED"
