"drug_code","drug_identification_number","brand_name_current","brand_name_previous"
13909,"01962728","ULTRAVATE","ULTRAVATE OINTMENT 0.05%"
13917,"01962701","ULTRAVATE","ULTRAVATE CREAM"
15925,"02084104","MINOCYCLINE","APO-MINOCYCLINE CAP 100MG"
15927,"02084090","MINOCYCLINE","APO-MINOCYCLINE CAP 50MG"
19628,"02207818","PMS-CLONAZEPAM-R","PMS-CLONAZEPAM-R TAB 0.5MG"
62054,"02238626","INFANTS' MOTRIN","INFANT'S MOTRIN SUSPENSION DROPS"
63352,"02239864","AA-FENO-MICRO","APO-FENO-MICRO"
6511,"00644331","PRO-AMOX-250","PRO-AMOX-250 ORL SUS 250MG/5ML"
65418,"02241755","SANDOZ TOBRAMYCIN","SANDOZ TOBRAMYCIN 0.3%"
66076,"02242365","CHILDREN'S MOTRIN","CHILDREN'S MOTRIN SUSPENSION"
67060,"02243180","AA-FENO-MICRO","APO-FENO-MICRO CAPSULES"
7084,"00708925","MEN'S ROGAINE","ROGAINE MINOXIDIL TOPICAL 2% SOLUTION"
73592,"02250993","BENADRYL ALLERGY, SINUS & PAIN TOTAL","BENADRYL TOTAL"
74314,"02257912","IBUPROFEN","IBUPROFEN 200 MG"
76819,"02282550","CHEF 3","INO DÉSINFECTANT ET ASSAINISSEUR/INO DISINFECTANT AND SANITIZER"
77369,"02288249","BANO 6","INO CLEANER DEGREASER DISINFECTANT"
77893,"02293579","TARO-CEFPROZIL","RAN-CEFPROZIL"
80286,"02317338","IBUPROFEN","IBUPROFEN CAPLETS"
81489,"02329204","TARO-CEFPROZIL","RAN-CEFPROZIL"
8187,"00745626","HUMATROPE","HUMATROPE INJ 1MG/ML"
86413,"02378310","MOTRIN LIQUID GELS 400 MG","SUPER STRENGTH MOTRIN IB LIQUID GELS CAPSULES"
88426,"02399377","ATORVASTATIN","PMS-ATORVASTATIN"
88427,"02399385","ATORVASTATIN","PMS-ATORVASTATIN"
88428,"02399393","ATORVASTATIN","PMS-ATORVASTATIN"
88429,"02399407","ATORVASTATIN","PMS-ATORVASTATIN"
89529,"02410613","GRASSROOTS DISINFECTANT","PROQUAT"
43440,"02225980","FENOFIBRATE","APO-FENOFIBRATE"
64171,"02240600","CEFADROXIL","NU-CEFADROXIL, 500 MG"
93988,"02453355","JAMP LATANOPROST","JAMP-LATANOPROST"
97651,"02486296","TRI-JORDYNA 21","NORGESTIMATE AND ETHINYL ESTRADIOL TABLETS USP"
97652,"02486318","TRI-JORDYNA 28","NORGESTIMATE AND ETHINYL ESTRADIOL TABLETS USP"
